fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2025-09-01,621.0,4.316,5.33,5.282,0.0,18.318,0.218,4.316,0.048,30.63,102.63,0.0,102.63
2025-09-02,521.25,4.812,5.943,5.712,1.006,16.156,1.038,3.806,0.231,61.1,166.89,0.21,166.68
2025-09-03,533.03,4.533,5.598,5.483,0.399,17.547,0.517,4.134,0.115,55.1,135.57,-0.02,135.59
2025-09-04,514.75,4.26,5.261,5.122,0.023,17.987,0.628,4.238,0.14,55.65,116.38,1.49,114.88
2025-09-05,523.79,4.301,5.311,5.186,0.034,18.11,0.564,4.267,0.126,55.32,110.79,0.63,110.16
2025-09-06,601.97,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,26.54,77.7,-1.02,78.73
2025-09-07,606.33,4.316,5.33,5.282,0.0,18.318,0.218,4.316,0.048,31.84,122.77,0.0,122.77
2025-09-08,370.77,4.275,5.28,5.146,0.0,18.146,0.604,4.275,0.134,76.37,112.42,26.07,86.35
2025-09-09,462.6,4.257,5.257,5.117,0.0,18.068,0.633,4.257,0.141,63.56,120.48,8.84,111.64
2025-09-10,526.8,4.308,5.321,5.27,0.014,18.226,0.23,4.294,0.051,51.56,107.44,-0.01,107.45
2025-09-11,535.71,4.744,5.858,5.747,0.735,17.015,0.503,4.009,0.112,54.42,143.78,-0.01,143.79
2025-09-12,464.06,5.437,6.714,6.562,2.06,14.336,0.689,3.377,0.153,73.13,146.74,0.74,146.0
2025-09-13,492.79,4.274,5.278,5.214,0.113,17.66,0.286,4.161,0.064,60.84,113.63,-0.01,113.64
2025-09-14,542.99,4.297,5.308,5.253,0.0,18.24,0.247,4.297,0.055,48.87,128.26,-0.01,128.27
2025-09-15,467.87,4.471,5.522,5.385,0.34,17.533,0.615,4.131,0.137,66.88,126.19,2.48,123.71
2025-09-16,521.38,4.91,6.063,5.876,1.136,16.017,0.842,3.774,0.187,72.55,204.9,3.48,201.42
2025-09-17,455.21,4.911,6.064,5.907,1.326,15.216,0.709,3.585,0.158,86.01,217.82,14.98,202.84
2025-09-18,347.33,5.017,6.195,6.16,1.576,14.607,0.159,3.441,0.036,97.01,203.67,39.88,163.78
2025-09-19,311.49,4.268,5.271,5.135,0.076,17.796,0.615,4.193,0.137,89.55,129.57,29.68,99.89
2025-09-20,464.39,4.209,5.198,5.041,0.089,17.486,0.709,4.12,0.158,66.06,117.51,0.62,116.89
2025-09-21,540.65,4.306,5.318,5.124,0.104,17.837,0.876,4.202,0.195,42.29,87.13,-0.64,87.78
2025-09-22,598.94,4.316,5.33,5.282,0.0,18.318,0.218,4.316,0.048,34.53,111.32,-0.01,111.33
2025-09-23,535.22,4.348,5.37,5.261,0.113,17.977,0.489,4.235,0.109,51.56,107.45,0.0,107.45
2025-09-24,553.29,4.269,5.272,5.064,0.059,17.869,0.936,4.21,0.208,46.4,119.47,0.01,119.46
2025-09-25,454.53,5.099,6.297,6.21,1.864,13.732,0.391,3.235,0.087,79.4,182.17,18.59,163.57
2025-09-26,350.01,4.834,5.969,5.832,1.363,14.733,0.619,3.471,0.138,91.65,162.77,21.36,141.41
2025-09-27,422.75,4.268,5.271,5.135,0.082,17.768,0.615,4.186,0.137,71.79,119.03,5.85,113.18
2025-09-28,482.72,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,48.79,75.85,8.21,67.63
2025-09-29,479.15,4.688,5.789,5.658,0.662,17.088,0.592,4.026,0.132,59.06,138.6,21.23,117.38
2025-09-30,466.89,5.094,6.291,6.203,1.864,13.713,0.398,3.231,0.089,82.8,202.97,20.41,182.57
