fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2026-02-01,359.51,3.006,3.415,3.284,1.424,6.701,0.591,1.581,0.131,24.58,131.8,0.09,131.71
2026-02-02,319.8,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,13.83,54.72,0.0,54.72
2026-02-03,391.76,3.342,3.798,3.705,1.942,5.933,0.42,1.4,0.093,32.74,127.71,0.0,127.71
2026-02-04,314.22,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,17.22,65.1,0.16,64.94
2026-02-05,319.86,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,6.3,35.02,-0.1,35.12
2026-02-06,319.86,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,9.39,60.0,-0.15,60.15
2026-02-07,319.79,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,6.85,36.58,-0.17,36.75
2026-02-08,319.86,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,5.92,53.0,-2.51,55.51
2026-02-09,349.43,3.203,3.64,3.609,1.645,6.605,0.141,1.559,0.031,20.95,99.99,-0.03,100.02
2026-02-10,319.83,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,4.69,35.0,0.0,35.0
2026-02-11,319.86,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,4.23,35.0,-0.42,35.42
2026-02-12,319.86,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,5.7,35.01,-1.0,36.01
2026-02-13,319.74,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,4.42,35.0,-0.04,35.04
2026-02-14,319.86,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,2.13,22.0,-4.0,26.0
2026-02-15,319.86,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,1.55,15.37,-2.51,17.88
2026-02-16,319.86,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,4.4,27.55,-0.04,27.59
2026-02-17,356.89,2.883,3.276,3.247,1.109,7.516,0.128,1.774,0.028,26.78,135.77,-0.01,135.78
2026-02-18,305.73,2.337,2.655,2.628,0.201,9.049,0.122,2.135,0.027,18.24,90.0,0.0,90.0
2026-02-19,324.63,2.413,2.742,2.704,0.34,8.785,0.171,2.073,0.038,14.87,87.97,-0.81,88.78
2026-02-20,327.35,2.751,3.126,3.09,0.897,7.853,0.16,1.853,0.035,28.38,102.66,-1.0,103.66
2026-02-21,319.13,2.824,3.208,3.125,1.07,7.43,0.375,1.753,0.083,29.11,102.17,-0.01,102.18
2026-02-22,326.18,2.703,3.071,2.985,0.875,7.745,0.39,1.828,0.087,22.21,99.57,-1.0,100.57
2026-02-23,382.2,3.027,3.44,3.387,1.385,6.961,0.238,1.643,0.053,34.82,187.1,-1.5,188.6
2026-02-24,323.44,2.728,3.1,3.021,0.906,7.719,0.354,1.822,0.079,28.25,105.07,-0.99,106.06
2026-02-25,337.58,3.174,3.607,3.53,1.645,6.48,0.345,1.529,0.077,29.9,113.73,-0.81,114.54
2026-02-26,332.32,3.064,3.481,3.369,1.5,6.625,0.506,1.564,0.112,27.38,103.02,-2.1,105.12
2026-02-27,313.22,2.207,2.507,2.438,0.031,9.219,0.312,2.176,0.069,20.1,75.0,-0.01,75.01
2026-02-28,320.9,2.384,2.709,2.625,0.34,8.66,0.375,2.044,0.083,14.5,82.01,-0.06,82.07
