fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-11-13,1,normal,427.4972,562.2123,-134.7151,-23.96,54.6276,192.414,205.0128,16.3859,8.1713,1.2532,0.2532,32.2773,0.25,0.25,0.0,0,10.1375,93.2354,52.4591,0.8584,0.6085,3,3,False
2025-11-13,2,normal,491.264,562.2123,-70.9483,-12.62,51.9919,201.0135,266.4215,17.7533,10.4094,1.3217,0.3217,32.3601,0.0,0.0,0.0,0,10.5906,109.1884,45.6626,0.8632,1.359,3,2,False
2025-11-13,3,normal,500.5141,562.2123,-61.6982,-10.97,54.1518,187.787,277.6779,17.2862,1.8164,1.058,0.058,31.2961,0.2259,0.0,0.0,0,9.8938,109.6026,50.2729,0.8803,1.0582,4,1,False
2025-11-13,4,normal,515.8796,562.2123,-46.3327,-8.24,56.2158,195.0515,282.4325,16.5702,1.25,1.0385,0.0385,32.454,0.5,0.0,0.0,0,10.2765,115.3678,47.3116,0.8607,0.9862,7,2,False
2025-11-13,5,normal,534.3649,562.2123,-27.8474,-4.95,54.7173,191.0551,306.6851,16.5166,1.576,0.9512,-0.0488,32.2734,0.75,0.0,0.0,0,10.0659,116.6031,46.5457,0.9149,1.2317,6,3,False
2025-11-13,6,normal,533.1648,562.2123,-29.0475,-5.17,57.0855,183.0401,318.2552,18.3461,6.8698,0.7868,-0.2132,32.2178,0.25,0.0,1.527,19,9.6437,109.6651,45.3664,1.4113,0.8816,2,3,False
2025-11-13,7,normal,562.7643,562.2123,0.552,0.1,46.6992,181.6043,356.1359,16.9842,4.691,0.8504,-0.1496,31.3555,0.25,0.211,0.0,0,9.568,130.1204,50.143,0.8929,1.1966,5,3,False
2025-11-13,8,normal,454.2319,562.2123,-107.9805,-19.21,59.1377,206.8826,217.1148,17.0289,11.8744,1.371,0.371,32.002,0.0,0.25,0.0,0,10.8998,95.6371,57.5506,0.8585,0.933,4,3,False
2025-11-13,9,normal,527.4514,562.2123,-34.7609,-6.18,51.6264,179.4053,321.8549,18.8182,6.617,0.7881,-0.2119,31.2202,0.0,0.1259,0.2412,5,9.4522,108.0694,55.5021,1.0742,1.0459,1,1,False
2025-11-13,10,normal,454.1154,562.2123,-108.0969,-19.23,55.5249,196.8211,227.5461,17.5184,8.2582,1.2595,0.2595,31.825,0.0,0.25,0.0,0,10.3697,94.1447,53.4791,0.919,0.911,3,3,False
2025-11-13,11,normal,446.961,562.2123,-115.2513,-20.5,46.7781,200.0788,227.733,16.6867,10.9422,1.3512,0.3512,31.1557,0.25,0.0,0.0,0,10.5414,101.3755,49.7489,0.8144,0.9827,4,2,False
