fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-11-18,1,normal,373.4611,414.3707,-40.9097,-9.87,167.9464,181.5012,47.1073,16.2665,6.8272,1.0846,0.0846,80.7428,0.8759,0.0,0.0,0,9.9188,105.7527,50.0158,0.798,0.6842,10,0,False
2025-11-18,2,normal,408.8525,414.3707,-5.5183,-1.33,140.1358,181.6179,116.0823,17.2369,11.7467,0.8536,-0.1464,80.2612,0.25,0.4592,0.0,0,9.9252,122.2165,55.7851,0.8761,0.9189,7,3,False
2025-11-18,3,normal,357.911,414.3707,-56.4598,-13.63,145.1228,173.8204,57.6762,17.6161,1.0924,1.0139,0.0139,78.5999,0.4592,0.0935,0.0,0,9.4991,104.0063,52.2586,0.8781,0.9699,6,1,False
2025-11-18,4,normal,353.5741,414.3707,-60.7966,-14.67,141.7342,175.4605,83.1088,17.1053,29.6241,0.6294,-0.3706,79.9378,0.3656,0.5,0.0,0,9.5887,111.8749,55.7147,0.9271,1.0038,2,5,False
2025-11-18,5,normal,427.4471,414.3707,13.0763,3.16,133.5216,189.4799,138.0762,19.1648,14.4658,0.815,-0.185,78.1938,0.0,0.25,0.1212,3,10.3549,122.3357,42.5291,1.0452,0.8299,8,3,False
2025-11-18,6,normal,381.6929,414.3707,-32.6779,-7.89,132.9283,177.8197,93.7194,18.799,3.9756,1.05,0.05,79.5657,0.0,0.25,0.0,0,9.7177,113.3456,45.8361,0.9521,0.9355,1,2,False
2025-11-18,7,normal,303.1353,414.3707,-111.2354,-26.84,153.2437,181.4208,-7.206,17.882,6.4412,1.081,0.081,79.5656,0.25,0.25,0.0,0,9.9145,87.1678,55.6704,0.9387,1.0164,3,5,False
2025-11-18,8,normal,417.7682,414.3707,3.3975,0.82,119.3204,186.4684,144.999,18.4772,14.5424,0.815,-0.185,78.6075,0.4592,0.0,1.2238,17,10.1903,119.2636,56.1397,1.2618,1.0206,7,1,False
2025-11-18,9,normal,404.7052,414.3707,-9.6655,-2.33,138.9524,196.4279,91.4526,18.6121,3.5156,1.0447,0.0447,78.7081,0.2092,0.0,0.0,0,10.7346,111.1246,50.3481,0.9378,0.8493,4,2,False
2025-11-18,10,normal,353.2703,414.3707,-61.1004,-14.75,139.7743,181.3874,62.1485,18.5519,11.488,1.1436,0.1436,79.983,0.25,0.0,0.0,0,9.9126,106.0788,48.799,0.906,1.0134,4,0,False
2025-11-18,11,normal,391.9904,414.3707,-22.3803,-5.4,160.0286,159.1596,123.8148,17.8064,33.2061,0.59,-0.41,80.9905,0.5,0.25,0.262,6,8.6979,122.6548,53.1203,1.0176,0.9161,7,2,False
2025-11-18,12,normal,466.7022,414.3707,52.3315,12.63,158.2157,192.2334,136.1913,19.8171,0.1211,0.9985,-0.0015,79.8346,0.0,0.0,0.0,0,10.5053,122.6218,54.9614,0.9996,0.9733,1,0,False
2025-11-18,13,normal,354.9235,414.3707,-59.4472,-14.35,135.771,197.6897,50.6335,15.9148,13.256,1.1681,0.1681,78.8686,0.75,0.382,0.0,0,10.8035,103.0797,53.5596,0.8179,1.0157,10,3,False
2025-11-18,14,normal,425.4938,414.3707,11.1231,2.68,156.6995,189.3431,98.1055,17.9757,0.6786,0.9916,-0.0084,81.0744,0.5,0.132,0.0,0,10.3474,117.1417,41.4985,0.9393,0.8925,6,1,False
2025-11-18,15,normal,370.0242,414.3707,-44.3465,-10.7,149.4093,183.8407,69.5971,18.4133,14.4095,0.815,-0.185,77.8892,0.5,0.0,0.9465,15,10.0467,101.7743,57.3665,1.1737,1.1137,9,0,False
2025-11-18,16,normal,406.4803,414.3707,-7.8904,-1.9,159.7095,178.6269,92.5967,18.2635,6.1893,1.0762,0.0762,81.2391,0.0,0.2092,0.0,0,9.7618,117.721,44.4667,0.8588,1.1586,3,1,False
2025-11-18,17,normal,336.7085,414.3707,-77.6622,-18.74,138.0377,202.6168,19.8023,19.886,3.8623,0.9514,-0.0486,79.4285,0.0,0.0,0.0,0,11.0728,93.5824,54.2626,1.0234,0.9438,3,1,False
2025-11-18,18,normal,371.0843,414.3707,-43.2864,-10.45,146.1838,171.7623,76.6923,17.1129,6.4412,1.0811,0.0811,79.4576,0.5,0.25,0.2702,6,9.3866,113.6026,52.5135,0.9356,1.2679,6,3,False
2025-11-18,19,normal,436.1697,414.3707,21.7989,5.26,137.9187,189.6181,141.2232,17.9507,14.6397,0.815,-0.185,79.1334,0.5935,0.0,0.581,10,10.3624,121.5002,59.9518,1.0608,1.1529,5,0,False
2025-11-18,20,normal,365.8219,414.3707,-48.5488,-11.72,152.2419,169.0098,81.2838,16.4443,20.2693,1.2526,0.2526,80.2406,0.2092,0.3759,0.0,0,9.2362,117.3572,41.3158,0.7397,1.0986,4,2,False
2025-11-18,21,normal,472.573,414.3707,58.2023,14.05,139.8821,171.0874,184.3265,19.9243,2.7986,0.9645,-0.0355,78.7806,0.0,0.0,0.0,0,9.3497,131.6571,52.9227,1.0094,1.0583,5,0,False
2025-11-18,22,normal,372.5759,414.3707,-41.7949,-10.09,141.2089,180.9284,77.2571,16.7265,10.092,1.128,0.128,78.8574,0.4592,0.1156,0.0,0,9.8875,111.9267,56.2935,0.7776,0.8775,4,1,False
