fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-12-05,1,normal,299.0525,360.0554,-61.0029,-16.94,23.1524,184.3719,124.017,18.8112,13.6775,0.8074,-0.1926,71.0158,0.0,0.25,0.1793,5,9.9194,104.8135,47.8878,1.0483,0.9226,3,2,False
2025-12-05,2,normal,322.1577,360.0554,-37.8977,-10.53,29.2966,198.8723,135.0072,17.3507,23.6676,1.3441,0.3441,68.7868,0.25,0.0,0.0,0,10.6995,111.33,54.6894,0.8474,0.9124,5,2,False
2025-12-05,3,normal,368.1265,360.0554,8.0711,2.24,31.8054,179.1919,178.1891,18.315,2.7449,1.0386,0.0386,71.1422,0.25,0.0,0.0,0,9.6407,119.9114,48.0887,0.9354,0.9306,5,0,False
2025-12-05,4,normal,319.223,360.0554,-40.8324,-11.34,28.7248,177.6078,142.5497,17.0411,12.6182,1.1758,0.1758,71.7692,0.25,0.0,0.0,0,9.5555,118.1526,54.3796,0.7882,0.9652,7,0,False
2025-12-05,5,normal,367.955,360.0554,7.8996,2.19,25.0387,189.9347,185.5783,18.8168,13.7798,0.8075,-0.1925,71.5772,0.25,0.0,1.3858,19,10.2187,119.5083,42.666,1.3683,0.9607,5,3,False
2025-12-05,6,normal,338.5434,360.0554,-21.512,-5.97,26.275,197.4777,145.4966,16.9316,13.7742,0.808,-0.192,71.7581,0.5,0.25,0.074,3,10.6245,114.4032,50.0242,0.9179,1.2257,8,2,False
2025-12-05,7,normal,381.5263,360.0554,21.4709,5.96,30.6458,191.3796,189.4775,16.2233,13.7533,0.8075,-0.1925,71.436,0.9572,0.0,1.1815,20,10.2964,128.1678,56.2315,1.1472,0.9566,10,1,False
2025-12-05,8,normal,312.2914,360.0554,-47.764,-13.27,39.8678,185.3244,119.7406,18.8612,13.7802,0.8081,-0.1919,71.8179,0.25,0.0,0.4181,8,9.9706,105.2325,48.8982,1.0916,1.2615,7,0,False
2025-12-05,9,normal,388.9363,360.0554,28.8809,8.02,30.907,179.1587,227.4399,19.2794,29.2898,0.5833,-0.4167,70.2922,0.25,0.0,0.2084,5,9.6389,125.6869,53.5519,1.1056,1.3511,4,1,False
2025-12-05,10,normal,317.6896,360.0554,-42.3658,-11.77,27.1627,180.9656,131.3712,19.1149,2.695,1.0377,0.0377,71.4231,0.0,0.0,0.0,0,9.7361,107.3583,49.0805,0.9803,1.2373,5,1,False
