fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],ben_extremo_medio [€],peor_escenario [€],CVaR_95 [€],soc_critico_medio,penalizacion_soc_ext [€],energia_recortada_ext [MWh],pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal,n_sim_extremo
2025-12-01,277.26,259.68,44.54,208.45,255.63,317.09,186.58,0.0,-17.59,-6.3,16.89,0.2827,-0.0999,294.59,31.33,66.67,13.0,30.89,1.654,4.8,2.0,200,40
2025-12-02,267.38,242.38,48.24,185.49,238.31,304.62,166.33,0.0,-25.0,-9.4,16.63,0.3207,-0.0642,216.95,40.69,45.27,13.0,30.1,1.1844,4.9,2.0,200,40
2025-12-03,417.18,391.92,53.24,332.15,385.1,463.33,312.46,0.0,-25.26,-6.1,18.75,0.2818,-0.0942,412.84,172.76,191.34,14.4,30.29,1.2078,4.6,1.9,200,40
2025-12-04,410.36,380.38,49.37,318.88,379.78,446.83,306.62,0.0,-29.98,-7.3,14.55,0.272,-0.0604,371.0,152.5,161.94,12.3,23.63,1.1875,4.8,1.7,200,40
2025-12-05,360.06,328.21,46.63,265.65,326.47,386.3,253.74,0.0,-31.84,-8.8,15.89,0.2267,-0.0161,316.15,123.97,132.25,12.8,28.93,1.1142,5.0,2.0,200,40
2025-12-06,557.09,532.34,52.45,469.13,532.15,600.09,447.08,0.0,-24.74,-4.4,7.11,0.2585,-0.0776,494.43,312.79,314.42,15.1,13.57,1.4745,4.9,2.0,200,40
2025-12-07,588.3,566.53,54.11,491.78,566.91,638.24,479.69,0.0,-21.77,-3.7,9.24,0.1899,-0.1687,526.26,318.17,318.72,7.7,15.72,0.5867,4.5,1.9,200,40
2025-12-08,474.33,448.22,46.87,388.3,447.19,508.56,372.44,0.0,-26.11,-5.5,12.98,0.1984,-0.1088,455.33,234.59,238.47,11.5,23.25,0.9361,4.7,2.1,200,40
2025-12-09,477.85,456.8,48.16,397.41,453.13,523.65,384.46,0.0,-21.05,-4.4,12.87,0.2851,-0.0603,499.41,180.75,195.81,11.8,22.12,1.161,4.6,1.9,200,40
2025-12-10,164.11,138.41,51.54,70.82,139.07,202.68,59.54,0.0,-25.7,-15.7,20.27,0.2879,-0.0373,126.29,-231.35,-166.16,16.5,45.09,1.7119,4.9,2.1,200,40
2025-12-11,229.22,200.59,47.35,141.61,197.56,259.66,130.45,0.0,-28.63,-12.5,25.47,0.1975,-0.0778,182.54,-108.03,-26.69,12.0,49.46,1.106,4.6,1.8,200,40
2025-12-12,200.44,168.78,49.61,116.39,162.16,234.82,98.37,0.0,-31.67,-15.8,26.62,0.2861,-0.0432,108.45,-66.23,-55.23,8.9,52.38,0.8339,4.8,2.1,200,40
2025-12-13,303.79,272.58,50.53,211.17,270.22,341.82,186.67,0.0,-31.22,-10.3,20.39,0.285,-0.1474,236.06,33.57,37.75,11.9,34.37,1.0027,4.8,2.1,200,40
