fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal
2025-07-01,112.17,100.19,80.74,6.97,86.99,216.8,-13.28,6.0,-11.97,-10.7,29.04,0.2853,-0.2124,6.5,4.9,1.9,200
2025-07-02,118.17,96.83,93.11,1.78,81.2,215.63,-19.8,9.0,-21.35,-18.1,35.47,0.3266,-0.1474,7.6,5.1,1.9,200
2025-07-03,188.46,159.9,98.76,57.68,149.39,278.54,41.51,2.5,-28.56,-15.2,29.38,0.3388,-0.1706,6.9,4.6,1.9,200
2025-07-04,123.08,106.6,86.02,6.53,95.18,220.26,-7.52,7.5,-16.48,-13.4,32.49,0.3127,-0.1954,6.7,4.8,1.8,200
2025-07-05,278.52,267.09,89.12,172.84,251.1,382.79,152.06,0.5,-11.43,-4.1,21.5,0.2519,-0.1515,5.8,4.8,1.9,200
2025-07-06,293.65,263.04,85.82,173.68,247.03,372.92,155.9,0.0,-30.61,-10.4,15.27,0.2956,-0.1598,6.2,4.9,1.9,200
2025-07-07,271.58,233.57,115.86,131.94,229.35,355.75,116.4,1.5,-38.0,-14.0,16.23,0.3621,-0.164,8.3,4.9,1.8,200
2025-07-08,308.27,267.53,130.24,191.53,252.91,378.77,169.35,1.0,-40.74,-13.2,14.02,0.2688,-0.1703,6.1,5.0,2.0,200
2025-07-09,203.81,184.68,90.35,101.71,165.35,274.23,87.99,0.0,-19.14,-9.4,25.05,0.2752,-0.1626,5.8,4.6,2.0,200
2025-07-10,128.6,115.87,78.88,33.22,105.22,216.69,6.56,4.0,-12.73,-9.9,25.76,0.253,-0.1856,6.3,4.8,2.0,200
2025-07-11,149.18,129.44,89.61,40.61,105.17,254.62,24.23,1.0,-19.74,-13.2,29.61,0.2797,-0.1719,7.0,4.8,1.9,200
2025-07-12,262.56,247.48,90.8,165.2,232.37,334.64,150.25,0.0,-15.09,-5.7,19.11,0.2672,-0.1614,6.8,5.0,1.8,200
2025-07-13,296.66,268.38,86.68,185.43,251.54,372.27,169.79,0.0,-28.28,-9.5,16.9,0.2349,-0.1357,6.0,4.6,2.0,200
2025-07-14,212.12,189.57,83.79,111.2,173.74,290.5,85.79,1.0,-22.55,-10.6,21.76,0.318,-0.1618,6.7,4.7,1.9,200
2025-07-15,217.94,195.8,93.37,115.08,189.86,297.08,101.51,2.0,-22.14,-10.2,22.0,0.2946,-0.1577,6.1,4.8,2.0,200
2025-07-16,156.63,152.28,69.23,85.12,144.37,233.46,62.31,0.5,-4.35,-2.8,20.53,0.2246,-0.1709,4.9,4.7,2.0,200
2025-07-17,111.58,97.11,105.46,7.51,73.59,224.0,-8.69,8.0,-14.48,-13.0,34.46,0.3257,-0.1287,6.7,5.0,2.1,200
2025-07-18,119.68,95.86,101.45,3.56,82.85,226.95,-16.24,7.0,-23.82,-19.9,34.1,0.3016,-0.0278,6.0,4.9,2.0,200
2025-07-19,294.75,267.2,83.62,182.83,253.75,380.71,165.94,0.5,-27.55,-9.3,15.22,0.3592,-0.2104,8.0,4.8,1.8,200
2025-07-20,312.31,243.24,152.68,84.0,241.7,430.35,38.36,3.5,-69.07,-22.1,7.11,0.4362,-0.1613,9.6,4.7,1.8,200
2025-07-21,341.2,345.12,82.6,260.01,322.22,471.34,245.75,0.0,3.92,1.1,13.99,0.2571,-0.2051,4.1,4.7,2.0,200
2025-07-22,218.7,200.51,95.99,108.04,185.51,322.06,95.85,0.5,-18.19,-8.3,19.91,0.2917,-0.1422,6.4,4.9,1.9,200
2025-07-23,167.35,147.52,132.23,46.7,132.35,276.11,30.24,3.5,-19.83,-11.8,23.83,0.3406,-0.1363,7.4,4.8,1.8,200
2025-07-24,287.61,243.66,122.2,133.57,225.41,393.66,94.25,2.0,-43.95,-15.3,14.28,0.3499,-0.1639,8.0,4.8,1.9,200
2025-07-25,306.06,254.97,127.7,142.13,252.41,372.62,96.11,1.0,-51.09,-16.7,11.39,0.3072,-0.171,7.1,4.8,1.7,200
2025-07-26,309.23,251.51,109.84,154.55,245.8,363.64,105.49,2.5,-57.73,-18.7,10.06,0.2604,-0.1467,6.0,4.7,2.1,200
2025-07-27,300.85,244.42,123.03,113.92,238.34,386.25,56.9,2.5,-56.43,-18.8,9.68,0.2988,-0.1414,7.7,4.8,1.8,200
2025-07-28,298.69,255.28,117.59,145.1,245.97,368.93,124.48,0.5,-43.41,-14.5,10.27,0.3412,-0.1738,7.5,4.6,1.8,200
2025-07-29,315.74,283.24,101.43,182.1,265.4,417.05,168.03,0.0,-32.5,-10.3,9.49,0.2946,-0.1862,6.2,4.8,1.9,200
2025-07-30,301.55,279.99,109.18,180.41,257.67,394.78,155.23,0.0,-21.56,-7.1,10.95,0.2527,-0.1785,5.2,4.6,1.8,200
2025-07-31,243.19,218.21,102.5,136.68,195.41,334.6,116.5,1.5,-24.98,-10.3,19.6,0.368,-0.1567,6.9,4.8,1.9,200
