fecha,sim_id,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_ree [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos
2025-06-12,1,307.1774,303.4329,3.7445,1.23,181.229,106.0077,47.9847,39.1568,-49.5212,38.4084,0.4,-0.6,64.014,0.125,0.0,1.3048,22,12.802,7.0897,79.7118,73.3993,1.95,1.4721,6,1
2025-06-12,2,170.3242,303.4329,-133.1087,-43.87,182.5166,60.1128,-31.7468,35.8879,0.0,4.6705,0.9262,-0.0738,63.2978,0.0,0.125,0.0,0,7.1363,9.2979,56.6586,28.0071,1.0035,1.4794,6,2
2025-06-12,3,570.8111,303.4329,267.3782,88.12,173.103,85.8558,344.8245,31.826,0.0,1.1463,1.0187,0.0187,61.4425,0.2186,0.1791,0.0,0,10.0796,18.1142,289.4574,42.0631,0.8345,1.6321,4,3
2025-06-12,4,311.9012,303.4329,8.4683,2.79,187.0402,80.6626,155.2088,37.7577,35.2173,38.0353,0.4,-0.6,63.3922,0.1891,0.0,0.6527,15,9.5881,11.9551,131.5692,81.0165,1.531,0.4008,4,0
2025-06-12,5,293.621,303.4329,-9.8119,-3.23,176.4115,93.3896,93.5394,37.143,-5.4078,37.9843,0.4,-0.6,63.3071,0.125,0.125,0.9101,19,11.1588,11.357,101.3067,40.5465,1.7208,0.6089,4,4
2025-06-12,6,269.5282,303.4329,-33.9047,-11.17,179.9892,88.9293,40.484,35.5192,-33.6386,37.9937,0.4,-0.6,63.3228,0.25,0.125,0.8517,18,10.7289,6.3994,82.5129,36.8288,1.6012,0.4843,4,3
2025-06-12,7,252.5973,303.4329,-50.8356,-16.75,179.9674,91.802,14.7916,32.994,0.0,0.9697,0.9847,-0.0153,63.4152,0.2186,0.0,0.0,0,11.0177,9.0818,83.6261,30.0282,0.822,1.8255,3,1
2025-06-12,8,203.9515,303.4329,-99.4814,-32.79,171.2558,72.9461,-2.0222,30.2821,0.0,7.9461,1.1284,0.1284,61.887,0.25,0.0,0.0,0,8.8166,4.5644,69.6533,22.1728,0.6328,1.5347,3,2
2025-06-12,9,518.2114,303.4329,214.7785,70.78,168.49,69.7109,418.8155,37.3283,68.0544,33.4223,0.4613,-0.5387,62.0468,0.2186,0.0,0.2849,7,8.238,12.4001,251.0533,45.9743,1.3087,1.1264,4,0
2025-06-12,10,275.1277,303.4329,-28.3052,-9.33,178.6913,88.7408,66.8266,35.8164,4.0501,19.2643,0.6904,-0.3096,62.2171,0.2186,0.0,0.0597,2,10.5481,13.1599,105.4577,3.3129,1.1114,0.9282,6,2
