fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal
2025-04-01,342.68,327.57,71.64,257.16,316.77,421.27,240.25,0.0,-15.11,-4.4,12.26,0.2481,-0.1615,5.3,4.9,1.9,200
2025-04-02,315.71,283.03,97.23,170.64,262.3,418.69,159.93,0.0,-32.67,-10.3,11.36,0.2918,-0.0974,5.6,5.1,1.9,200
2025-04-03,315.01,247.02,129.84,154.8,241.34,394.6,61.67,4.5,-67.99,-21.6,4.69,0.3939,-0.099,7.9,4.6,1.9,200
2025-04-04,316.97,248.01,136.61,106.14,247.18,399.66,34.86,3.0,-68.96,-21.8,4.56,0.3483,-0.1089,7.2,4.8,1.8,200
2025-04-05,322.82,274.16,113.56,171.57,264.01,409.34,140.26,0.5,-48.66,-15.1,7.62,0.2509,-0.1622,5.8,4.8,1.9,200
2025-04-06,309.46,228.43,131.58,85.9,228.12,373.11,-10.09,6.0,-81.03,-26.2,8.0,0.3237,-0.1511,7.4,4.9,1.9,200
2025-04-07,400.28,381.31,72.35,306.19,370.36,476.12,293.39,0.0,-18.97,-4.7,13.52,0.2589,-0.1886,5.2,4.9,1.8,200
2025-04-08,330.28,314.89,85.57,241.81,301.57,405.59,232.3,0.5,-15.39,-4.7,11.99,0.2369,-0.1749,4.7,5.0,2.0,200
2025-04-09,311.69,252.25,115.26,147.85,244.18,380.06,89.64,2.5,-59.44,-19.1,9.37,0.2694,-0.1437,6.1,4.6,2.0,200
2025-04-10,308.0,247.26,144.6,140.9,251.27,402.18,54.44,3.0,-60.75,-19.7,7.51,0.2874,-0.0286,7.0,4.8,2.0,200
2025-04-11,310.53,247.37,116.75,138.34,234.2,383.17,106.72,2.0,-63.16,-20.3,7.01,0.3175,-0.1108,7.4,4.8,1.9,200
2025-04-12,298.91,245.07,125.69,125.52,238.98,352.44,53.96,3.0,-53.85,-18.0,8.84,0.2945,-0.1163,7.2,5.0,1.8,200
2025-04-13,310.31,243.15,134.45,136.6,231.92,372.45,111.62,2.5,-67.15,-21.6,7.91,0.2585,0.0199,5.9,4.6,2.0,200
2025-04-14,295.65,224.6,133.3,126.62,227.16,374.02,11.84,4.5,-71.05,-24.0,9.74,0.3591,-0.0156,7.5,4.7,1.9,200
2025-04-15,316.58,239.2,196.49,126.87,249.21,399.88,14.97,5.0,-77.38,-24.4,4.8,0.3284,-0.007,6.8,4.8,2.0,200
2025-04-16,315.96,247.24,142.91,134.93,255.13,406.63,34.34,4.5,-68.72,-21.7,4.68,0.289,-0.0101,6.5,4.7,2.0,200
2025-04-17,327.87,265.44,153.83,146.47,264.99,421.32,105.38,3.5,-62.43,-19.0,6.11,0.3008,-0.1576,6.7,5.0,2.1,200
2025-04-18,310.11,235.25,190.16,103.08,247.3,415.06,-42.89,6.0,-74.86,-24.1,5.25,0.3247,0.045,6.9,4.9,2.0,200
2025-04-19,318.1,240.04,173.51,66.26,251.38,416.15,-16.25,6.5,-78.07,-24.5,1.22,0.387,-0.0903,8.5,4.8,1.8,200
2025-04-20,325.46,280.36,146.63,152.44,265.88,454.36,110.0,2.0,-45.1,-13.9,3.63,0.388,-0.2189,6.8,4.7,1.8,200
2025-04-21,319.21,275.84,114.97,159.3,261.75,411.89,119.36,1.0,-43.37,-13.6,13.95,0.3297,-0.1429,6.8,4.7,2.0,200
2025-04-22,279.02,255.62,80.64,169.71,244.23,354.22,145.73,0.0,-23.4,-8.4,15.81,0.2505,-0.1186,5.5,4.9,1.9,200
2025-04-23,309.09,269.69,153.43,162.58,265.63,416.02,103.24,2.5,-39.39,-12.7,11.3,0.3342,-0.1541,7.2,4.8,1.8,200
2025-04-24,314.48,298.77,106.72,213.49,277.12,417.22,201.45,0.5,-15.71,-5.0,12.74,0.3277,-0.1883,6.5,4.8,1.9,200
2025-04-25,301.36,292.58,86.58,212.36,282.25,389.18,199.82,0.5,-8.78,-2.9,12.71,0.2829,-0.169,4.9,4.8,1.7,200
2025-04-26,317.03,235.71,158.22,115.85,237.74,395.24,-10.9,5.5,-81.32,-25.7,2.96,0.2809,-0.0044,5.8,4.7,2.1,200
2025-04-27,334.4,287.34,109.43,183.42,273.34,411.63,133.6,1.0,-47.06,-14.1,3.9,0.2778,-0.2022,6.0,4.8,1.8,200
2025-04-28,315.01,264.22,134.26,151.15,260.43,403.29,89.34,3.5,-50.79,-16.1,5.79,0.322,-0.1728,6.6,4.6,1.8,200
2025-04-29,317.68,248.34,163.12,102.33,250.63,434.49,10.81,4.5,-69.34,-21.8,2.83,0.3213,-0.0295,6.8,4.8,1.9,200
2025-04-30,358.71,347.11,80.58,268.91,330.44,432.9,250.8,0.0,-11.6,-3.2,8.18,0.1753,-0.2039,3.7,4.6,1.8,200
