fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2026-01-01,1,normal,214.7533,297.5671,-82.8137,-27.83,10.3609,174.2268,58.4622,16.1056,12.191,1.1492,0.1492,81.7283,0.75,0.0,0.0,0,9.36,103.4514,52.7991,0.847,0.8744,5,2,False
2026-01-01,2,normal,323.3662,297.5671,25.7991,8.67,22.6917,187.1456,165.9064,18.1094,34.2681,0.59,-0.41,83.5808,0.0,0.4773,0.4422,8,10.0541,130.2925,43.2195,1.0973,0.9504,6,2,False
2026-01-01,3,normal,211.1558,297.5671,-86.4113,-29.04,19.2972,185.3811,54.9953,15.0695,33.4482,0.59,-0.41,81.5811,0.9183,0.3656,1.3752,22,9.9593,96.3764,43.1616,1.2062,1.1,9,5,False
2026-01-01,4,normal,215.2859,297.5671,-82.2812,-27.65,8.44,190.6367,67.7219,18.2422,33.2705,0.59,-0.41,81.1474,0.2092,0.2092,0.2233,7,10.2416,101.7566,47.2431,1.0678,0.8301,4,2,False
2026-01-01,5,normal,270.7679,297.5671,-26.7991,-9.01,0.2345,202.4863,86.0692,16.9469,1.0751,0.9868,-0.0132,81.5281,0.6121,0.0,0.0,0,10.8782,108.3893,56.3175,0.8872,1.0663,6,0,False
2026-01-01,6,normal,355.638,297.5671,58.071,19.52,-12.5187,175.6075,238.3472,18.8235,26.9745,0.6695,-0.3305,81.6131,0.25,0.0,0.0,0,9.4342,139.7286,46.089,1.0221,0.9974,3,0,False
2026-01-01,7,normal,219.7106,297.5671,-77.8565,-26.16,6.2593,192.2354,60.5585,15.4441,23.8986,1.2953,0.2953,80.9246,0.6864,0.0,0.0,0,10.3275,104.6752,54.2659,0.7496,1.1845,8,2,False
2026-01-01,8,normal,250.5091,297.5671,-47.058,-15.81,-9.7339,183.742,129.1542,19.0781,33.5751,0.59,-0.41,81.8906,0.0,0.25,0.7241,14,9.8712,115.0189,51.2785,1.2138,1.3057,1,1,False
2026-01-01,9,normal,233.8209,297.5671,-63.7461,-21.42,28.7734,188.8644,86.0864,17.3475,52.5558,0.365,-0.635,82.7651,0.6121,0.193,0.1858,7,10.1464,110.3181,40.0167,1.038,1.1633,4,2,False
2026-01-01,10,normal,258.8693,297.5671,-38.6977,-13.0,18.5882,185.5505,107.2949,19.0772,33.4871,0.59,-0.41,81.6759,0.2092,0.0,0.6522,13,9.9684,110.1954,58.3484,1.2485,0.9839,5,3,False
2026-01-01,11,normal,279.3366,297.5671,-18.2304,-6.13,20.1055,184.3271,93.0058,16.0323,2.0695,1.0251,0.0251,82.5963,0.25,0.2092,0.0,0,9.9027,117.3024,44.4507,0.772,0.8279,4,3,False
2026-01-01,12,normal,258.4893,297.5671,-39.0778,-13.13,14.2711,196.4809,98.4642,17.2787,33.4483,0.59,-0.41,81.5812,0.25,0.4592,0.2255,5,10.5556,110.6312,49.8376,1.0465,1.0189,7,5,False
2026-01-01,13,normal,219.1341,297.5671,-78.433,-26.36,-0.0118,191.6274,79.779,18.1665,34.0939,0.59,-0.41,83.156,0.4695,0.0,0.3676,8,10.2949,105.2346,54.5049,1.098,1.0536,3,1,False
2026-01-01,14,normal,252.8575,297.5671,-44.7096,-15.03,0.3472,194.3793,78.2257,19.1131,0.9815,1.0119,0.0119,82.6317,0.0,0.0,0.0,0,10.4427,105.3974,53.8191,0.9924,1.2168,2,0,False
2026-01-01,15,normal,278.2147,297.5671,-19.3524,-6.5,11.7387,176.9798,142.1388,19.0407,33.6019,0.59,-0.41,81.9558,0.25,0.0,0.5326,10,9.5079,117.8437,49.9942,1.2351,1.2025,6,4,False
2026-01-01,16,normal,211.3938,297.5671,-86.1733,-28.96,12.8801,179.7755,70.4164,18.1768,33.5014,0.59,-0.41,81.7107,0.443,0.0,0.4794,11,9.6581,103.3827,54.5584,1.125,0.8535,5,1,False
