fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],P5 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal
2025-09-01,322.35,280.83,116.41,180.95,271.9,428.52,145.24,3.0,-41.52,-12.9,9.6,0.303,-0.1707,6.6,4.9,1.9,200
2025-09-02,308.18,289.1,90.27,193.27,268.09,407.6,179.63,0.0,-19.07,-6.2,19.77,0.3159,-0.1699,6.9,5.1,1.9,200
2025-09-03,308.05,289.79,103.16,189.37,282.24,408.72,175.1,0.5,-18.25,-5.9,16.68,0.3373,-0.1497,6.1,4.6,1.9,200
2025-09-04,288.08,257.75,92.18,153.13,243.18,374.43,130.15,0.0,-30.33,-10.5,17.48,0.3245,-0.1794,7.4,4.8,1.8,200
2025-09-05,290.81,252.32,108.08,157.68,232.25,385.03,135.62,0.5,-38.49,-13.2,16.75,0.2695,-0.1549,6.3,4.8,1.9,200
2025-09-06,299.8,214.29,140.92,74.87,213.38,370.77,-54.38,6.0,-85.51,-28.5,11.34,0.3453,0.0151,8.2,4.9,1.9,200
2025-09-07,323.45,275.31,134.09,151.45,267.62,409.21,137.43,1.5,-48.15,-14.9,10.91,0.3313,-0.204,6.6,4.9,1.8,200
2025-09-08,204.08,158.69,142.12,72.78,148.68,277.64,49.71,1.5,-45.4,-22.2,26.26,0.311,-0.1184,7.2,5.0,2.0,200
2025-09-09,257.75,219.19,101.45,130.71,196.6,328.55,108.32,1.0,-38.56,-15.0,18.26,0.2997,-0.1384,6.9,4.6,2.0,200
2025-09-10,291.07,261.61,104.3,174.74,251.38,388.92,157.33,2.0,-29.46,-10.1,14.81,0.2596,-0.1537,6.3,4.8,2.0,200
2025-09-11,310.76,298.35,88.23,196.58,281.54,404.7,186.43,0.0,-12.41,-4.0,17.59,0.2722,-0.1979,5.9,4.8,1.9,200
2025-09-12,279.63,265.7,87.51,187.13,255.21,343.69,175.23,0.0,-13.93,-5.0,19.95,0.242,-0.1423,5.6,5.0,1.8,200
2025-09-13,279.62,256.27,90.66,168.81,237.92,362.59,158.56,0.0,-23.35,-8.4,17.17,0.2581,-0.1001,5.7,4.6,2.0,200
2025-09-14,306.65,262.27,96.52,170.92,251.57,388.87,151.63,1.5,-44.38,-14.5,14.29,0.328,-0.1507,6.7,4.7,1.9,200
2025-09-15,266.79,252.01,97.91,167.74,251.32,351.68,158.08,1.5,-14.78,-5.5,17.88,0.3052,-0.1143,5.7,4.8,2.0,200
2025-09-16,305.64,294.17,84.88,207.23,281.59,398.43,190.93,0.0,-11.47,-3.8,18.19,0.2712,-0.0994,5.5,4.7,2.0,200
2025-09-17,275.58,268.42,88.79,187.81,251.33,374.17,172.27,0.5,-7.16,-2.6,18.66,0.3159,-0.1373,6.7,5.0,2.1,200
2025-09-18,212.66,214.67,76.15,143.0,202.32,298.96,119.75,0.5,2.01,0.9,16.98,0.3107,-0.074,5.5,4.9,2.0,200
2025-09-19,182.87,169.52,77.69,89.1,157.3,272.85,75.99,0.5,-13.34,-7.3,27.37,0.37,-0.179,8.8,4.8,1.8,200
2025-09-20,271.13,262.55,108.17,166.23,237.18,409.68,137.54,0.5,-8.58,-3.2,20.71,0.4197,-0.1782,8.2,4.7,1.8,200
2025-09-21,277.73,229.58,134.54,106.99,217.2,399.88,50.83,4.0,-48.15,-17.3,16.28,0.3615,-0.0551,8.0,4.7,2.0,200
2025-09-22,319.64,284.48,105.16,177.29,273.85,415.97,158.88,0.5,-35.16,-11.0,9.92,0.2873,-0.1413,5.7,4.9,1.9,200
2025-09-23,295.89,266.38,153.81,156.32,256.58,421.88,124.61,2.5,-29.51,-10.0,14.67,0.337,-0.1438,6.6,4.8,1.8,200
2025-09-24,304.54,267.01,125.78,161.58,243.6,412.07,121.47,2.0,-37.53,-12.3,15.73,0.3547,-0.141,7.4,4.8,1.9,200
2025-09-25,272.88,256.85,88.76,183.32,248.37,336.54,168.31,0.5,-16.03,-5.9,13.62,0.3658,-0.0936,7.6,4.8,1.7,200
2025-09-26,221.4,204.39,70.25,134.72,194.95,280.99,114.06,0.0,-17.01,-7.7,21.34,0.2829,-0.1263,5.4,4.7,2.1,200
2025-09-27,243.31,212.17,99.91,124.98,193.63,339.64,93.05,1.5,-31.14,-12.8,24.04,0.3151,-0.1366,8.1,4.8,1.8,200
2025-09-28,252.77,200.38,134.11,86.03,185.42,344.03,32.22,4.5,-52.39,-20.7,19.15,0.3773,-0.0989,8.0,4.6,1.8,200
2025-09-29,258.84,207.01,121.39,97.37,198.53,345.05,66.09,3.0,-51.83,-20.0,17.84,0.3355,-0.1362,6.9,4.8,1.9,200
2025-09-30,280.13,279.51,88.61,202.49,262.07,369.42,189.31,0.0,-0.62,-0.2,15.32,0.2854,-0.1129,6.0,4.6,1.8,200
