fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal
2025-03-01,204.94,155.48,123.31,51.69,146.57,314.71,24.21,4.0,-49.46,-24.1,25.5,0.349,-0.0612,8.0,4.9,1.9,200
2025-03-02,214.92,172.17,107.87,49.0,159.91,303.4,31.92,3.5,-42.75,-19.9,21.56,0.313,-0.1628,6.5,5.1,1.9,200
2025-03-03,141.43,122.61,101.93,21.76,113.23,248.05,13.08,4.0,-18.82,-13.3,31.18,0.3603,-0.1358,5.7,4.6,1.9,200
2025-03-04,147.18,117.77,90.36,22.4,105.25,230.35,3.51,4.5,-29.4,-20.0,32.86,0.3282,-0.1637,7.6,4.8,1.8,200
2025-03-05,192.42,154.19,109.02,58.39,129.28,281.82,31.03,1.5,-38.23,-19.9,27.86,0.2734,-0.1171,6.4,4.8,1.9,200
2025-03-06,179.48,129.79,99.59,32.91,118.08,260.24,3.5,5.0,-49.69,-27.7,22.48,0.3263,-0.1105,6.4,4.9,1.9,200
2025-03-07,245.95,195.58,152.19,85.19,184.96,340.29,64.3,3.0,-50.37,-20.5,20.4,0.3734,-0.1219,7.6,4.9,1.8,200
2025-03-08,314.72,230.17,199.36,122.14,234.26,383.09,60.13,2.5,-84.55,-26.9,5.98,0.3184,-0.0719,7.6,5.0,2.0,200
2025-03-09,294.4,242.83,110.64,143.85,225.12,370.43,111.36,1.5,-51.56,-17.5,15.15,0.2858,-0.1367,5.9,4.6,2.0,200
2025-03-10,155.39,134.81,70.03,63.95,124.53,232.43,51.74,1.5,-20.57,-13.2,21.21,0.285,-0.0866,5.7,4.8,2.0,200
2025-03-11,143.01,118.75,88.63,32.13,96.28,249.13,18.55,1.5,-24.26,-17.0,28.16,0.2984,-0.1509,6.5,4.8,1.9,200
2025-03-12,164.41,157.74,93.08,76.7,137.01,251.15,51.73,0.0,-6.66,-4.1,24.07,0.2954,-0.1384,5.5,5.0,1.8,200
2025-03-13,127.19,112.66,56.63,52.26,104.54,181.67,42.89,1.5,-14.53,-11.4,15.29,0.2671,-0.0295,6.1,4.6,2.0,200
2025-03-14,289.81,244.97,91.1,152.78,231.44,370.82,139.3,0.5,-44.84,-15.5,16.13,0.3116,-0.1381,6.0,4.7,1.9,200
2025-03-15,312.77,276.84,115.98,181.67,271.43,396.26,163.69,2.0,-35.93,-11.5,14.77,0.285,-0.1442,5.6,4.8,2.0,200
2025-03-16,277.93,247.5,93.58,156.07,235.33,356.3,131.8,1.0,-30.43,-10.9,15.37,0.2638,-0.1013,5.9,4.7,2.0,200
2025-03-17,219.73,210.89,64.36,157.94,198.3,287.85,144.71,0.0,-8.84,-4.0,12.84,0.3425,-0.0289,6.7,5.0,2.1,200
2025-03-18,301.13,279.03,93.54,203.73,269.36,385.44,182.1,1.0,-22.1,-7.3,10.43,0.3071,-0.0778,5.7,4.9,2.0,200
2025-03-19,309.87,258.35,121.43,132.49,255.68,392.75,89.95,2.5,-51.52,-16.6,11.46,0.3619,-0.1449,7.3,4.8,1.8,200
2025-03-20,318.09,269.71,152.09,120.41,260.95,467.07,51.36,3.5,-48.38,-15.2,7.68,0.413,-0.1928,7.3,4.7,1.8,200
2025-03-21,316.45,241.24,174.66,77.32,248.19,444.12,-55.48,6.0,-75.22,-23.8,4.0,0.3656,-0.0871,7.4,4.7,2.0,200
2025-03-22,321.3,257.59,139.21,132.76,257.06,407.65,40.89,3.0,-63.71,-19.8,3.48,0.293,-0.1231,6.6,4.9,1.9,200
2025-03-23,336.2,273.55,183.89,126.95,284.2,440.21,12.09,5.0,-62.65,-18.6,7.76,0.3244,-0.1504,6.9,4.8,1.8,200
2025-03-24,363.35,335.37,89.86,259.17,322.06,437.54,239.04,0.5,-27.98,-7.7,5.3,0.4238,-0.0557,8.4,4.8,1.9,200
2025-03-25,361.01,347.95,70.33,272.43,343.92,427.19,263.62,0.5,-13.06,-3.6,7.49,0.3334,-0.1027,6.5,4.8,1.7,200
2025-03-26,350.25,304.28,77.64,235.7,296.56,386.89,205.21,0.5,-45.97,-13.1,7.06,0.2736,-0.1148,5.5,4.7,2.1,200
2025-03-27,333.64,329.24,73.87,254.83,312.76,429.57,240.79,0.0,-4.4,-1.3,13.81,0.2692,-0.1528,4.6,4.8,1.8,200
2025-03-28,315.97,278.76,124.42,175.03,272.68,403.6,121.09,1.0,-37.21,-11.8,7.5,0.3117,-0.1665,5.6,4.6,1.8,200
2025-03-29,317.88,247.07,167.37,85.57,249.31,442.17,-0.42,5.0,-70.82,-22.3,2.34,0.3227,-0.043,7.3,4.8,1.9,200
2025-03-31,388.96,349.63,116.81,242.33,337.15,475.69,163.27,0.5,-39.33,-10.1,6.63,0.2576,-0.1695,5.6,4.6,1.8,200
