fecha,sim_id,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_ree [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos
2025-03-04,93,60.8373,147.175,-86.3377,-58.66,68.1148,91.663,-23.2264,34.988,-1.8135,42.5395,0.5632,-0.4368,97.3793,0.25,0.0,0.0275,2,10.6272,6.1402,91.9535,137.9113,1.1571,2.8472,3,3
2025-03-04,94,50.2683,147.175,-96.9068,-65.84,71.681,64.6949,136.9987,36.4514,127.337,59.318,0.4,-0.6,98.8634,0.214,0.0,1.1331,24,7.5006,12.7194,160.998,234.4317,1.7662,0.9762,5,1
2025-03-04,95,86.0796,147.175,-61.0954,-41.51,70.5293,71.7959,-2.0689,30.1457,0.0,24.031,1.2481,0.2481,96.8744,0.125,0.0,0.0,0,8.3239,6.1604,100.7521,193.1795,0.673,1.7065,1,0
2025-03-04,96,323.552,147.175,176.3769,119.84,67.5612,90.3743,238.6409,32.741,8.9611,31.3224,0.6739,-0.3261,96.0589,0.25,0.125,0.0458,3,10.4778,12.1195,218.9845,5.2566,1.0408,1.4541,6,3
2025-03-04,97,91.6082,147.175,-55.5669,-37.76,64.4653,71.4563,-6.9778,34.0372,0.0,3.2984,0.9665,-0.0335,98.5647,0.125,0.0,0.0,0,8.2845,10.9987,99.9839,31.4633,0.9614,0.7288,5,0
2025-03-04,98,249.8085,147.175,102.6335,69.74,66.9307,78.5965,225.0886,36.083,49.4404,35.2838,0.6376,-0.3624,97.3635,0.0,0.2128,0.285,9,9.1123,7.1049,197.1233,15.2722,1.321,0.3205,4,3
2025-03-04,99,182.6622,147.175,35.4871,24.11,62.1638,87.1897,77.7544,27.1371,0.0,17.3087,1.1797,0.1797,96.2956,0.375,0.125,0.0,0,10.1086,11.5319,161.6945,50.3425,0.6632,1.0743,7,4
2025-03-04,100,54.2842,147.175,-92.8909,-63.12,69.5541,79.2069,4.5438,37.3167,7.563,54.1409,0.4392,-0.5608,96.5506,0.125,0.125,0.5334,15,9.1831,7.4751,104.7848,22.3126,1.5278,0.5951,6,1
2025-03-04,101,94.0632,147.175,-53.1118,-36.09,61.047,82.3146,4.957,36.5394,-0.4279,18.1439,0.8147,-0.1853,97.9384,0.0,0.0,0.0423,2,9.5434,8.3158,104.9783,176.0848,1.1392,1.6031,5,2
2025-03-04,102,362.4358,147.175,215.2607,146.26,77.9371,63.6942,300.1309,33.3015,12.6138,33.4111,0.6559,-0.3441,97.1048,0.125,0.214,0.0414,2,7.3846,7.7121,249.0459,45.1433,1.0959,0.7872,2,6
2025-03-04,103,121.6127,147.175,-25.5624,-17.37,71.0345,66.3325,61.5741,31.8099,11.165,34.3535,0.6452,-0.3548,96.8345,0.464,0.0,0.1503,6,7.6904,9.0522,134.133,21.777,1.0367,0.8151,7,0
2025-03-04,104,204.5194,147.175,57.3444,38.96,84.9579,75.1739,85.4138,33.0912,0.0,7.9349,1.0803,0.0803,98.8729,0.125,0.0,0.0,0,8.7155,12.0522,152.8864,7.2387,0.9021,0.9086,4,1
2025-03-04,105,123.3293,147.175,-23.8458,-16.2,59.7599,114.4059,-1.0787,30.9991,0.0,18.7587,1.1938,0.1938,96.7926,0.125,0.0,0.0,0,13.264,11.6488,102.6719,30.3895,0.7471,1.1362,4,1
2025-03-04,106,26.0187,147.175,-121.1563,-82.32,69.2741,57.0415,-41.6999,36.4962,-19.7088,41.8097,0.5712,-0.4288,97.4991,0.0,0.25,0.6236,17,6.6133,8.6109,87.8759,573.2335,1.5114,0.9634,1,2
2025-03-04,107,-25.0435,147.175,-172.2185,-117.02,67.2083,63.9113,-118.263,35.5367,0.0,2.3633,0.9759,-0.0241,98.2549,0.0,0.0,0.0,0,7.4097,7.5691,45.5019,6.4092,1.0111,1.7034,4,0
2025-03-04,108,91.963,147.175,-55.212,-37.51,77.0776,72.953,15.2783,36.0657,2.567,34.7131,0.6404,-0.3596,96.5282,0.125,0.0,0.1426,5,8.458,13.3129,109.5735,28.1691,1.1991,1.4278,3,1
2025-03-04,109,130.1993,147.175,-16.9758,-11.53,79.3084,88.1098,2.702,33.0859,0.0,6.835,1.069,0.069,99.0966,0.125,0.0,0.0,0,10.2153,11.6687,106.8104,16.8021,0.9175,0.8839,8,2
2025-03-04,110,159.8172,147.175,12.6422,8.59,66.8974,95.5172,29.0205,29.3057,0.0,2.3122,0.9757,-0.0243,95.2954,0.375,0.125,0.0,0,11.0741,9.4976,119.1523,24.9437,0.8187,0.8023,6,3
2025-03-04,111,187.2764,147.175,40.1014,27.25,79.8935,97.2068,64.7177,30.4728,0.0,24.0688,1.245,0.245,98.2224,0.125,0.0,0.0,0,11.2699,7.2969,149.8599,83.4084,0.7075,0.662,4,1
2025-03-04,112,109.5435,147.175,-37.6315,-25.57,64.2272,74.7809,17.9666,32.8764,0.0,14.5548,1.1532,0.1532,95.0217,0.125,0.0878,0.0,0,8.6699,7.7991,110.0973,62.8508,0.9225,0.582,4,1
2025-03-04,113,200.0379,147.175,52.8628,35.92,57.6889,83.1079,103.6946,33.427,0.0,11.0263,1.1149,0.1149,95.9425,0.0,0.0,0.0,0,9.6353,4.0224,160.1016,29.3248,0.8548,0.7682,4,0
2025-03-04,114,13.3637,147.175,-133.8114,-90.92,66.8034,67.4325,80.4355,31.7771,111.813,57.7176,0.4,-0.6,96.196,0.589,0.0,1.5213,29,7.818,10.0925,137.7976,46.0066,1.8497,0.3223,6,3
2025-03-04,115,119.6131,147.175,-27.5619,-18.73,72.2667,76.073,128.0322,32.8866,65.4575,58.4146,0.4,-0.6,97.3577,0.375,0.125,0.5661,18,8.8197,5.946,162.4344,226.6562,1.3581,0.9067,8,2
2025-03-04,116,168.0268,147.175,20.8517,14.17,88.3935,126.8753,44.0745,35.5818,3.2624,52.4723,0.4677,-0.5323,98.5729,0.125,0.125,0.1267,5,14.7096,4.9932,123.1003,218.1868,1.2171,1.1994,4,2
2025-03-04,117,61.1771,147.175,-85.9979,-58.43,69.2662,67.8396,-29.4943,30.6107,0.0,15.8237,0.838,-0.162,97.7063,0.464,0.0,0.0,0,7.8652,3.613,88.0706,8.1331,0.9278,1.8239,7,4
2025-03-04,118,52.3856,147.175,-94.7894,-64.41,77.3556,70.8112,-28.8751,37.7804,-8.5973,37.723,0.6152,-0.3848,98.0356,0.0,0.0,0.3321,11,8.2097,6.3817,90.8287,38.0244,1.3602,0.3787,5,1
2025-03-04,119,-4.4329,147.175,-151.608,-103.01,57.2647,69.6839,-91.7122,31.7739,0.0,7.8955,1.0799,0.0799,98.7839,0.25,0.125,0.0,0,8.079,12.4733,54.5073,28.3288,0.9729,0.9809,6,5
2025-03-04,120,107.0246,147.175,-40.1504,-27.28,79.4365,64.4643,67.0574,35.633,15.5798,52.7207,0.4594,-0.5406,97.5298,0.25,0.0,0.3964,13,7.4738,6.1281,131.4676,21.7958,1.3554,1.8594,7,1
2025-03-04,121,76.1227,147.175,-71.0524,-48.28,71.6972,92.8372,-11.017,36.0027,-17.2293,58.6212,0.4,-0.6,97.702,0.125,0.125,0.9517,23,10.7633,5.2685,96.7522,6.8957,1.66,0.9751,6,2
2025-03-04,122,9.798,147.175,-137.377,-93.34,69.2879,72.1933,-88.4051,33.4496,0.0,9.8284,1.1045,0.1045,94.0738,0.0,0.0,0.0,0,8.3699,12.7642,48.9648,54.0137,0.869,1.1434,3,1
2025-03-04,123,105.8802,147.175,-41.2949,-28.06,71.7405,74.085,4.4146,32.7174,0.0,11.6425,1.1214,0.1214,95.8909,0.0,0.089,0.0,0,8.5892,12.7319,104.5007,28.4959,0.8459,1.9523,1,1
2025-03-04,124,200.9747,147.175,53.7997,36.55,61.2463,83.9567,106.1032,34.4952,5.6573,10.1789,0.8929,-0.1071,95.0367,0.125,0.0,0.0571,3,9.7338,4.5343,152.4859,39.0048,1.0234,0.8064,4,0
2025-03-04,125,140.4557,147.175,-6.7193,-4.57,67.5108,89.4353,53.4583,26.4069,0.0,43.5417,1.4562,0.4562,95.4446,0.125,0.339,0.0,0,10.3689,12.9368,147.3261,35.6807,0.5708,0.6721,4,4
2025-03-04,126,45.1274,147.175,-102.0477,-69.34,77.2688,81.1222,-52.7813,37.1678,-4.3383,27.6528,0.7137,-0.2863,96.5876,0.0,0.0,0.1496,5,9.4051,12.3742,80.4717,25.1753,1.2054,1.0316,4,0
2025-03-04,127,213.4373,147.175,66.2623,45.02,79.7542,72.2754,140.1555,34.8579,3.3675,40.5223,0.5841,-0.4159,97.4243,0.25,0.0,0.0379,2,8.3794,13.7613,167.1959,28.9219,1.1351,0.8306,5,2
2025-03-04,128,141.6375,147.175,-5.5375,-3.76,63.6296,61.1219,72.8683,31.5491,11.2243,13.2089,0.8656,-0.1344,98.25,0.125,0.25,0.1362,6,7.0863,9.8485,144.6165,110.3831,0.9956,0.6059,6,4
2025-03-04,129,27.4889,147.175,-119.6862,-81.32,74.3725,81.1733,-85.8337,37.5608,-53.5845,58.2469,0.4,-0.6,97.0782,0.0,0.125,0.7395,19,9.4111,5.1253,67.0859,322.7716,1.6331,1.0043,4,3
2025-03-04,130,16.9457,147.175,-130.2294,-88.49,61.4251,80.0595,197.7778,34.4447,228.358,59.514,0.4,-0.6,99.19,0.25,0.125,1.3055,28,9.2819,8.145,191.3857,134.3724,1.7557,0.2809,3,1
2025-03-04,131,366.0753,147.175,218.9003,148.73,60.2273,98.2221,393.349,37.0716,97.5907,51.0608,0.4787,-0.5213,97.9397,0.125,0.0,0.3004,11,11.3877,7.4608,264.8661,24.4334,1.3338,0.3263,6,0
2025-03-04,132,54.2267,147.175,-92.9484,-63.15,78.5529,64.6843,-30.3549,29.2126,0.0,29.4431,1.2987,0.2987,98.5641,0.125,0.0,0.0,0,7.4994,6.1988,79.4333,34.7955,0.6039,0.4935,7,0
2025-03-04,133,56.2024,147.175,-90.9726,-61.81,68.6803,72.7652,-25.3634,35.3992,-0.1751,24.6556,0.7476,-0.2524,97.6669,0.125,0.0,0.0255,2,8.4362,5.6506,92.5269,49.28,1.1237,0.8531,7,3
2025-03-04,134,257.3342,147.175,110.1591,74.85,79.9109,77.0316,166.1685,33.7087,9.672,22.3962,0.7688,-0.2312,96.8892,0.125,0.125,0.0648,4,8.9309,8.7542,184.46,18.8245,1.0303,0.5909,1,1
2025-03-04,135,20.2737,147.175,-126.9013,-86.22,58.6757,63.1212,-43.7999,30.2536,0.0,27.4696,1.2872,0.2872,95.6476,0.0,0.0,0.0,0,7.3181,10.909,65.9265,18.2295,0.6196,0.9346,4,0
2025-03-04,136,126.4025,147.175,-20.7725,-14.11,68.5556,98.021,52.1404,33.7922,10.7258,47.7965,0.5049,-0.4951,96.5411,0.25,0.125,0.2379,8,11.3643,4.6471,125.9529,164.8022,1.2182,0.9297,8,3
2025-03-04,137,53.1051,147.175,-94.07,-63.92,73.2114,88.9337,-35.1894,34.9268,-2.0978,41.0216,0.573,-0.427,96.0668,0.25,0.0,0.0505,3,10.3108,5.4103,85.6362,106.3524,1.1468,0.9796,5,2
2025-03-04,138,141.4522,147.175,-5.7229,-3.89,74.7586,90.0283,30.4453,31.0778,0.0,22.7023,1.2293,0.2293,99.0048,0.125,0.0,0.0,0,10.4377,9.359,125.0339,25.52,0.7642,1.7843,3,2
2025-03-04,139,21.9469,147.175,-125.2281,-85.09,69.3755,70.2204,-63.2004,28.9935,0.0,25.4551,1.2656,0.2656,95.832,0.25,0.0,0.0,0,8.1412,9.735,53.0471,112.0939,0.6491,1.0368,4,0
2025-03-04,140,44.2309,147.175,-102.9442,-69.95,58.3983,100.4121,-63.0664,34.4447,-40.5378,57.6063,0.4,-0.6,96.0105,0.375,0.0,0.7115,20,11.6416,7.1368,73.0291,550.3785,1.4639,0.8673,7,0
2025-03-04,141,60.6313,147.175,-86.5438,-58.8,78.4218,96.2283,100.4531,37.5608,119.0768,57.8343,0.4,-0.6,96.3905,0.125,0.0,1.7959,33,11.1565,7.4956,139.3542,109.298,2.1047,1.0327,6,0
2025-03-04,142,166.8841,147.175,19.7091,13.39,77.3833,86.348,41.5635,34.9344,0.0,3.4763,1.0353,0.0353,98.39,0.0,0.0,0.0,0,10.011,8.656,125.4939,461.2096,0.9953,1.1495,4,2
2025-03-04,143,71.453,147.175,-75.722,-51.45,71.1449,90.5049,-22.024,30.9807,-8.6378,45.83,0.5281,-0.4719,97.1089,0.375,0.3019,0.7861,21,10.4929,6.5346,92.9067,20.5823,1.3982,1.232,4,3
2025-03-04,144,53.2019,147.175,-93.9732,-63.85,63.6793,77.3728,-42.1621,34.5397,0.2396,10.9088,0.8857,-0.1143,95.4742,0.125,0.0,0.0193,1,8.9704,4.5219,80.1746,8.1277,1.0081,0.9717,7,0
2025-03-04,145,170.9228,147.175,23.7478,16.14,75.6309,68.5946,89.7592,29.6616,0.0,33.4003,1.3402,0.3402,98.1869,0.089,0.2128,0.0,0,7.9527,8.1025,163.1557,187.3522,0.749,1.2969,3,4
2025-03-04,146,55.9344,147.175,-91.2407,-61.99,67.8417,73.9671,7.7297,32.8866,2.5372,58.1804,0.4,-0.6,96.9673,0.375,0.125,0.5601,19,8.5756,10.1494,106.2015,1596.8673,1.3355,2.0928,7,1
2025-03-04,147,112.6355,147.175,-34.5396,-23.47,66.2474,66.7987,40.8539,28.9914,0.0,32.2732,1.3231,0.3231,99.8729,0.125,0.0,0.0,0,7.7445,12.0184,140.2823,20.5464,0.5961,0.5497,2,1
2025-03-04,148,37.3061,147.175,-109.8689,-74.65,61.8107,82.4404,-22.8655,36.0027,-10.2728,58.3495,0.4,-0.6,97.2492,0.0,0.25,0.3987,12,9.558,7.3311,92.276,47.8784,1.3844,1.0528,3,3
2025-03-04,149,275.5827,147.175,128.4076,87.25,67.4588,87.9653,316.9247,38.483,110.2449,48.0382,0.5022,-0.4978,96.5073,0.0,0.0,0.4269,13,10.1985,7.661,229.1236,80.542,1.4391,1.081,4,0
2025-03-04,150,25.6821,147.175,-121.493,-82.55,62.1065,73.3601,-43.0075,37.3379,-24.8648,54.304,0.4358,-0.5642,96.2578,0.125,0.0,0.693,17,8.5052,7.4134,83.633,39.541,1.5692,1.2368,6,1
2025-03-04,151,128.8955,147.175,-18.2795,-12.42,76.3769,59.9658,40.1458,34.6328,0.0,12.9601,0.8653,-0.1347,96.2209,0.125,0.0,0.0,0,6.9523,5.2062,121.6731,26.7585,1.0203,0.3867,7,1
2025-03-04,152,20.77,147.175,-126.4051,-85.89,67.6402,56.3909,-39.1982,28.0379,0.0,36.0251,1.3678,0.3678,97.9403,0.125,0.0,0.0,0,6.5378,6.5269,66.1078,17.2836,0.5323,1.4624,2,2
