fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2025-05-01,308.11,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,13.29,56.44,-10.45,66.89
2025-05-02,318.09,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,10.94,69.94,-4.14,74.07
2025-05-03,312.07,2.183,2.481,2.404,0.0,9.25,0.346,2.183,0.077,16.17,64.81,-3.11,67.92
2025-05-04,313.47,2.211,2.513,2.481,0.0,9.37,0.144,2.211,0.032,11.0,38.15,-5.25,43.41
2025-05-05,313.19,2.209,2.51,2.477,0.0,9.36,0.148,2.209,0.033,10.89,35.56,-4.23,39.79
2025-05-06,318.68,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,10.24,66.75,-4.4,71.15
2025-05-07,320.12,2.498,2.839,2.828,0.456,8.654,0.047,2.042,0.01,19.01,88.04,-0.64,88.68
2025-05-08,321.13,2.472,2.809,2.755,0.456,8.544,0.245,2.016,0.054,16.76,81.5,-0.02,81.53
2025-05-09,317.31,2.472,2.809,2.755,0.456,8.544,0.245,2.016,0.055,18.24,80.59,-0.01,80.6
2025-05-10,313.44,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,9.08,37.73,-10.19,47.93
2025-05-11,318.2,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,2.21,36.19,-15.47,51.66
2025-05-12,340.09,2.561,2.91,2.848,0.61,8.265,0.277,1.95,0.062,21.69,125.2,-4.29,129.49
2025-05-13,332.04,2.884,3.277,3.249,1.11,7.515,0.126,1.773,0.028,41.42,137.14,-2.56,139.71
2025-05-14,297.02,2.206,2.507,2.473,0.0,9.347,0.152,2.206,0.034,30.55,93.03,-4.01,97.05
2025-05-15,313.73,2.183,2.481,2.404,0.0,9.25,0.346,2.183,0.077,11.62,35.93,-5.09,41.02
2025-05-16,318.44,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,4.68,41.86,-10.18,52.04
2025-05-17,313.77,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,10.64,58.51,-11.37,69.89
2025-05-18,314.36,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,6.76,41.18,-16.03,57.22
2025-05-19,313.5,2.183,2.481,2.404,0.0,9.25,0.346,2.183,0.077,12.85,44.55,-2.59,47.15
2025-05-20,316.01,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,13.41,57.12,-3.92,61.04
2025-05-21,306.56,2.183,2.481,2.404,0.0,9.25,0.346,2.183,0.077,20.19,69.16,-1.14,70.3
2025-05-22,317.64,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,3.35,24.69,-5.26,29.95
2025-05-23,316.97,2.211,2.513,2.481,0.0,9.37,0.144,2.211,0.032,5.11,31.49,-3.07,34.56
2025-05-24,315.77,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,7.2,53.37,-9.91,63.28
2025-05-25,314.24,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,6.47,35.35,-15.73,51.08
2025-05-26,313.87,2.472,2.809,2.755,0.456,8.544,0.245,2.016,0.054,17.18,77.38,-0.52,77.9
2025-05-27,326.69,2.561,2.91,2.848,0.61,8.265,0.277,1.95,0.062,26.84,112.66,-0.01,112.67
2025-05-28,316.49,2.561,2.91,2.848,0.61,8.265,0.277,1.95,0.062,27.78,102.8,-0.64,103.44
2025-05-29,329.98,2.689,3.056,3.036,0.793,8.035,0.089,1.896,0.02,35.01,139.78,-0.92,140.7
2025-05-30,316.45,2.579,2.931,2.911,0.61,8.343,0.089,1.969,0.02,43.96,130.89,-0.07,130.97
2025-05-31,288.57,2.449,2.783,2.757,0.417,8.61,0.118,2.032,0.026,40.24,110.02,-5.64,115.66
