fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2026-02-01,672.57,4.854,5.995,5.708,1.111,15.889,1.292,3.743,0.288,24.58,131.8,0.09,131.71
2026-02-02,662.11,4.239,5.236,5.017,0.0,17.994,0.983,4.239,0.219,13.83,54.72,0.0,54.72
2026-02-03,719.01,5.314,6.562,6.151,2.057,13.825,1.849,3.257,0.411,32.74,127.71,0.0,127.71
2026-02-04,650.46,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,17.22,65.1,0.16,64.94
2026-02-05,666.93,4.359,5.383,5.35,0.0,18.5,0.15,4.359,0.033,6.3,35.02,-0.1,35.12
2026-02-06,665.65,4.359,5.383,5.35,0.0,18.5,0.15,4.359,0.033,9.39,60.0,-0.15,60.15
2026-02-07,663.77,4.359,5.383,5.35,0.0,18.5,0.15,4.359,0.033,6.85,36.58,-0.17,36.75
2026-02-08,665.33,4.359,5.383,5.35,0.0,18.5,0.15,4.359,0.033,5.92,53.0,-2.51,55.51
2026-02-09,695.43,5.308,6.554,6.284,1.876,14.565,1.216,3.432,0.271,20.95,99.99,-0.03,100.02
2026-02-10,666.35,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,4.69,35.0,0.0,35.0
2026-02-11,666.4,4.359,5.383,5.35,0.0,18.5,0.15,4.359,0.033,4.23,35.0,-0.42,35.42
2026-02-12,663.42,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,5.7,35.01,-1.0,36.01
2026-02-13,666.61,4.359,5.383,5.35,0.0,18.5,0.15,4.359,0.034,4.42,35.0,-0.04,35.04
2026-02-14,665.53,4.359,5.383,5.35,0.0,18.5,0.15,4.359,0.033,2.13,22.0,-4.0,26.0
2026-02-15,666.62,4.359,5.383,5.35,0.0,18.5,0.15,4.359,0.033,1.55,15.37,-2.51,17.88
2026-02-16,666.92,4.359,5.383,5.35,0.0,18.5,0.15,4.359,0.033,4.4,27.55,-0.04,27.59
2026-02-17,671.24,4.795,5.922,5.828,0.847,16.759,0.422,3.949,0.094,26.78,135.77,-0.01,135.78
2026-02-18,629.41,4.558,5.629,5.452,0.494,17.25,0.798,4.064,0.178,18.24,90.0,0.0,90.0
2026-02-19,652.22,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,14.87,87.97,-0.81,88.78
2026-02-20,644.98,4.94,6.101,5.916,1.148,16.095,0.834,3.792,0.186,28.38,102.66,-1.0,103.66
2026-02-21,616.67,4.485,5.539,5.264,0.475,17.018,1.236,4.01,0.275,29.11,102.17,-0.01,102.18
2026-02-22,638.94,4.662,5.757,5.473,0.784,16.46,1.277,3.878,0.284,22.21,99.57,-1.0,100.57
2026-02-23,709.09,5.035,6.217,5.852,1.809,13.691,1.644,3.226,0.366,34.82,187.1,-1.5,188.6
2026-02-24,639.9,5.32,6.57,6.375,1.799,14.945,0.875,3.521,0.195,28.25,105.07,-0.99,106.06
2026-02-25,655.57,4.966,6.133,5.885,1.259,15.734,1.115,3.707,0.248,29.9,113.73,-0.81,114.54
2026-02-26,650.03,4.966,6.133,5.885,1.259,15.734,1.115,3.707,0.248,27.38,103.02,-2.1,105.12
2026-02-27,632.21,4.299,5.31,5.184,0.0,18.247,0.566,4.299,0.126,20.1,75.0,-0.01,75.01
2026-02-28,645.18,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,14.5,82.01,-0.06,82.07
