fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2025-11-01,284.2,2.325,2.642,2.611,0.185,9.065,0.139,2.139,0.031,45.58,104.97,9.0,95.97
2025-11-02,317.87,2.368,2.691,2.603,0.32,8.68,0.397,2.048,0.088,40.02,113.5,0.0,113.5
2025-11-03,257.67,2.994,3.402,3.341,1.346,6.986,0.278,1.649,0.062,82.78,157.15,12.86,144.29
2025-11-04,282.12,2.198,2.498,2.426,0.031,9.185,0.324,2.168,0.072,49.44,87.79,1.55,86.24
2025-11-05,303.55,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,27.75,70.68,3.52,67.16
2025-11-06,318.55,2.411,2.74,2.702,0.338,8.787,0.173,2.074,0.038,40.25,127.39,0.65,126.74
2025-11-07,214.1,2.253,2.56,2.541,0.052,9.322,0.084,2.2,0.019,68.22,112.52,33.0,79.52
2025-11-08,303.21,2.234,2.539,2.443,0.108,9.01,0.432,2.126,0.096,41.17,95.92,-0.45,96.37
2025-11-09,282.52,2.259,2.567,2.443,0.185,8.785,0.557,2.073,0.124,57.9,122.94,0.65,122.29
2025-11-10,224.42,2.822,3.207,3.159,1.038,7.559,0.216,1.784,0.048,81.69,150.01,25.77,124.24
2025-11-11,254.26,2.206,2.507,2.438,0.071,9.048,0.312,2.135,0.069,66.88,103.9,1.2,102.7
2025-11-12,312.15,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,27.78,72.0,0.0,72.0
2025-11-13,276.18,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,31.9,62.3,13.0,49.3
2025-11-14,291.97,2.212,2.514,2.482,0.0,9.375,0.142,2.212,0.032,29.39,62.02,5.11,56.91
2025-11-15,271.18,2.212,2.514,2.482,0.0,9.375,0.142,2.212,0.032,31.46,73.46,16.46,57.0
2025-11-16,305.57,2.264,2.572,2.522,0.108,9.135,0.228,2.156,0.051,34.14,100.0,0.0,100.0
2025-11-17,211.9,2.74,3.113,3.11,0.847,8.02,0.015,1.893,0.003,79.21,154.48,35.0,119.48
2025-11-18,244.22,2.522,2.866,2.793,0.569,8.276,0.332,1.953,0.074,79.08,147.0,5.11,141.89
2025-11-19,124.85,2.236,2.541,2.529,0.031,9.344,0.056,2.205,0.012,100.16,130.01,63.32,66.69
2025-11-20,188.46,2.514,2.857,2.851,0.477,8.631,0.024,2.037,0.005,84.54,130.01,31.5,98.51
2025-11-21,304.33,2.544,2.891,2.825,0.603,8.226,0.3,1.941,0.067,60.14,159.68,0.0,159.68
2025-11-22,278.11,2.177,2.474,2.324,0.084,8.869,0.676,2.093,0.15,59.07,105.96,0.16,105.8
2025-11-23,298.96,2.236,2.541,2.481,0.07,9.18,0.269,2.167,0.06,39.88,80.85,0.0,80.85
2025-11-24,280.69,2.183,2.481,2.404,0.0,9.25,0.346,2.183,0.077,41.77,84.19,3.52,80.67
2025-11-25,308.23,2.301,2.615,2.541,0.194,8.931,0.334,2.108,0.074,48.17,105.07,0.65,104.42
2025-11-26,276.72,2.464,2.799,2.708,0.492,8.353,0.411,1.971,0.091,69.21,158.18,3.52,154.66
2025-11-27,199.94,2.655,3.017,2.986,0.733,8.142,0.139,1.921,0.031,86.02,170.01,41.9,128.11
2025-11-28,136.82,2.669,3.033,3.007,0.752,8.123,0.118,1.917,0.026,98.73,154.48,66.02,88.46
2025-11-29,173.33,2.205,2.505,2.471,0.0,9.342,0.154,2.205,0.034,82.23,110.34,43.18,67.16
2025-11-30,183.13,2.207,2.508,2.474,0.0,9.352,0.15,2.207,0.033,74.92,108.96,40.0,68.96
