fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],P5 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal
2025-12-01,152.97,138.71,80.45,53.93,120.85,262.41,45.84,0.5,-14.26,-9.3,24.73,0.3364,-0.1037,6.3,4.9,1.9,200
2025-12-02,141.95,112.77,99.42,3.97,94.69,239.87,-17.13,9.0,-29.18,-20.6,34.38,0.3584,-0.0863,6.9,5.1,1.9,200
2025-12-03,235.49,188.52,131.17,88.45,177.96,335.32,59.32,3.5,-46.97,-19.9,26.61,0.3669,-0.1015,8.3,4.6,1.9,200
2025-12-04,209.01,166.99,109.97,47.28,150.32,297.29,31.96,3.0,-42.02,-20.1,26.41,0.3206,-0.1578,6.3,4.8,1.8,200
2025-12-05,179.53,123.51,117.76,27.56,103.23,256.23,11.2,4.0,-56.02,-31.2,26.34,0.3397,0.0187,7.2,4.8,1.9,200
2025-12-06,282.94,231.07,120.86,117.36,225.1,390.89,59.67,3.0,-51.87,-18.3,13.01,0.3163,-0.1014,6.0,4.9,1.9,200
2025-12-07,311.28,245.64,157.16,109.31,245.3,399.02,77.67,3.0,-65.64,-21.1,12.57,0.3602,-0.1526,7.4,4.9,1.8,200
2025-12-08,256.47,197.86,158.22,101.95,191.07,333.24,81.58,1.5,-58.61,-22.9,20.52,0.3083,-0.1186,6.8,5.0,2.0,200
2025-12-09,270.75,224.76,106.67,134.72,203.36,332.22,102.91,0.5,-45.99,-17.0,21.92,0.2995,-0.1243,6.0,4.6,2.0,200
2025-12-10,91.73,66.87,101.05,-32.4,54.92,195.25,-60.65,21.5,-24.86,-27.1,38.94,0.2827,-0.1163,5.9,4.8,2.0,200
2025-12-11,124.42,88.1,97.89,-10.82,59.77,216.59,-22.61,13.5,-36.31,-29.2,35.57,0.3054,-0.1453,6.9,4.8,1.9,200
2025-12-12,111.15,84.59,102.42,-2.65,68.71,181.4,-32.79,12.0,-26.56,-23.9,29.78,0.4244,0.0958,9.1,5.0,1.8,200
2025-12-13,159.94,108.13,110.33,15.28,92.29,232.35,1.97,5.0,-51.81,-32.4,30.38,0.265,-0.0495,5.6,4.6,2.0,200
2025-12-14,164.63,113.33,101.14,20.45,99.15,246.62,-15.58,7.5,-51.3,-31.2,28.49,0.3506,-0.0828,6.5,4.7,1.9,200
2025-12-15,125.32,92.48,128.04,0.03,85.58,218.23,-25.04,10.0,-32.84,-26.2,34.1,0.3379,-0.0487,6.1,4.8,2.0,200
2025-12-16,120.12,96.96,91.15,4.34,90.48,212.17,-28.9,9.5,-23.16,-19.3,28.66,0.3954,0.1279,7.4,4.7,2.0,200
2025-12-17,117.63,98.86,104.68,9.24,81.38,218.3,-11.74,8.0,-18.77,-16.0,33.93,0.3205,-0.0859,5.6,5.0,2.1,200
2025-12-18,191.66,164.28,117.93,71.2,152.32,312.24,47.77,2.0,-27.39,-14.3,30.27,0.317,-0.0446,6.2,4.9,2.0,200
2025-12-19,90.79,61.86,91.58,-34.63,48.3,184.73,-57.96,22.0,-28.92,-31.9,43.3,0.4237,-0.0714,8.0,4.8,1.8,200
2025-12-20,175.78,138.46,137.3,21.04,114.31,319.92,-30.97,8.0,-37.32,-21.2,27.49,0.4642,-0.1177,8.9,4.7,1.8,200
2025-12-21,195.68,158.59,129.77,41.22,139.24,336.84,-29.58,6.0,-37.09,-19.0,24.09,0.3424,-0.1112,6.2,4.7,2.0,200
2025-12-22,205.12,171.51,117.56,66.29,151.69,300.72,41.69,2.0,-33.61,-16.4,25.12,0.3288,-0.053,6.3,4.9,1.9,200
2025-12-23,153.85,106.73,165.35,2.4,100.5,264.91,-34.88,9.5,-47.12,-30.6,22.13,0.5113,0.1581,10.0,4.8,1.8,200
2025-12-24,268.75,200.4,161.1,45.39,191.53,370.71,-10.85,6.5,-68.35,-25.4,16.19,0.3766,-0.1122,7.8,4.8,1.9,200
2025-12-25,272.93,256.11,129.15,166.74,246.07,379.11,142.05,0.5,-16.82,-6.2,18.86,0.3218,-0.1283,6.2,4.8,1.7,200
2025-12-26,127.9,75.74,100.78,-18.44,63.22,198.24,-45.01,15.0,-52.16,-40.8,35.31,0.2778,-0.0896,5.3,4.7,2.1,200
2025-12-27,143.94,97.7,116.88,-12.34,76.67,252.98,-56.03,12.5,-46.23,-32.1,33.8,0.2995,-0.132,6.1,4.8,1.8,200
2025-12-28,165.65,142.37,112.39,32.24,124.02,258.25,23.58,2.5,-23.29,-14.1,31.26,0.3481,-0.1499,6.3,4.6,1.8,200
2025-12-29,106.34,106.57,81.69,22.66,95.01,211.51,-0.85,5.5,0.23,0.2,18.25,0.4399,-0.0029,6.6,4.8,1.9,200
2025-12-30,126.22,100.44,123.81,-7.68,78.2,236.13,-38.09,14.5,-25.79,-20.4,32.79,0.2772,-0.0865,6.0,4.6,1.8,200
2025-12-31,119.21,103.25,106.9,12.52,85.66,218.1,-15.04,8.0,-15.95,-13.4,33.71,0.3997,-0.0808,6.6,4.8,1.9,200
