fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-12-16,1,normal,212.3193,224.0696,-11.7503,-5.24,-9.6822,185.2863,71.5664,18.6674,16.1838,0.8282,-0.1718,94.1839,0.0,0.4668,0.568,10,10.1965,115.1388,49.3673,1.1106,0.9406,1,4,False
2025-12-16,2,normal,270.1294,224.0696,46.0598,20.56,-23.0154,194.7464,134.4632,19.2587,16.8061,0.8271,-0.1729,97.1898,0.0,0.25,0.0,0,10.7171,133.701,58.3352,0.9901,0.912,2,3,False
2025-12-16,3,normal,170.662,224.0696,-53.4077,-23.84,-27.6521,190.1914,50.6607,18.2825,24.2555,1.2543,0.2543,95.3737,0.0,0.25,0.0,0,10.4664,111.7302,57.0584,0.8471,0.8941,4,1,False
2025-12-16,4,normal,216.5397,224.0696,-7.5299,-3.36,-7.6259,173.5276,102.8275,18.1325,34.0568,1.3545,0.3545,96.0696,0.0,0.0,0.0,0,9.5494,132.4808,55.0203,0.787,1.272,1,2,False
2025-12-16,5,normal,238.7238,224.0696,14.6542,6.54,-16.371,192.8171,97.5953,18.5816,16.7359,0.829,-0.171,97.875,0.25,0.25,0.7934,13,10.6109,124.1097,56.5801,1.1284,0.9917,4,1,False
2025-12-16,6,normal,196.4759,224.0696,-27.5938,-12.31,9.1027,170.1093,54.2652,18.6398,18.3616,1.1907,0.1907,96.2607,0.0,0.25,0.0,0,9.3613,114.9838,47.7751,0.888,1.0017,5,1,False
2025-12-16,7,normal,342.283,224.0696,118.2134,52.76,4.8167,180.0944,191.8133,18.6494,15.7919,0.833,-0.167,94.5868,0.25,0.25,1.3524,21,9.9107,145.8808,53.599,1.2818,1.3514,7,2,False
2025-12-16,8,normal,211.4819,224.0696,-12.5877,-5.62,2.1661,185.6943,58.7908,18.5703,16.599,0.8287,-0.1713,96.9275,0.25,0.25,0.541,9,10.2189,115.0118,42.8309,1.0987,0.9355,5,3,False
2025-12-16,9,normal,192.4078,224.0696,-31.6618,-14.13,-12.4234,165.2602,72.8265,20.3134,12.9421,0.8644,-0.1356,95.4359,0.0,0.0,0.0,0,9.0944,115.5464,55.854,1.028,0.9222,1,0,False
2025-12-16,10,normal,171.6918,224.0696,-52.3778,-23.38,4.6404,172.6999,29.8275,18.5707,16.9053,0.8247,-0.1753,96.4435,0.5,0.0,0.7109,11,9.5038,107.4479,59.3869,1.1406,0.9025,3,2,False
