fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2025-03-01,204.94,2.205,2.505,2.471,0.0,9.342,0.154,2.205,0.034,65.83,110.43,29.52,80.91
2025-03-02,214.92,2.494,2.834,2.786,0.484,8.516,0.214,2.01,0.048,65.56,127.54,27.03,100.51
2025-03-03,141.43,2.515,2.858,2.824,0.512,8.488,0.151,2.003,0.034,96.99,151.8,62.08,89.72
2025-03-04,147.18,2.498,2.839,2.839,0.463,8.625,0.0,2.036,0.0,96.44,145.64,48.3,97.34
2025-03-05,192.42,2.291,2.604,2.598,0.108,9.252,0.027,2.183,0.006,78.88,117.98,34.57,83.4
2025-03-06,179.48,2.515,2.858,2.853,0.473,8.652,0.022,2.042,0.005,78.06,127.93,51.55,76.38
2025-03-07,245.95,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,49.07,79.18,7.6,71.58
2025-03-08,314.72,2.211,2.513,2.481,0.0,9.37,0.144,2.211,0.032,15.22,44.53,0.02,44.51
2025-03-09,294.4,2.379,2.704,2.655,0.301,8.805,0.22,2.078,0.049,46.51,130.17,3.42,126.75
2025-03-10,155.39,3.052,3.468,3.459,1.369,7.131,0.041,1.683,0.009,92.99,154.67,65.36,89.31
2025-03-11,143.01,2.639,2.999,2.999,0.675,8.325,0.001,1.965,0.0,96.94,159.95,67.83,92.11
2025-03-12,164.41,2.633,2.992,2.992,0.666,8.334,0.0,1.967,0.0,93.06,183.39,66.66,116.73
2025-03-13,127.19,3.471,3.944,3.944,2.084,5.876,0.0,1.387,0.0,111.73,168.91,80.75,88.16
2025-03-14,289.81,2.698,3.066,3.014,0.829,7.921,0.236,1.869,0.052,57.68,135.82,4.84,130.99
2025-03-15,312.77,2.471,2.808,2.753,0.456,8.54,0.247,2.015,0.055,48.89,136.55,0.0,136.55
2025-03-16,277.93,2.571,2.922,2.863,0.638,8.19,0.262,1.933,0.058,60.57,142.62,6.91,135.7
2025-03-17,219.73,3.416,3.882,3.848,2.0,6.0,0.152,1.416,0.034,88.65,177.59,48.88,128.71
2025-03-18,301.13,2.806,3.188,3.135,1.008,7.617,0.24,1.797,0.053,57.68,153.42,5.13,148.28
2025-03-19,309.87,2.506,2.848,2.804,0.5,8.5,0.196,2.006,0.044,29.11,121.65,0.0,121.65
2025-03-20,318.09,2.494,2.834,2.786,0.484,8.516,0.214,2.01,0.048,22.69,102.81,0.42,102.39
2025-03-21,316.45,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,10.75,40.55,0.17,40.37
2025-03-22,321.3,2.413,2.742,2.74,0.301,8.949,0.01,2.112,0.002,11.22,77.67,-0.01,77.68
2025-03-23,336.2,2.582,2.934,2.88,0.638,8.237,0.245,1.944,0.055,29.13,128.85,0.0,128.85
2025-03-24,363.35,2.912,3.309,3.255,1.186,7.314,0.245,1.726,0.055,44.45,186.72,0.63,186.09
2025-03-25,361.01,3.122,3.548,3.527,1.5,6.875,0.095,1.622,0.021,42.41,166.75,0.0,166.75
2025-03-26,350.25,3.125,3.551,3.53,1.503,6.872,0.095,1.622,0.021,36.2,132.32,-0.51,132.83
2025-03-27,333.64,3.018,3.43,3.374,1.373,6.973,0.251,1.645,0.056,54.59,158.07,-0.01,158.08
2025-03-28,315.97,2.795,3.176,3.155,0.956,7.794,0.095,1.84,0.021,25.71,87.85,-1.28,89.13
2025-03-29,317.88,2.212,2.514,2.482,0.0,9.375,0.142,2.212,0.032,4.32,20.97,-2.34,23.31
2025-03-31,388.96,2.81,3.193,3.176,0.975,7.773,0.074,1.834,0.016,29.45,205.44,-1.05,206.49
