beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
290.9107,297.5671,-6.6563,-2.24,-3.045,178.7263,144.9132,18.4082,11.2756,1.1377,0.1377,81.8621,0.0,0.0,0.0,0,9.6018,123.3137,47.8718,0.9123,1.1214,4,0,False,28
181.8396,297.5671,-115.7275,-38.89,14.0665,175.8778,42.8556,17.8322,33.1281,0.6061,-0.3939,84.1027,0.2092,0.3278,0.0,0,9.4487,99.7453,48.6846,1.0054,1.0396,3,4,False,29
258.7967,297.5671,-38.7704,-13.03,12.9852,193.1879,69.3901,16.3929,0.3736,1.0045,0.0045,83.8943,0.75,0.0,0.0,0,10.3787,108.0055,45.3725,0.8562,0.9485,9,0,False,30
160.568,297.5671,-136.9991,-46.04,8.6664,166.831,36.9608,18.2586,33.6315,0.59,-0.41,82.0281,0.4592,0.0,0.2506,7,8.9627,95.2438,50.7181,1.0604,1.2468,7,0,False,31
227.8071,297.5671,-69.76,-23.44,34.8678,197.9776,42.326,15.778,31.5863,1.3811,0.3811,82.8776,0.3656,0.25,0.0,0,10.636,101.8467,48.1954,0.7575,1.0812,6,1,False,32
258.7729,297.5671,-38.7942,-13.04,5.7517,178.6912,110.2995,17.8971,18.0725,1.2231,0.2231,81.0172,0.0,0.0,0.0,0,9.5999,116.0832,48.3955,0.8924,0.9987,3,3,False,33
200.1,297.5671,-97.4671,-32.75,13.2725,188.2806,50.7542,18.0014,34.2059,0.59,-0.41,83.4291,0.25,0.25,0.4255,8,10.1151,99.517,52.3173,1.1346,0.8309,7,4,False,34
189.461,297.5671,-108.1061,-36.33,8.0373,185.2381,65.1792,17.6605,51.3332,0.365,-0.635,80.8396,0.443,0.25,0.4974,11,9.9516,98.8879,50.4348,1.1444,0.8018,8,3,False,35
228.4387,297.5671,-69.1283,-23.23,2.5997,190.3722,87.945,19.0258,33.4523,0.59,-0.41,81.591,0.25,0.0,0.3811,8,10.2274,105.8684,53.4792,1.131,1.1613,5,0,False,36
245.5363,297.5671,-52.0307,-17.49,29.7897,178.9494,63.9711,18.8238,8.35,1.1005,0.1005,83.1127,0.0,0.0,0.0,0,9.6138,103.7488,60.3019,0.9768,1.0171,3,1,False,37
