beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
253.446,297.5671,-44.1211,-14.83,-0.0561,175.5247,98.1698,13.9666,6.2257,0.9262,-0.0738,84.3443,1.0,0.5,0.2922,6,9.4298,122.0239,44.8085,0.8537,1.3574,21,6,True,28
320.5724,297.5671,23.0054,7.73,44.8666,200.9323,116.2006,15.9046,25.5225,1.3015,0.3015,84.6584,0.4183,0.25,0.0,0,10.7948,126.7467,54.3112,0.8081,1.4035,12,4,True,29
216.5436,297.5671,-81.0235,-27.23,-39.9302,177.8469,127.5811,14.7167,34.2376,0.59,-0.41,83.5063,0.7195,0.7092,3.5545,37,9.5545,110.4997,28.7157,1.8209,1.2409,16,10,True,30
249.0094,297.5671,-48.5576,-16.32,-25.8094,171.884,163.1735,14.9538,45.2848,1.5365,0.5365,84.41,0.25,0.3247,0.0,0,9.2342,145.1496,49.1159,0.6976,1.3859,15,7,True,31
324.6907,297.5671,27.1236,9.12,88.907,176.8268,112.8491,16.3778,37.5145,0.59,-0.41,91.4987,0.9364,0.0,1.2796,19,9.4997,124.0285,40.9131,1.2542,0.8274,11,3,True,32
209.8509,297.5671,-87.7161,-29.48,38.6582,172.0978,18.7254,15.5124,4.1181,1.0471,0.0471,87.4473,0.3656,0.4592,0.0,0,9.2457,99.8934,50.8434,0.8268,0.8181,14,6,True,33
260.3562,297.5671,-37.2109,-12.51,-52.3476,179.3006,160.2134,16.262,10.5481,1.1264,0.1264,83.419,0.6121,0.0,0.0,0,9.6326,131.6939,49.4222,0.9626,1.2272,13,12,True,34
345.0113,297.5671,47.4442,15.94,78.8052,188.3348,129.6472,16.3394,35.4366,0.59,-0.41,86.4306,0.4592,0.5,1.8091,26,10.118,123.5087,25.9609,1.3616,0.9144,12,4,True,35
160.2584,297.5671,-137.3086,-46.14,-1.6218,167.0785,38.5793,14.8863,28.8912,0.6608,-0.3392,85.1806,1.0,0.3656,0.0,0,8.976,98.6441,68.309,0.8909,1.7617,12,8,True,36
278.8846,297.5671,-18.6824,-6.28,-23.6501,173.1818,180.2508,12.0115,38.8864,0.5331,-0.4669,83.2939,1.4592,0.693,0.1419,4,9.3039,147.469,58.6275,0.791,0.668,16,10,True,37
241.026,297.5671,-56.541,-19.0,-36.6482,184.1161,162.3344,12.8969,55.8794,0.365,-0.635,87.999,0.943,1.1683,1.6533,25,9.8913,150.2709,65.5953,1.2,2.4965,17,9,True,38
260.0713,297.5671,-37.4958,-12.6,-12.1343,204.4585,117.2365,14.6323,34.8571,0.59,-0.41,85.0174,0.7092,0.6864,4.6793,45,10.9842,121.8461,75.1839,1.9873,0.625,10,6,True,39
