fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2026-01-01,168.57,2.203,2.503,2.468,0.0,9.334,0.157,2.203,0.035,81.87,112.01,52.01,60.0
2026-01-02,157.01,2.212,2.514,2.482,0.0,9.375,0.142,2.212,0.032,82.94,108.5,55.01,53.49
2026-01-03,120.72,2.212,2.514,2.482,0.0,9.375,0.142,2.212,0.032,88.43,111.91,73.46,38.45
2026-01-04,180.75,2.211,2.513,2.481,0.0,9.37,0.144,2.211,0.032,66.78,100.25,50.0,50.25
2026-01-05,125.47,2.212,2.514,2.508,0.0,9.375,0.029,2.212,0.006,95.44,131.0,61.87,69.13
2026-01-06,279.91,2.246,2.553,2.496,0.108,9.06,0.254,2.138,0.056,62.9,123.8,0.0,123.8
2026-01-07,102.67,2.31,2.625,2.625,0.128,9.247,0.0,2.182,0.0,102.33,147.0,80.78,66.22
2026-01-08,152.02,2.211,2.513,2.481,0.0,9.37,0.144,2.211,0.032,81.38,108.65,60.0,48.65
2026-01-09,277.77,2.206,2.507,2.473,0.0,9.348,0.152,2.206,0.034,53.4,92.53,6.0,86.53
2026-01-10,217.09,2.235,2.54,2.48,0.07,9.176,0.27,2.165,0.06,73.23,129.52,26.3,103.22
2026-01-11,165.08,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,80.63,108.2,50.25,57.95
2026-01-12,146.66,2.31,2.625,2.625,0.128,9.247,0.0,2.182,0.0,88.51,128.64,60.0,68.64
2026-01-13,127.84,2.435,2.766,2.742,0.368,8.757,0.108,2.067,0.024,95.69,151.02,73.95,77.07
2026-01-14,106.52,2.86,3.25,3.25,1.087,7.512,0.0,1.773,0.0,115.54,184.58,84.6,99.98
2026-01-15,96.13,2.286,2.598,2.598,0.098,9.273,0.0,2.188,0.0,106.41,138.94,84.0,54.94
2026-01-16,67.27,2.456,2.791,2.791,0.5,8.289,0.0,1.956,0.0,118.99,163.18,94.33,68.85
2026-01-17,28.73,2.456,2.791,2.791,0.396,8.729,0.0,2.06,0.0,127.24,166.7,110.68,56.02
2026-01-18,87.11,2.452,2.786,2.786,1.022,6.057,0.0,1.429,0.0,118.39,180.48,96.13,84.35
2026-01-19,105.43,3.464,3.936,3.936,2.125,5.675,0.0,1.339,0.0,129.86,200.0,97.7,102.3
2026-01-20,103.26,2.42,2.75,2.75,0.31,8.94,0.0,2.11,0.0,102.13,132.0,82.36,49.64
2026-01-21,147.9,2.212,2.514,2.482,0.0,9.375,0.142,2.212,0.032,82.57,100.0,64.32,35.68
2026-01-22,221.54,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,59.84,92.0,19.85,72.15
2026-01-23,313.71,2.325,2.641,2.575,0.224,8.901,0.3,2.101,0.067,38.4,112.0,0.83,111.17
2026-01-24,305.22,2.183,2.48,2.404,0.0,9.25,0.346,2.183,0.077,21.04,48.4,2.44,45.96
2026-01-25,317.06,2.183,2.481,2.404,0.0,9.25,0.346,2.183,0.077,11.25,39.67,0.0,39.67
2026-01-26,289.75,2.261,2.569,2.517,0.102,9.148,0.233,2.159,0.052,35.52,90.0,1.33,88.67
2026-01-27,310.54,2.668,3.031,3.004,0.75,8.125,0.121,1.918,0.027,28.82,99.0,2.97,96.03
2026-01-28,322.24,3.032,3.445,3.43,1.343,7.157,0.07,1.689,0.016,28.06,95.01,1.98,93.03
2026-01-29,284.59,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,26.09,81.49,4.01,77.48
2026-01-30,317.59,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,12.61,38.4,0.5,37.9
2026-01-31,319.86,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,5.57,35.0,-0.5,35.5
