fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-10-31,1,normal,225.2088,254.775,-29.5662,-11.6,82.8919,89.0,101.2351,31.4323,16.4858,0.706,-0.294,56.0646,0.1023,0.0295,0.0764,3,9.4484,8.3854,108.8892,57.0712,1.1272,0.8949,2,3,False
2025-10-31,2,normal,243.5657,254.775,-11.2092,-4.4,83.0894,97.998,100.9381,29.1034,9.3565,1.1673,0.1673,55.9364,0.0,0.0,0.0,0,10.4119,8.5861,119.4066,61.0959,0.8548,0.8873,3,2,False
2025-10-31,3,normal,268.4784,254.775,13.7035,5.38,79.1665,84.8569,136.945,31.6169,0.873,0.9846,-0.0154,56.7635,0.0,0.0,0.0,0,9.0107,7.834,127.0544,52.7563,1.0049,0.8414,6,0,False
2025-10-31,4,normal,246.2984,254.775,-8.4765,-3.33,85.3668,85.3332,113.1316,32.1682,5.365,0.9058,-0.0942,56.936,0.0,0.0,0.0,0,9.0564,8.2624,115.6159,50.6719,1.0692,1.0275,4,2,False
2025-10-31,5,normal,226.0413,254.775,-28.7337,-11.28,78.9984,83.0598,97.9428,29.469,4.4907,1.0804,0.0804,55.8668,0.125,0.0,0.0,0,8.8101,8.4352,112.7011,53.3979,0.9477,1.247,4,3,False
2025-10-31,6,normal,225.7516,254.775,-29.0233,-11.39,79.8892,88.1838,92.0423,30.0607,4.3029,1.0768,0.0768,56.0423,0.0,0.0,0.0,0,9.3582,8.595,111.7092,52.4435,0.9206,1.0279,1,2,False
2025-10-31,7,normal,229.172,254.775,-25.6029,-10.05,80.6078,85.1852,111.1999,31.7302,16.0908,0.7127,-0.2873,56.0065,0.125,0.0,0.0136,1,9.0414,8.1879,111.7432,48.8774,1.1061,0.7806,5,2,False
2025-10-31,8,normal,233.8686,254.775,-20.9064,-8.21,78.6743,77.961,125.2538,29.0913,18.9293,0.6604,-0.3396,55.7452,0.25,0.125,0.1843,7,8.2644,8.3005,123.8795,51.4082,1.0812,1.2457,4,1,False
2025-10-31,9,normal,281.376,254.775,26.601,10.44,81.3638,94.3405,147.3215,29.7962,11.8537,0.789,-0.211,56.1855,0.125,0.125,0.0,0,10.0219,8.3735,132.3941,50.2256,1.047,1.0827,3,5,False
2025-10-31,10,normal,185.4543,254.775,-69.3207,-27.21,79.952,86.5811,60.7018,26.2229,15.5578,1.2804,0.2804,55.4826,0.125,0.0,0.0,0,9.1871,8.5134,104.0404,64.2633,0.71,0.8976,5,2,False
