beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
-13.2395,37.7885,-51.028,-135.04,-78.5124,145.0308,-55.8939,16.183,7.681,0.9396,-0.0604,127.2,0.0,0.0,0.0,0,11.0387,103.8688,56.8905,1.0373,1.0784,5,2,False,27
57.439,37.7885,19.6505,52.0,-38.9367,126.1522,-9.2721,15.5314,4.9731,1.039,0.039,127.6511,0.0,0.0,0.0,0,9.6018,123.3137,47.8718,0.9123,1.1214,4,0,False,28
-48.8845,37.7885,-86.673,-229.36,-70.8743,124.1417,-77.949,15.1846,9.0183,0.9307,-0.0693,130.2149,0.25,0.0,0.0,0,9.4487,99.7453,48.6846,1.0054,1.0396,3,4,False,29
20.8758,37.7885,-16.9127,-44.76,-27.608,136.3598,-50.6855,13.6837,23.5069,0.8198,-0.1802,130.4387,0.75,0.0,0.0,0,10.3787,108.0055,45.3725,0.8562,0.9485,9,0,False,30
-46.9895,37.7885,-84.778,-224.35,-18.3042,117.756,-97.621,15.6372,33.1832,0.74,-0.26,127.6438,0.25,0.0,0.1555,3,8.9627,95.2438,50.7181,1.0604,1.2468,7,0,False,31
17.3825,37.7885,-20.406,-54.0,-42.3184,139.7406,-52.7353,13.4828,13.8216,1.1078,0.1078,128.2176,0.5,0.0,0.0,0,10.636,101.8467,48.1954,0.7575,1.0812,6,1,False,32
31.9486,37.7885,-5.8399,-15.45,-46.8765,126.1275,-20.3046,15.2196,11.7782,1.0939,0.0939,125.4433,0.0,0.0,0.0,0,9.5999,116.0832,48.3955,0.8924,0.9987,3,3,False,33
-36.807,37.7885,-74.5955,-197.4,-39.3281,132.8961,-76.316,14.8103,39.2487,0.6967,-0.3033,129.3869,0.0,0.5,0.4151,7,10.1151,99.517,52.3173,1.1346,0.8309,7,4,False,34
-92.2946,37.7885,-130.0831,-344.24,-71.7092,130.7485,-67.0714,15.2535,69.0091,0.4504,-0.5496,125.567,0.5,0.0,0.2901,5,9.9516,98.8879,50.4348,1.1444,0.8018,8,3,False,35
-38.2396,37.7885,-76.0281,-201.19,-55.592,134.3724,-63.2288,15.7077,38.0835,0.7009,-0.2991,127.3204,0.25,0.0,0.3388,6,10.2274,105.8684,53.4792,1.131,1.1613,5,0,False,36
