N,P50_medio,P50_std,VaR95_medio,VaR95_std
25,261.68461,13.043940965325625,197.08765999999997,14.436531060234651
50,261.08438,8.996741226916559,192.2060855,8.198943287201542
100,262.53785500000004,5.325908138404654,188.29843449999998,7.370921362917068
150,266.28222,3.2839928024585983,186.79586950000004,6.083797896568582
200,266.22484,3.2840286329293757,188.08555800000002,5.030643079950219
300,266.268995,2.677663618385441,188.8936595,4.666989979350959
500,265.7488,2.564162027544267,187.396874,2.2322290046932918
