beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
295.892,37.7885,258.1035,683.02,51.4502,149.8283,116.0058,14.3621,7.0302,0.9457,-0.0543,129.3817,0.25,0.25,0.0,0,11.4038,175.9463,49.835,0.9781,1.4495,13,7,True,27
-4.0839,37.7885,-41.8724,-110.81,-89.2158,150.7353,14.64,14.2524,65.991,0.5038,-0.4962,132.9913,0.75,0.0,0.6323,13,11.4729,134.7393,49.9389,1.1746,1.2012,19,1,True,28
-64.5341,37.7885,-102.3226,-270.78,20.4911,126.4974,-136.009,9.2674,66.2462,1.4706,0.4706,140.7569,1.4682,0.25,0.0,0,9.628,51.032,46.9695,0.4934,1.5408,16,6,True,29
-14.9973,37.7885,-52.7858,-139.69,-6.7961,140.5749,-22.4759,11.4022,114.8979,0.14,-0.86,133.6022,1.25,0.4682,1.0065,13,10.6995,127.4063,48.6355,1.2985,0.9021,21,13,True,30
182.5002,37.7885,144.7117,382.95,100.4796,131.0306,-14.9153,12.7671,21.3275,1.1502,0.1502,142.0026,0.5,0.0,0.0,0,9.9731,135.7006,43.6106,0.6621,1.3567,18,5,True,31
137.3642,37.7885,99.5757,263.51,21.8262,130.3848,118.0311,14.0023,118.8757,0.14,-0.86,138.2275,0.5,0.5,5.2975,34,9.9239,174.5776,45.1024,2.9214,1.1729,15,7,True,32
-35.24,37.7885,-73.0285,-193.26,-69.111,130.7735,26.1809,12.1923,110.8911,0.14,-0.86,128.9432,1.25,0.5,9.5051,44,9.9535,116.3004,35.9606,5.1149,1.1041,18,7,True,33
184.7895,37.7885,147.001,389.01,65.2127,112.8168,37.1432,13.6476,16.7358,1.1221,0.1221,137.0626,0.5,0.0,0.0,0,8.5868,147.7507,48.0063,0.8506,1.1467,13,6,True,34
-113.5259,37.7885,-151.3144,-400.42,-55.0473,135.9448,-81.51,17.3066,95.6069,0.3154,-0.6846,139.6506,0.0,-0.0,2.3407,22,10.3471,97.8188,34.7518,2.1604,0.8162,10,5,True,35
199.5416,37.7885,161.7531,428.05,-110.6665,144.6742,201.5527,12.149,23.8697,1.1696,0.1696,140.7605,1.0,0.0,0.0,0,11.0115,222.0885,79.4431,0.7898,1.3948,12,8,True,36
-222.2759,37.7885,-260.0644,-688.21,-36.2271,101.7213,-158.4195,15.8646,113.4859,0.1748,-0.8252,137.5223,0.4682,-0.0,0.4374,9,7.7423,97.9004,79.5012,1.3623,0.4634,10,5,True,37
-133.6747,37.7885,-171.4632,-453.74,-4.0881,133.2965,-121.609,14.9974,126.2767,0.14,-0.86,146.8334,0.7251,0.0,1.718,18,10.1455,116.3198,47.8412,1.6328,1.1273,17,2,True,38
-41.1788,37.7885,-78.9673,-208.97,-92.1044,159.0446,-77.781,12.7971,17.5408,0.8655,-0.1345,130.4099,0.4971,0.7251,0.6233,12,12.1053,104.7936,80.6362,1.0875,1.6622,20,6,True,39
108.731,37.7885,70.9425,187.74,-28.4577,160.3593,1.6231,14.142,10.6516,1.0821,0.0821,129.7513,0.0,0.25,0.0,0,12.2054,123.1051,55.5113,0.8153,1.2651,12,6,True,40
