fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-06-25,1,normal,449.0497,424.6683,24.3814,5.74,165.8509,176.9342,194.7268,20.0642,68.398,0.1516,-0.8484,80.616,0.0,0.2182,0.6747,12,10.0846,132.3696,54.0057,1.3274,0.7013,4,2,False
2025-06-25,2,normal,385.3667,424.6683,-39.3016,-9.25,179.3585,166.8079,78.6434,18.1939,21.2491,0.7408,-0.2592,81.9705,0.25,0.2092,0.0,0,9.5075,112.1223,48.2756,1.0208,0.8861,6,5,False
2025-06-25,3,normal,386.7453,424.6683,-37.923,-8.93,180.0478,176.0152,50.0747,18.9618,0.4307,0.9947,-0.0053,81.6879,0.0,0.0,0.0,0,10.0323,104.419,57.4234,1.0058,1.1221,4,5,False
2025-06-25,4,normal,432.3462,424.6683,7.6779,1.81,145.3569,163.5248,145.8892,18.0829,4.3418,1.0529,0.0529,82.0052,0.3474,0.0,0.0693,3,9.3203,129.9413,61.2631,0.9264,1.4679,4,0,False
2025-06-25,5,normal,437.1232,424.6683,12.4549,2.93,169.5759,189.8825,106.5523,19.7274,9.1601,0.8866,-0.1134,80.7845,0.0,0.0,0.076,2,10.8226,116.6445,52.0322,1.0771,1.1585,2,2,False
2025-06-25,6,normal,328.8171,424.6683,-95.8512,-22.57,159.4702,174.1309,33.1492,18.2333,19.6999,0.7585,-0.2415,81.5705,0.4592,0.0,0.225,8,9.9249,98.6304,48.9844,1.064,1.0402,5,3,False
2025-06-25,7,normal,400.2846,424.6683,-24.3837,-5.74,193.1891,178.9161,49.6251,18.2801,3.1657,1.0387,0.0387,81.8086,0.25,0.0,0.1051,5,10.1976,104.731,52.2505,0.9462,1.2044,9,1,False
2025-06-25,8,normal,320.6075,424.6683,-104.0609,-24.5,162.9751,184.4033,44.2301,17.3086,53.6925,0.3517,-0.6483,82.817,0.7092,0.2092,0.324,10,10.5103,101.991,51.7373,1.0561,1.1317,5,2,False
2025-06-25,9,normal,382.6427,424.6683,-42.0256,-9.9,180.2043,174.0014,56.1317,17.2886,10.4061,1.126,0.126,82.6187,0.25,0.0,0.0,0,9.9175,110.7165,45.5448,0.825,1.008,4,3,False
2025-06-25,10,normal,439.6013,424.6683,14.933,3.52,176.2058,186.5849,154.4424,17.3901,60.2418,0.2559,-0.7441,80.9595,0.75,0.25,0.3514,12,10.6347,129.1152,44.04,1.0639,1.3948,7,1,False
2025-06-25,11,normal,453.1791,424.6683,28.5108,6.71,188.8793,182.8549,125.4855,19.9225,24.1181,0.7096,-0.2904,83.037,0.0,0.0,0.2591,7,10.4221,120.8183,50.4617,1.1431,0.848,1,1,False
2025-06-25,12,normal,333.8922,424.6683,-90.7761,-21.38,178.0323,175.675,69.4879,20.163,69.1399,0.14,-0.86,80.3953,0.0,0.25,0.804,14,10.0129,101.4701,50.8007,1.3674,1.0908,3,2,False
2025-06-25,13,normal,392.6071,424.6683,-32.0613,-7.55,165.3119,177.2284,69.4177,19.1976,0.1533,1.0019,0.0019,79.5957,0.0,0.0,0.0,0,10.1014,106.4852,46.4002,0.9973,0.9232,3,2,False
2025-06-25,14,normal,365.0177,424.6683,-59.6507,-14.05,170.2572,164.5315,54.6236,18.1522,6.2425,1.0763,0.0763,81.8126,0.25,0.0,0.0,0,9.3777,106.7392,55.7506,0.894,1.0855,5,0,False
