fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],ben_extremo_medio [€],peor_escenario [€],CVaR_95 [€],soc_critico_medio,penalizacion_soc_ext [€],energia_recortada_ext [MWh],pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal,n_sim_extremo
2025-05-01,631.32,616.27,62.42,530.12,619.7,696.7,514.1,0.0,-15.05,-2.4,5.93,0.0865,-0.2433,596.88,272.41,310.11,12.8,10.11,1.5308,4.8,2.0,200,40
2025-05-02,656.19,637.78,66.34,562.3,638.39,720.17,534.58,0.0,-18.4,-2.8,4.57,0.1291,-0.2971,608.15,336.59,365.81,9.7,6.86,0.9203,4.9,2.0,200,40
2025-05-03,638.03,614.04,66.38,530.17,610.37,702.17,512.84,0.0,-23.99,-3.8,5.85,0.2066,-0.2289,619.32,368.23,383.25,13.4,10.83,1.066,4.6,1.9,200,40
2025-05-04,643.17,623.48,64.12,539.63,622.51,706.25,524.11,0.0,-19.69,-3.1,4.33,0.0963,-0.2387,604.39,287.94,308.35,10.3,6.31,0.9259,4.8,1.7,200,40
2025-05-05,647.02,611.18,60.91,540.12,603.86,694.31,521.21,0.0,-35.84,-5.5,3.6,0.1736,-0.1394,597.49,355.35,358.54,11.6,6.66,0.9437,5.0,2.0,200,40
2025-05-06,660.38,639.9,62.3,566.41,631.82,717.94,543.2,0.0,-20.48,-3.1,3.76,0.1498,-0.2324,612.45,380.89,383.21,12.9,6.67,1.2306,4.9,2.0,200,40
2025-05-07,647.09,631.38,63.61,552.14,627.83,712.89,532.97,0.0,-15.7,-2.4,6.62,0.1196,-0.2434,589.91,342.3,361.92,5.3,11.15,0.4265,4.5,1.9,200,40
2025-05-08,651.56,631.48,58.2,557.93,632.04,700.73,536.21,0.0,-20.08,-3.1,5.83,0.0929,-0.2479,637.65,360.77,377.03,8.2,9.54,0.6946,4.7,2.1,200,40
2025-05-09,642.36,618.71,60.29,544.25,615.57,695.93,518.68,0.0,-23.65,-3.7,6.08,0.1378,-0.2339,637.12,329.79,330.23,10.2,10.46,0.9981,4.6,1.9,200,40
2025-05-10,646.7,623.28,68.29,540.54,623.12,708.54,519.5,0.0,-23.42,-3.6,3.89,0.0911,-0.2373,612.62,300.13,305.91,13.8,7.37,1.4004,4.9,2.1,200,40
2025-05-11,661.19,635.09,65.88,560.01,631.3,714.31,532.79,0.0,-26.1,-3.9,1.99,0.1268,-0.1495,588.86,328.24,339.47,10.3,3.5,0.9329,4.6,1.8,200,40
2025-05-12,645.88,620.74,54.97,554.74,621.01,687.15,542.41,0.0,-25.14,-3.9,6.19,0.215,-0.2306,557.11,358.74,364.41,8.6,9.05,0.7938,4.8,2.1,200,40
2025-05-13,615.48,600.95,53.33,537.61,594.57,669.67,524.65,0.0,-14.54,-2.4,9.48,0.2944,-0.1832,595.12,373.57,383.08,7.8,13.55,0.8151,4.8,2.1,200,40
2025-05-14,596.05,569.07,55.65,492.74,566.59,640.54,480.66,0.0,-26.98,-4.5,9.63,0.1229,-0.1803,503.3,262.21,273.86,11.7,21.0,1.0123,4.6,1.9,200,40
2025-05-15,647.17,624.64,66.78,539.79,618.55,717.19,527.74,0.0,-22.53,-3.5,4.99,0.1268,-0.2295,588.5,367.88,378.43,9.4,7.99,0.7241,4.9,1.9,200,40
2025-05-16,659.98,648.47,69.86,554.67,657.92,734.73,534.95,0.0,-11.51,-1.7,2.93,0.1258,-0.2843,609.35,374.64,390.6,6.8,4.34,0.529,4.7,1.8,200,40
2025-05-17,646.39,625.22,61.73,549.32,623.83,708.19,530.09,0.0,-21.18,-3.3,4.44,0.1531,-0.2,562.29,317.01,338.05,8.0,8.11,0.6275,5.1,2.0,200,40
2025-05-18,648.91,625.89,68.48,544.37,614.48,716.71,529.81,0.0,-23.02,-3.5,3.54,0.1295,-0.2002,588.58,308.97,316.23,10.2,6.48,0.9142,4.7,2.0,200,40
2025-05-19,646.38,620.49,63.31,541.41,626.61,693.6,524.22,0.0,-25.89,-4.0,4.86,0.129,-0.2441,600.61,263.83,293.8,9.8,8.32,0.7811,5.0,1.8,200,40
2025-05-20,651.89,638.14,63.0,565.17,635.72,712.54,552.95,0.0,-13.75,-2.1,5.23,0.1129,-0.2525,615.47,287.26,310.62,9.7,8.09,0.9059,4.7,2.1,200,40
2025-05-21,625.99,608.23,61.96,523.4,608.01,679.37,508.48,0.0,-17.76,-2.8,7.81,0.1549,-0.2775,588.48,344.27,350.77,12.4,12.66,1.2157,5.0,1.8,200,40
2025-05-22,659.41,639.7,69.57,552.03,637.15,725.26,520.03,0.0,-19.71,-3.0,1.87,0.1099,-0.2767,668.06,410.47,414.11,12.2,3.38,0.9071,4.8,2.0,200,40
2025-05-23,658.04,640.71,71.32,551.98,645.46,728.48,520.95,0.0,-17.34,-2.6,2.11,0.1366,-0.2536,570.39,359.5,383.99,11.0,3.41,0.8952,4.8,1.9,200,40
2025-05-24,652.45,620.47,63.12,543.26,623.23,697.58,513.76,0.0,-31.97,-4.9,2.79,0.1704,-0.1272,593.85,242.64,295.05,14.1,6.31,1.2036,4.9,2.1,200,40
2025-05-25,647.28,628.12,67.18,533.65,624.91,717.32,518.3,0.0,-19.16,-3.0,3.8,0.116,-0.2186,598.67,348.07,357.44,9.8,6.38,0.8058,4.7,1.9,200,40
2025-05-26,640.05,623.46,67.77,545.18,616.04,715.32,525.73,0.0,-16.59,-2.6,6.3,0.141,-0.2684,586.02,369.67,372.06,11.9,10.88,0.9086,4.9,2.0,200,40
2025-05-27,625.56,602.89,61.3,518.62,601.27,680.15,497.52,0.0,-22.67,-3.6,9.83,0.1788,-0.2869,598.59,315.06,350.57,10.9,16.33,0.9057,4.8,1.8,200,40
