fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2025-04-01,342.68,3.382,3.844,3.763,2.003,5.844,0.362,1.379,0.08,58.6,165.29,-0.07,165.37
2025-04-02,315.71,2.637,2.997,2.96,0.711,8.164,0.165,1.927,0.037,27.99,107.38,-0.02,107.4
2025-04-03,315.01,2.714,3.084,3.036,0.849,7.901,0.214,1.865,0.048,22.1,81.5,0.0,81.5
2025-04-04,316.97,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,11.24,51.52,-0.02,51.54
2025-04-05,322.82,2.472,2.809,2.755,0.456,8.544,0.245,2.016,0.055,24.42,99.98,-1.27,101.25
2025-04-06,309.46,2.491,2.831,2.818,0.456,8.625,0.057,2.035,0.013,26.56,82.0,-1.59,83.59
2025-04-07,400.28,3.397,3.86,3.82,1.975,6.025,0.18,1.422,0.04,56.14,187.1,0.0,187.1
2025-04-08,330.28,3.053,3.469,3.424,1.419,6.923,0.2,1.634,0.045,47.67,133.2,-1.09,134.28
2025-04-09,311.69,2.816,3.2,3.186,0.985,7.76,0.064,1.832,0.014,31.98,100.03,-0.5,100.54
2025-04-10,308.0,2.182,2.48,2.402,0.0,9.245,0.348,2.182,0.077,19.2,52.0,-0.01,52.01
2025-04-11,310.53,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,18.35,59.59,-0.01,59.6
2025-04-12,298.91,2.291,2.604,2.562,0.147,9.088,0.188,2.145,0.042,27.01,81.05,0.01,81.04
2025-04-13,310.31,2.182,2.48,2.402,0.0,9.245,0.348,2.182,0.077,18.34,64.84,-1.55,66.39
2025-04-14,295.65,2.209,2.51,2.477,0.0,9.36,0.148,2.209,0.033,24.54,76.87,0.0,76.87
2025-04-15,316.58,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,11.73,35.62,-0.01,35.63
2025-04-16,315.96,2.277,2.588,2.542,0.125,9.12,0.208,2.152,0.046,12.14,71.28,-0.01,71.29
2025-04-17,327.87,2.561,2.91,2.848,0.61,8.265,0.277,1.95,0.062,21.94,108.91,0.0,108.91
2025-04-18,310.11,2.183,2.481,2.404,0.0,9.25,0.346,2.183,0.077,12.35,37.05,-1.61,38.66
2025-04-19,318.1,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,1.72,8.29,-4.15,12.44
2025-04-20,325.46,2.561,2.91,2.848,0.61,8.265,0.277,1.95,0.062,10.71,87.2,-5.07,92.27
2025-04-21,319.21,2.476,2.814,2.76,0.5,8.375,0.245,1.976,0.055,49.09,162.23,6.35,155.88
2025-04-22,279.02,2.982,3.389,3.321,1.326,7.019,0.304,1.656,0.068,64.39,131.48,4.19,127.3
2025-04-23,309.09,2.574,2.924,2.903,0.61,8.32,0.097,1.963,0.022,44.23,118.54,0.0,118.54
2025-04-24,314.48,2.586,2.938,2.885,0.645,8.223,0.24,1.941,0.053,43.53,118.97,-0.01,118.98
2025-04-25,301.36,2.81,3.193,3.141,1.014,7.611,0.234,1.796,0.052,45.66,119.43,-0.21,119.65
2025-04-26,317.03,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,5.54,23.44,-3.11,26.55
2025-04-27,334.4,2.561,2.91,2.848,0.61,8.265,0.277,1.95,0.062,10.98,102.06,-6.2,108.26
2025-04-28,315.01,2.476,2.814,2.725,0.5,8.375,0.4,1.976,0.089,18.5,81.86,-3.02,84.88
2025-04-29,317.68,2.212,2.514,2.482,0.0,9.375,0.143,2.212,0.032,5.79,36.25,-1.95,38.2
2025-04-30,358.71,3.317,3.769,3.739,1.832,6.293,0.136,1.485,0.03,31.83,122.33,-0.18,122.5
