fecha,sim_id,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_ree [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos
2025-11-21,1,293.5307,304.3284,-10.7977,-3.55,149.4359,85.8074,107.2781,30.5482,0.0,18.4425,1.3104,0.3104,59.4141,0.0,0.0,0.0,0,10.1593,7.4421,162.8884,75.8096,0.5767,1.6673,2,3
2025-11-21,2,110.527,304.3284,-193.8014,-63.68,169.4011,74.5907,453.2971,35.3036,528.9565,22.5018,0.6345,-0.3655,61.5685,0.125,0.125,1.3808,27,8.8451,6.0908,279.0969,25.2498,1.8058,1.1288,5,2
2025-11-21,3,446.6846,304.3284,142.3562,46.78,160.1651,89.8493,391.4986,39.1475,133.6329,22.0481,0.6345,-0.3655,60.3271,0.0,0.0,0.4833,13,10.6075,8.6227,228.5705,87.5457,1.4755,2.0884,3,1
2025-11-21,4,235.9236,304.3284,-68.4048,-22.48,169.9736,73.4431,33.6011,32.097,0.5135,8.4838,0.8635,-0.1365,62.153,0.3561,0.0,0.0401,1,8.5129,11.3691,90.227,39.0933,0.9264,0.6139,9,1
2025-11-21,5,212.7316,304.3284,-91.5968,-30.1,176.6929,64.8147,20.5046,28.4746,0.0,20.8061,1.3412,0.3412,60.9769,0.125,0.0,0.0,0,7.5944,7.7962,89.1043,62.2828,0.4732,1.3107,4,1
2025-11-21,6,242.283,304.3284,-62.0454,-20.39,177.4433,80.7296,103.2852,31.7766,65.3447,22.0538,0.6345,-0.3655,60.3429,0.375,0.125,0.8333,22,9.3978,11.3916,119.8816,15.9331,1.3681,0.6344,5,1
2025-11-21,7,299.148,304.3284,-5.1804,-1.7,174.8388,119.296,52.4926,29.8326,0.0,17.6467,1.2898,0.2898,60.8955,0.125,0.0,0.0,0,14.3003,5.5245,106.6419,202.6818,0.612,0.6727,2,2
2025-11-21,8,406.6863,304.3284,102.3579,33.63,156.9116,77.6398,275.5924,37.3992,50.4314,15.627,0.7423,-0.2577,60.6414,0.0,0.0,0.2511,7,9.1675,7.413,193.5495,36.2139,1.2642,0.7074,4,1
2025-11-21,9,301.9986,304.3284,-2.3298,-0.77,166.1791,67.8177,105.2515,32.5549,0.0,4.6948,0.9225,-0.0775,60.5439,0.3561,0.0,0.0,0,7.727,14.1641,130.7193,20.4373,0.8892,2.2185,6,1
2025-11-21,10,256.8001,304.3284,-47.5282,-15.62,165.4822,74.202,56.4512,32.498,0.0,6.8372,0.8883,-0.1117,61.2191,0.375,0.0,0.0,0,8.7409,7.65,101.5848,40.6706,0.9445,1.9004,5,4
2025-11-21,11,347.1599,304.3284,42.8315,14.07,169.069,95.4719,202.2247,38.51,58.6885,22.4071,0.6345,-0.3655,61.3097,0.0,0.0,0.4247,12,11.2155,10.6916,156.069,11.0092,1.4242,1.2374,0,1
2025-11-21,12,221.5333,304.3284,-82.795,-27.21,167.937,65.0326,50.4582,35.6148,3.9952,22.2844,0.6352,-0.3648,61.0921,0.1997,0.0,0.1117,3,7.6236,7.7236,93.5365,16.2167,1.1534,0.9056,5,1
2025-11-21,13,253.7862,304.3284,-50.5422,-16.61,153.2186,77.5049,63.4105,31.0386,0.0,9.3092,1.1557,0.1557,59.7784,0.375,0.0,0.0,0,9.0782,9.4102,107.3505,63.8712,0.7596,2.3124,9,0
2025-11-21,14,165.765,304.3284,-138.5633,-45.53,164.7914,78.6346,-23.5155,36.222,-4.2603,22.1838,0.6353,-0.3647,60.828,0.0,0.125,0.1515,4,9.0891,12.8725,58.345,27.0626,1.1966,0.3649,8,2
2025-11-21,15,245.3284,304.3284,-59.0,-19.39,165.5994,89.6803,40.008,28.7665,0.0,21.1929,1.3478,0.3478,60.9315,0.0,0.125,0.0,0,10.4979,11.0628,108.8351,42.9828,0.5128,1.0624,6,3
2025-11-21,16,373.559,304.3284,69.2306,22.75,166.4243,57.9067,187.4094,32.276,0.0,5.9054,1.0976,0.0976,60.4828,0.25,0.0,0.0,0,6.8654,4.7624,178.663,167.0794,0.8492,1.0009,3,1
