fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-11-24,1,normal,458.15,532.8975,-74.7475,-14.03,76.9456,198.5556,207.323,18.2905,6.3837,1.1467,0.1467,43.5188,0.0,0.0,0.0,0,10.5529,102.7815,45.1456,0.9056,0.9426,4,1,False
2025-11-24,2,normal,425.044,532.8975,-107.8535,-20.24,72.2215,189.081,192.1293,16.3025,12.0853,0.7165,-0.2835,42.6233,0.7092,0.25,0.9093,15,10.0494,93.8771,44.7608,1.0922,1.1729,4,1,False
2025-11-24,3,normal,466.5818,532.8975,-66.3157,-12.44,75.5986,182.6889,245.3845,15.7022,21.3879,0.4921,-0.5079,42.113,0.5,0.75,0.3355,6,9.7096,110.1295,55.7138,0.9667,1.1954,6,4,False
2025-11-24,4,normal,470.4934,532.8975,-62.4041,-11.71,81.4711,195.8847,222.142,17.2359,11.7686,0.7188,-0.2812,41.844,0.4592,0.25,0.5525,9,10.411,99.1016,52.7357,1.0873,1.25,6,3,False
2025-11-24,5,normal,497.7808,532.8975,-35.1167,-6.59,70.144,199.6909,255.2956,16.1981,11.1516,1.2704,0.2704,41.243,0.471,0.0,0.0,0,10.6133,124.7133,52.4263,0.7899,1.0651,8,3,False
2025-11-24,6,normal,581.7615,532.8975,48.864,9.17,68.2752,176.4397,356.0942,17.5425,1.5051,0.9634,-0.0366,41.1584,0.5,0.0,0.0,0,9.3775,135.5936,47.2687,0.956,1.1374,6,3,False
2025-11-24,7,normal,541.2805,532.8975,8.383,1.57,77.549,196.5189,305.7168,16.686,21.8181,0.4923,-0.5077,42.9719,0.971,0.0,0.8612,14,10.4447,119.397,51.4252,1.1269,1.2001,6,0,False
2025-11-24,8,normal,530.835,532.8975,-2.0625,-0.39,73.5157,181.3323,304.6121,16.4531,12.1719,0.7064,-0.2936,41.4562,0.8656,0.0,0.2999,6,9.6375,123.2933,51.5607,1.0006,0.8335,5,3,False
2025-11-24,9,normal,476.7407,532.8975,-56.1568,-10.54,80.2451,181.3025,247.2164,16.8129,15.2103,1.3603,0.3603,42.2148,0.0,0.25,0.0,0,9.6359,120.7189,53.1333,0.783,1.191,1,2,False
2025-11-24,10,normal,384.6959,532.8975,-148.2016,-27.81,72.8507,188.6493,153.8644,15.8616,14.8069,1.3599,0.3599,41.1454,0.4592,0.0,0.0,0,10.0264,95.3237,47.148,0.7394,0.9585,6,2,False
2025-11-24,11,normal,501.5013,532.8975,-31.3962,-5.89,72.9968,187.391,270.3793,16.9143,12.3516,0.7029,-0.2971,41.5726,0.0,0.75,0.4529,8,9.9595,111.5339,51.4003,1.0482,0.7154,4,5,False
