fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-11-01,1,normal,284.9304,284.2016,0.7287,0.26,90.7174,79.777,171.8688,34.4683,22.9644,0.4936,-0.5064,45.3477,0.125,0.0,0.0675,2,8.6768,8.0675,122.969,48.4575,1.2347,0.8744,5,2,False
2025-11-01,2,normal,238.808,284.2016,-45.3937,-15.97,97.2424,85.7466,88.747,31.0565,1.8715,1.0398,0.0398,47.0063,0.125,0.0,0.0,0,9.3201,9.0538,100.658,46.8087,0.9504,1.173,6,2,False
2025-11-01,3,normal,276.8591,284.2016,-7.3426,-2.58,93.216,78.2511,158.3349,31.2504,21.6925,0.524,-0.476,45.5688,0.25,0.125,0.0,0,8.5122,7.8219,123.9851,50.3482,1.1174,1.1002,9,5,False
2025-11-01,4,normal,260.2147,284.2016,-23.987,-8.44,90.2714,82.3567,128.5241,31.5366,9.401,0.7925,-0.2075,45.3103,0.125,0.0936,0.0,0,8.9457,9.0815,112.5674,66.3887,1.0166,1.4431,4,2,False
2025-11-01,5,normal,231.7597,284.2016,-52.4419,-18.45,94.6493,85.4741,83.4953,30.2895,1.5694,1.0343,0.0343,45.736,0.0936,0.0,0.0,0,9.3016,8.307,98.6112,52.1476,0.8565,1.4141,7,0,False
2025-11-01,6,normal,322.0034,284.2016,37.8017,13.3,89.5555,78.3598,202.0762,34.7435,13.2446,0.7077,-0.2923,45.3157,0.0,0.0,0.0622,2,8.52,8.0946,137.4956,51.6838,1.1573,1.0012,3,0,False
2025-11-01,7,normal,287.3132,284.2016,3.1116,1.09,88.5956,81.5973,175.475,31.9217,26.4329,0.417,-0.583,45.3413,0.25,0.125,0.0432,2,8.8727,8.3845,127.3173,53.3554,1.1388,1.1161,8,2,False
2025-11-01,8,normal,252.9318,284.2016,-31.2699,-11.0,93.8129,85.3512,111.0611,29.9384,7.3549,1.1603,0.1603,45.886,0.0,0.0,0.0,0,9.2905,8.1438,118.9522,52.9016,0.8002,1.014,1,1,False
2025-11-01,9,normal,298.7298,284.2016,14.5281,5.11,89.4925,79.4368,163.304,31.2326,2.271,0.9497,-0.0503,45.1668,0.0936,0.0,0.0,0,8.6254,8.9639,135.3185,49.2415,0.955,0.9137,5,2,False
2025-11-01,10,normal,288.2878,284.2016,4.0861,1.44,94.5354,88.8279,161.1199,28.8311,27.3645,0.4,-0.6,45.6074,0.5,0.125,0.0853,4,9.676,8.0214,128.444,59.7309,1.0898,0.908,5,4,False
2025-11-01,11,normal,298.0604,284.2016,13.8587,4.88,93.897,91.2701,147.4798,28.6448,5.9416,1.1283,0.1283,46.301,0.125,0.125,0.0,0,9.9341,8.7561,139.0308,52.7377,0.8401,0.873,4,3,False
2025-11-01,12,normal,274.2796,284.2016,-9.9221,-3.49,93.8624,83.6571,132.5561,29.669,6.1269,1.1353,0.1353,45.2685,0.0,0.125,0.0,0,9.0866,9.2525,127.5892,50.175,0.8652,0.9591,7,4,False
2025-11-01,13,normal,265.827,284.2016,-18.3747,-6.47,92.2459,87.3502,123.2013,29.1007,7.8698,1.1695,0.1695,46.4282,0.0,0.125,0.0,0,9.5002,8.8485,127.043,57.382,0.7888,1.0014,3,1,False
2025-11-01,14,normal,288.9997,284.2016,4.7981,1.69,92.0343,85.2316,164.8389,33.873,19.232,0.581,-0.419,45.8995,0.125,0.0,0.0658,2,9.2748,8.3087,122.908,46.9822,1.1598,0.7405,2,0,False
2025-11-01,15,normal,250.5747,284.2016,-33.6269,-11.83,92.0737,84.6271,110.4777,30.0662,6.5375,1.1418,0.1418,46.1088,0.125,0.0,0.0,0,9.2163,7.776,113.5636,61.3556,0.8933,1.0339,7,3,False
2025-11-01,16,normal,273.7258,284.2016,-10.4759,-3.69,92.158,88.8262,129.313,29.2404,7.3311,1.1616,0.1616,45.374,0.125,0.0,0.0,0,9.6714,8.3026,128.2219,46.1302,0.7986,0.9988,3,0,False
2025-11-01,17,normal,284.9344,284.2016,0.7327,0.26,94.3807,83.7384,139.5477,32.6386,0.0939,1.0021,0.0021,45.7603,0.0,0.0,0.0,0,9.1055,8.6027,119.9931,40.313,1.0266,0.7021,1,3,False
2025-11-01,18,normal,294.2343,284.2016,10.0327,3.53,90.3638,81.8735,176.3251,32.7404,21.5877,0.5252,-0.4748,45.4716,0.25,0.0,0.048,2,8.8997,8.609,127.7465,46.7185,1.1428,0.9446,10,1,False
2025-11-01,19,normal,255.9071,284.2016,-28.2945,-9.96,91.0779,87.8796,120.7144,31.504,12.2609,0.7335,-0.2665,46.0149,0.125,0.125,0.0,0,9.5617,8.6502,109.4334,48.9247,1.044,1.0976,4,3,False
2025-11-01,20,normal,256.4882,284.2016,-27.7134,-9.75,93.4092,82.9215,115.3378,30.0854,5.0948,1.1111,0.1111,45.8508,0.125,0.0,0.0,0,9.0121,8.8186,115.9565,48.0375,0.8615,0.771,2,0,False
2025-11-01,21,normal,314.1311,284.2016,29.9295,10.53,97.81,90.8418,180.9015,32.8,22.6222,0.5191,-0.4809,47.0456,0.125,0.125,0.1954,6,9.8833,8.9856,132.3117,51.163,1.2161,1.0006,6,2,False
2025-11-01,22,normal,334.2101,284.2016,50.0084,17.6,92.6759,85.4896,189.3892,32.9258,0.4188,1.0092,0.0092,45.7596,0.0,0.0603,0.0,0,9.3037,8.28,138.848,56.0324,1.0335,1.1491,2,1,False
2025-11-01,23,normal,285.8805,284.2016,1.6789,0.59,96.6555,92.8656,128.2645,31.4283,0.4767,0.9899,-0.0101,47.1334,0.125,0.0,0.0,0,10.1033,9.1963,118.0534,50.6977,0.9941,0.9954,5,3,False
2025-11-01,24,normal,248.9504,284.2016,-35.2512,-12.4,95.1994,82.6956,103.7923,31.5501,1.1868,0.9739,-0.0261,45.4842,0.0,0.125,0.0,0,8.9988,8.0649,103.0388,61.4705,1.0022,1.0535,2,4,False
2025-11-01,25,normal,288.2648,284.2016,4.0631,1.43,90.883,91.7973,155.2858,32.187,17.5144,0.6141,-0.3859,45.3893,0.25,0.0,0.0,0,9.9878,9.0454,120.5004,51.6767,1.0805,0.943,5,1,False
2025-11-01,26,normal,262.3457,284.2016,-21.856,-7.69,89.3301,84.4475,127.0213,30.2137,8.2396,0.8177,-0.1823,45.1937,0.2879,0.0,0.0,0,9.1916,8.0919,114.9175,41.0686,0.9664,0.8933,7,1,False
2025-11-01,27,normal,286.405,284.2016,2.2033,0.78,94.3916,93.3445,152.0748,33.9448,19.4612,0.5756,-0.4244,45.8599,0.125,0.0,0.2842,9,10.1673,8.4727,117.1923,50.9439,1.3014,0.84,6,2,False
2025-11-01,28,normal,263.2034,284.2016,-20.9982,-7.39,91.7182,79.8848,125.4132,31.1338,2.679,1.0586,0.0586,45.6991,0.125,0.0,0.0,0,8.677,8.8243,115.6282,65.0471,0.9269,1.3581,4,0,False
2025-11-01,29,normal,287.3224,284.2016,3.1208,1.1,89.2699,92.8712,150.8818,30.5626,15.138,0.6682,-0.3318,45.6198,0.125,0.229,0.181,6,10.1217,8.0383,126.2207,54.122,1.1148,1.1344,5,4,False
2025-11-01,30,normal,222.4659,284.2016,-61.7358,-21.72,91.3021,86.1974,82.5593,27.759,9.834,1.2141,0.2141,45.9278,0.25,0.0,0.0,0,9.3647,9.3925,103.8779,53.2079,0.7631,1.0048,9,1,False
2025-11-01,31,normal,253.7616,284.2016,-30.44,-10.71,89.7429,83.1148,118.6233,29.3577,8.3617,0.8175,-0.1825,45.8075,0.375,0.0,0.0,0,9.0386,8.4793,113.0348,58.3926,0.9248,0.9259,7,0,False
2025-11-01,32,normal,294.0601,284.2016,9.8584,3.47,94.0408,89.1229,166.5332,34.4688,21.168,0.5453,-0.4547,46.5507,0.0936,0.0,0.0817,3,9.6928,9.0394,123.3227,58.9286,1.2119,0.8957,5,1,False
2025-11-01,33,normal,276.1162,284.2016,-8.0854,-2.84,91.2765,86.9525,155.2129,30.693,26.6327,0.4,-0.6,44.3878,0.2186,0.25,0.0035,1,9.4645,8.3193,119.886,47.8731,1.0828,0.8788,3,3,False
2025-11-01,34,normal,270.8535,284.2016,-13.3481,-4.7,95.0938,80.6986,131.4257,32.2227,4.1419,1.0885,0.0885,46.8197,0.0,0.0,0.0,0,8.7686,8.707,118.2847,51.1727,1.0063,0.9801,7,4,False
2025-11-01,35,normal,305.3801,284.2016,21.1784,7.45,92.6389,88.4387,157.4352,29.1582,3.9744,0.913,-0.087,45.6857,0.25,0.0936,0.0,0,9.6282,8.3311,134.2725,53.0525,0.9214,1.206,9,3,False
2025-11-01,36,normal,224.994,284.2016,-59.2077,-20.83,93.9967,83.2154,82.3758,29.5556,5.0384,1.1101,0.1101,45.7698,0.1944,0.0,0.0,0,9.0496,8.4886,98.3206,55.5482,0.8601,0.8814,4,0,False
2025-11-01,37,normal,319.6921,284.2016,35.4904,12.49,93.2808,86.0637,175.6582,33.1915,2.119,0.9539,-0.0461,45.9526,0.0,0.0,0.0,0,9.3566,8.9562,134.1339,57.5626,1.0338,0.9469,3,1,False
2025-11-01,38,normal,322.3159,284.2016,38.1143,13.41,95.1985,85.5193,174.5742,30.9357,2.0404,1.0446,0.0446,45.7596,0.0,0.125,0.0,0,9.3035,8.5073,142.3355,46.8833,0.9444,0.9846,3,3,False
2025-11-01,39,normal,260.5854,284.2016,-23.6162,-8.31,96.2258,83.38,118.9621,29.5348,8.4476,1.177,0.177,47.7162,0.0,0.1853,0.0,0,9.0757,7.9743,121.5078,61.2152,0.8773,1.0507,2,4,False
2025-11-01,40,normal,231.2004,284.2016,-53.0012,-18.65,91.1996,80.3184,95.1094,29.311,6.1159,1.1361,0.1361,44.9229,0.0,0.125,0.0,0,8.7344,8.2052,107.6128,46.5181,0.8303,0.7357,2,3,False
2025-11-01,41,normal,239.2951,284.2016,-44.9066,-15.8,90.6366,84.8497,101.3734,30.4263,7.1385,1.1581,0.1581,45.1497,0.0,0.0,0.0,0,9.2366,8.0531,109.8282,50.997,0.8357,0.9736,1,1,False
2025-11-01,42,normal,284.7696,284.2016,0.568,0.2,93.529,81.8836,161.666,32.9427,19.3662,0.5838,-0.4162,46.5284,0.1944,0.0,0.0306,1,8.8993,8.7092,123.1421,52.0547,1.16,1.0228,5,3,False
2025-11-01,43,normal,331.902,284.2016,47.7004,16.78,90.1976,87.4609,205.4993,35.1507,16.1051,0.6357,-0.3643,44.2116,0.0,0.0,0.0843,3,9.5219,8.2309,135.4149,53.0407,1.2146,0.8959,0,1,False
2025-11-01,44,normal,335.046,284.2016,50.8443,17.89,89.5053,91.3605,188.6181,33.1357,1.3022,0.9715,-0.0285,45.7204,0.0,0.0,0.0,0,9.9461,8.6219,140.2354,53.5455,1.0136,1.0864,5,0,False
2025-11-01,45,normal,289.0409,284.2016,4.8393,1.7,88.0483,86.9408,151.096,33.3903,3.6539,0.92,-0.08,45.6847,0.0,0.0,0.0,0,9.4581,8.6474,121.1912,49.6931,1.1106,0.9162,6,5,False
2025-11-01,46,normal,283.9381,284.2016,-0.2636,-0.09,93.8456,85.3651,143.4221,29.8043,8.8904,1.1912,0.1912,46.4868,0.0,0.0,0.0,0,9.2833,8.7154,139.0224,54.0441,0.7927,0.8725,0,1,False
2025-11-01,47,normal,275.0127,284.2016,-9.1889,-3.23,96.8901,87.3908,122.8728,31.5033,0.6377,1.0138,0.0138,46.3565,0.104,0.0,0.0,0,9.5127,8.327,114.2644,53.2452,0.9768,1.0552,5,2,False
2025-11-01,48,normal,240.9832,284.2016,-43.2185,-15.21,94.3788,90.4515,91.2023,31.7407,3.3087,1.0719,0.0719,46.0332,0.0,0.0,0.0,0,9.8431,8.7995,99.7564,55.5399,0.9104,1.4185,3,0,False
2025-11-01,49,normal,254.6387,284.2016,-29.5629,-10.4,91.4697,88.1189,110.7255,30.9675,4.7079,1.1011,0.1011,46.5535,0.0,0.0,0.0,0,9.5879,8.6618,114.5867,47.8221,0.874,1.0035,4,1,False
2025-11-01,50,normal,254.8643,284.2016,-29.3373,-10.32,92.105,79.5134,117.4152,30.8601,3.3092,1.0723,0.0723,45.7474,0.125,0.0,0.0,0,8.6321,9.0786,112.7429,62.3907,0.9278,0.8519,5,1,False
2025-11-01,51,normal,293.5788,284.2016,9.3772,3.3,98.0843,87.3807,160.4521,34.0569,18.2813,0.6162,-0.3838,47.6383,0.104,0.0,0.2032,6,9.5106,8.3894,123.9529,46.0718,1.239,1.303,4,1,False
2025-11-01,52,normal,225.478,284.2016,-58.7237,-20.66,93.0649,84.7619,84.543,28.5346,8.3572,1.1839,0.1839,45.4394,0.0,0.125,0.0,0,9.2031,9.5991,105.067,62.1917,0.7708,0.9538,4,3,False
2025-11-01,53,normal,298.1282,284.2016,13.9266,4.9,93.8028,86.8897,180.1641,35.0853,27.6432,0.4,-0.6,46.072,0.0,0.125,0.4485,12,9.4484,8.9144,123.3447,45.7848,1.4408,0.9646,4,2,False
2025-11-01,54,normal,263.2982,284.2016,-20.9034,-7.36,97.4356,85.9918,111.4748,31.1107,0.4934,1.0106,0.0106,46.4959,0.125,0.0,0.0,0,9.3605,8.188,111.5574,53.9692,0.9868,0.8722,7,4,False
