fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],energia_no_cargada [MWh],energia_no_operada [MWh],intervalos_soc_critico,soc_final [MWh],soc_final_desv [MWh],pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-10-24,1,normal,413.2658,406.6574,6.6084,1.63,279.2373,123.982,33.953,23.9065,0.0,0.0,0,1.0363,0.0363,10.5529,102.7815,45.1456,0.9056,0.9426,4,1,False
2025-10-24,2,normal,360.3734,406.6574,-46.284,-11.38,238.6664,118.0659,27.1371,23.4959,0.7092,0.0,3,0.9887,-0.0113,10.0494,93.8771,44.7608,1.0922,1.1729,4,1,False
2025-10-24,3,normal,412.3832,406.6574,5.7258,1.41,261.7397,114.0745,58.7845,22.2155,0.3417,0.7092,5,0.6966,-0.3034,9.7096,110.1295,55.7138,0.9667,1.1954,6,4,False
2025-10-24,4,normal,361.1169,406.6574,-45.5405,-11.2,219.2509,122.3143,42.8018,23.2501,0.3581,0.4795,4,0.9893,-0.0107,10.411,99.1016,52.7357,1.0873,1.25,6,3,False
2025-10-24,5,normal,393.7618,406.6574,-12.8956,-3.17,213.0685,124.6909,76.6652,20.6628,0.8351,0.5,5,1.0257,0.0257,10.6133,124.7133,52.4263,0.7899,1.0651,8,3,False
2025-10-24,6,normal,411.9853,406.6574,5.3278,1.31,221.4444,110.1724,102.9132,22.5448,0.4812,0.25,2,1.2947,0.2947,9.3775,135.5936,47.2687,0.956,1.1374,6,3,False
2025-10-24,7,normal,440.6857,406.6574,34.0283,8.37,248.4188,122.7102,93.0498,23.4931,0.8351,0.0,4,0.7595,-0.2405,10.4447,119.397,51.4252,1.1269,1.2001,6,0,False
2025-10-24,8,normal,416.1956,406.6574,9.5382,2.35,228.0299,113.2274,97.1295,22.1913,0.75,0.25,2,0.9999,-0.0001,9.6375,123.2933,51.5607,1.0006,0.8335,5,3,False
2025-10-24,9,normal,420.6378,406.6574,13.9804,3.44,264.2118,113.2088,65.7544,22.5372,0.0,0.5,0,1.3612,0.3612,9.6359,120.7189,53.1333,0.783,1.191,1,2,False
2025-10-24,10,normal,340.5826,406.6574,-66.0748,-16.25,227.5776,117.7963,15.794,20.5853,1.1569,0.0917,3,0.9603,-0.0397,10.0264,95.3237,47.148,0.7394,0.9585,6,2,False
2025-10-24,11,normal,374.4216,406.6574,-32.2358,-7.93,209.744,117.0106,70.2124,22.5455,0.2092,0.75,3,0.9941,-0.0059,9.9595,111.5339,51.4003,1.0482,0.7154,4,5,False
2025-10-24,12,normal,381.6603,406.6574,-24.9971,-6.15,225.5115,112.297,65.5388,21.687,0.66,0.25,1,1.0854,0.0854,9.5583,113.7042,58.9807,0.8307,0.9847,9,2,False
2025-10-24,13,normal,404.8102,406.6574,-1.8472,-0.45,224.8405,106.8222,98.5321,25.3845,0.044,0.25,6,0.9608,-0.0392,9.0923,117.4263,41.5426,1.3201,1.2136,6,1,False
2025-10-24,14,normal,492.7365,406.6574,86.0791,21.17,302.9753,114.815,98.0938,23.1476,0.5,0.2539,3,0.5379,-0.4621,9.7726,121.8152,54.2811,1.0985,0.7456,7,3,False
2025-10-24,15,normal,351.5789,406.6574,-55.0785,-13.54,212.1267,117.7739,45.4659,23.7876,0.3301,0.3982,9,0.815,-0.185,10.0245,99.8276,51.4376,1.1687,1.123,3,2,False
2025-10-24,16,normal,434.0652,406.6574,27.4078,6.74,256.1897,122.0355,78.9184,23.0785,0.2312,0.5,2,0.815,-0.185,10.3872,117.1533,39.5371,1.0675,0.8503,6,4,False
2025-10-24,17,normal,427.4974,406.6574,20.84,5.12,255.4517,124.0893,72.148,24.1917,0.9506,0.0,11,0.957,-0.043,10.562,107.0613,46.104,1.3507,0.9253,7,1,False
2025-10-24,18,normal,401.0118,406.6574,-5.6456,-1.39,208.7952,120.4957,95.3819,23.6611,0.272,0.0,2,1.005,0.005,10.2562,122.4037,61.8312,0.9592,0.9913,5,1,False
2025-10-24,19,normal,323.9974,406.6574,-82.66,-20.33,206.4848,121.6723,17.6586,21.8183,1.0,0.0,3,0.7863,-0.2137,10.3563,94.1763,42.655,0.9082,0.7546,8,1,False
2025-10-24,20,normal,421.243,406.6574,14.5855,3.59,293.5382,121.6169,29.1985,23.1106,0.2092,0.25,0,1.1678,0.1678,10.3516,97.2278,59.4233,0.8982,1.0768,3,1,False
2025-10-24,21,normal,418.2539,406.6574,11.5965,2.85,243.2246,117.072,80.8552,22.8978,0.4202,0.0,1,1.0056,0.0056,9.9648,123.0569,47.6618,0.9544,0.7665,7,4,False
2025-10-24,22,normal,394.8241,406.6574,-11.8333,-2.91,254.0812,117.7819,46.4172,23.4562,0.25,0.25,2,0.999,-0.001,10.0252,105.3934,43.4589,1.0083,1.0377,5,2,False
2025-10-24,23,normal,441.2628,406.6574,34.6054,8.51,281.1131,124.6243,59.1515,23.6261,0.1259,0.5,6,0.9881,-0.0119,10.6076,108.8956,59.0628,1.0973,1.1361,1,3,False
2025-10-24,24,normal,330.9153,406.6574,-75.7421,-18.63,220.2283,116.7301,16.685,22.7281,0.6903,0.0,3,1.0019,0.0019,9.9357,97.0181,41.098,0.9845,0.8147,7,1,False
2025-10-24,25,normal,367.3524,406.6574,-39.305,-9.67,216.4594,114.8279,59.4112,23.3461,0.0,0.3008,1,0.9197,-0.0803,9.7737,109.2165,55.8265,0.9818,1.001,2,6,False
2025-10-24,26,normal,459.2943,406.6574,52.6369,12.94,234.6342,131.7025,116.097,23.1394,0.75,0.0,2,0.59,-0.41,11.2101,129.4157,46.2669,0.9961,1.2707,7,0,False
