fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],energia_no_cargada [MWh],energia_no_operada [MWh],intervalos_soc_critico,soc_final [MWh],soc_final_desv [MWh],pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-10-19,86,normal,573.9771,592.3098,-18.3327,-3.1,99.148,191.527,301.2995,17.9974,0.25,0.0,0,1.01,0.01,10.1142,112.0323,52.9271,0.9648,1.0413,3,1,False
2025-10-19,87,normal,516.3017,592.3098,-76.0081,-12.83,99.2989,186.6753,248.7046,18.377,0.3893,0.0,7,0.6669,-0.3331,9.858,94.5853,47.0494,1.0456,0.8312,6,0,False
2025-10-19,88,normal,552.2494,592.3098,-40.0604,-6.76,101.936,191.5888,276.4849,17.7603,0.0,0.443,3,0.7738,-0.2262,10.1174,104.0158,49.0358,0.9893,0.704,2,2,False
2025-10-19,89,normal,600.5927,592.3098,8.2829,1.4,93.2447,192.4403,335.4441,20.5364,0.25,0.0,16,0.5146,-0.4854,10.1624,100.8179,52.0663,1.255,0.9863,6,0,False
2025-10-19,90,normal,591.4979,592.3098,-0.812,-0.14,95.0613,195.129,319.4965,18.189,0.0,0.0,0,1.1731,0.1731,10.3044,120.7384,52.418,0.9208,1.179,6,1,False
2025-10-19,91,normal,654.8909,592.3098,62.5811,10.57,96.8916,188.6124,388.4459,19.0591,0.25,0.0,0,0.5349,-0.4651,9.9603,123.3,41.7944,1.0943,1.296,6,2,False
2025-10-19,92,normal,478.7087,592.3098,-113.6011,-19.18,91.4756,170.0874,234.6129,17.4672,0.0,0.0,0,1.239,0.239,8.982,103.8163,44.9767,0.8275,1.0856,6,0,False
2025-10-19,93,normal,580.2672,592.3098,-12.0426,-2.03,103.7782,187.9681,306.4344,17.9135,0.1393,0.0,0,1.0836,0.0836,9.9262,116.5855,50.499,0.9386,0.9604,3,1,False
2025-10-19,94,normal,598.1109,592.3098,5.801,0.98,95.5535,198.7391,321.7247,17.9064,0.3893,0.0,3,0.782,-0.218,10.495,115.6553,48.927,1.0179,0.8402,4,2,False
2025-10-19,95,normal,637.538,592.3098,45.2282,7.64,97.5194,208.2706,351.2678,19.5198,0.25,0.0,8,0.5114,-0.4886,10.9984,110.9653,55.7055,1.159,0.8346,6,1,False
2025-10-19,96,normal,506.3558,592.3098,-85.954,-14.51,96.1888,194.0106,233.0008,16.8444,0.25,0.0,0,1.2072,0.2072,10.2453,105.6866,43.2682,0.8474,0.8814,2,2,False
2025-10-19,97,normal,549.7868,592.3098,-42.5231,-7.18,100.1499,204.7513,262.8212,17.9356,0.0,0.1156,0,1.0973,0.0973,10.8125,105.7682,46.9764,0.9306,1.0915,5,2,False
2025-10-19,98,normal,592.7318,592.3098,0.422,0.07,102.482,176.0504,331.6829,17.4835,0.443,0.25,2,0.5175,-0.4825,9.2969,116.6528,52.8338,0.9949,1.1201,3,1,False
2025-10-19,99,normal,507.8325,592.3098,-84.4773,-14.26,102.0779,188.1238,234.228,16.5972,0.25,0.0,0,1.2636,0.2636,9.9345,109.2762,55.5158,0.8088,1.0373,5,2,False
2025-10-19,100,normal,555.1605,592.3098,-37.1493,-6.27,99.1452,180.3337,291.2606,15.579,0.25,0.3656,0,1.1998,0.1998,9.5231,128.906,45.6596,0.781,1.0459,6,4,False
2025-10-19,101,normal,673.4592,592.3098,81.1494,13.7,96.5967,198.6962,397.0433,18.877,0.25,0.0,4,0.6697,-0.3303,10.4928,126.5666,48.508,1.0536,1.083,5,0,False
2025-10-19,102,normal,582.102,592.3098,-10.2078,-1.72,97.9996,196.2451,306.3899,18.5327,0.25,0.0,4,0.7717,-0.2283,10.3633,108.5971,46.5442,1.0726,1.0846,3,4,False
2025-10-19,103,normal,618.9183,592.3098,26.6084,4.49,100.5725,193.4772,342.3376,17.469,0.25,0.0,0,1.1017,0.1017,10.2172,127.446,47.6388,0.9211,0.6822,5,1,False
2025-10-19,104,normal,527.4771,592.3098,-64.8327,-10.95,98.3841,195.0427,253.0488,18.9985,0.0,0.0,0,0.9721,-0.0279,10.2998,97.7512,56.3748,1.0252,1.3137,2,2,False
2025-10-19,105,normal,552.3842,592.3098,-39.9256,-6.74,99.6658,197.382,273.8806,18.5443,0.0,0.0,0,0.9983,-0.0017,10.4234,105.837,43.4853,1.0009,0.9919,5,3,False
2025-10-19,106,normal,521.3598,592.3098,-70.95,-11.98,101.513,200.6775,237.2266,18.0572,0.0,0.2125,0,0.9834,-0.0166,10.5974,96.3351,45.8529,0.9716,0.9231,3,2,False
2025-10-19,107,normal,440.0938,592.3098,-152.216,-25.7,99.8445,185.5815,170.8624,16.1947,0.25,0.0,0,1.329,0.329,9.8002,92.7057,40.128,0.761,1.0164,8,2,False
2025-10-19,108,normal,518.4647,592.3098,-73.8452,-12.47,92.7205,184.9343,256.2013,15.3915,0.3656,0.25,0,1.2604,0.2604,9.766,118.4632,45.6131,0.7399,0.9846,3,1,False
2025-10-19,109,normal,650.7331,592.3098,58.4232,9.86,90.6837,184.319,392.7282,16.9979,0.25,0.0,0,1.2681,0.2681,9.7335,145.6371,47.7458,0.8886,0.9354,4,4,False
2025-10-19,110,normal,587.0291,592.3098,-5.2807,-0.89,101.0448,194.8082,309.8266,18.6506,0.8927,0.0,17,0.365,-0.635,10.2874,100.2179,53.9804,1.1844,1.0946,11,0,False
2025-10-19,111,normal,677.0531,592.3098,84.7433,14.31,94.6589,183.4405,418.6099,19.6561,0.25,0.4625,18,0.2849,-0.7151,9.6871,116.087,54.25,1.31,0.7662,4,4,False
2025-10-19,112,normal,607.0597,592.3098,14.7499,2.49,99.7653,189.4458,336.6514,18.8027,0.0,0.0,0,1.0162,0.0162,10.0043,117.7176,55.0167,0.9886,1.0265,2,0,False
2025-10-19,113,normal,551.7287,592.3098,-40.5811,-6.85,90.3269,186.0582,294.4914,19.1477,0.0,0.0,0,0.9229,-0.0771,9.8254,105.8637,54.5648,1.0373,1.1504,0,1,False
2025-10-19,114,normal,586.9715,592.3098,-5.3383,-0.9,95.2288,183.2041,326.6625,18.1239,0.25,0.25,3,0.5105,-0.4895,9.6747,111.7781,50.195,1.0389,0.7956,5,1,False
2025-10-19,115,normal,572.1379,592.3098,-20.1719,-3.41,99.8835,191.1055,300.3038,19.1549,0.25,0.25,12,0.511,-0.489,10.0919,99.2298,46.9577,1.1597,0.817,8,1,False
2025-10-19,116,normal,501.7917,592.3098,-90.5181,-15.28,97.7544,179.0,242.4683,17.4311,0.5,0.0,0,0.805,-0.195,9.4526,97.9288,54.5366,0.9871,1.004,4,3,False
2025-10-19,117,normal,519.7726,592.3098,-72.5372,-12.25,101.2451,171.4795,262.7648,15.7167,0.193,0.25,0,1.3698,0.3698,9.0555,123.254,52.6748,0.7339,1.1823,5,2,False
2025-10-19,118,normal,592.2297,592.3098,-0.0802,-0.01,87.1273,190.6726,331.1944,16.7646,0.6156,0.0,0,0.9167,-0.0833,10.0691,124.0641,49.0445,0.9232,1.0918,7,2,False
2025-10-19,119,normal,796.3457,592.3098,204.0359,34.45,97.2329,194.8514,525.0996,20.8382,0.2092,0.0,17,0.5091,-0.4909,10.2897,134.5025,51.7951,1.2962,0.731,5,0,False
2025-10-19,120,normal,542.1716,592.3098,-50.1382,-8.46,93.8544,178.4369,291.1391,21.2588,0.25,0.0,18,0.5149,-0.4851,9.4229,88.9345,46.79,1.3587,1.0002,2,1,False
2025-10-19,121,normal,653.1506,592.3098,60.8407,10.27,100.0105,189.7917,383.5602,20.2119,0.25,0.0,14,0.5132,-0.4868,10.0225,113.0418,52.2799,1.2375,0.9188,4,1,False
2025-10-19,122,normal,663.7388,592.3098,71.429,12.06,100.9063,186.9325,393.8822,17.9822,0.25,0.25,3,0.5124,-0.4876,9.8715,129.4209,56.6995,1.0174,0.8844,5,1,False
2025-10-19,123,normal,593.5589,592.3098,1.2491,0.21,98.5709,188.8411,323.6042,17.4573,0.0,0.3656,0,1.0114,0.0114,9.9723,121.072,49.8147,0.9476,1.0646,2,4,False
2025-10-19,124,normal,647.0173,592.3098,54.7075,9.24,96.0972,197.7662,371.9741,18.8202,0.25,0.0,0,0.6033,-0.3967,10.4437,122.3791,46.6851,1.0431,1.1531,3,0,False
2025-10-19,125,normal,586.2503,592.3098,-6.0596,-1.02,97.3105,203.6031,305.9196,20.5829,0.0,0.0,9,0.5144,-0.4856,10.7519,99.0877,42.3138,1.202,0.9748,5,0,False
2025-10-19,126,normal,601.8896,592.3098,9.5798,1.62,95.9487,184.7423,340.6055,19.407,0.5,0.25,18,0.2899,-0.7101,9.7559,102.8185,49.9975,1.2391,0.9989,9,1,False
2025-10-19,127,normal,550.1491,592.3098,-42.1607,-7.12,96.9166,185.1439,284.9102,16.8217,0.25,0.1156,0,1.161,0.161,9.7771,117.98,45.4173,0.8806,0.8521,7,3,False
2025-10-19,128,normal,548.6565,592.3098,-43.6533,-7.37,94.6033,190.7977,281.0784,17.8228,0.0,0.0,0,1.1228,0.1228,10.0757,113.6942,50.387,0.911,1.0221,4,3,False
2025-10-19,129,normal,745.8645,592.3098,153.5547,25.92,94.708,190.6642,480.7507,20.2584,0.25,0.0,14,0.5145,-0.4855,10.0686,131.395,51.061,1.2575,0.9814,7,2,False
2025-10-19,130,normal,613.1977,592.3098,20.8879,3.53,97.6895,190.0416,343.9616,18.495,0.0,0.0,0,1.0649,0.0649,10.0357,124.6197,48.2976,1.0026,1.1307,4,4,False
2025-10-19,131,normal,636.0646,592.3098,43.7548,7.39,93.8955,182.8986,375.5694,16.2989,0.943,0.0,9,0.9303,-0.0697,9.6585,133.3822,39.6063,0.9257,0.8844,6,0,False
2025-10-19,132,normal,627.9608,592.3098,35.651,6.02,100.7118,187.2924,358.1819,18.2253,0.193,0.0,0,0.9973,-0.0027,9.8906,125.7372,46.983,0.993,1.102,6,2,False
2025-10-19,133,normal,613.3951,592.3098,21.0853,3.56,98.6276,185.3427,350.5157,21.0909,0.1156,0.0,15,0.5144,-0.4856,9.7876,101.6301,50.1171,1.3528,0.9778,2,3,False
2025-10-19,134,normal,591.1711,592.3098,-1.1387,-0.19,94.1061,180.0519,333.9818,16.9688,0.25,0.2125,0,1.1287,0.1287,9.5082,126.682,58.991,0.9072,1.0502,7,3,False
2025-10-19,135,normal,643.7835,592.3098,51.4737,8.69,99.259,195.9257,365.9343,17.3355,0.25,0.0,0,1.1543,0.1543,10.3465,136.2062,55.7591,0.885,0.8221,5,0,False
2025-10-19,136,normal,628.0718,592.3098,35.7619,6.04,97.0838,207.7366,341.0309,17.7796,0.193,0.1156,0,0.9036,-0.0964,10.9702,122.3844,50.5431,0.98,0.9853,4,3,False
2025-10-19,137,normal,600.0036,592.3098,7.6938,1.3,92.9483,193.7196,330.8255,17.4898,0.6427,0.0,0,0.4438,-0.5562,10.23,116.2625,47.0999,1.0055,1.0203,7,1,False
2025-10-19,138,normal,519.8187,592.3098,-72.4911,-12.24,94.1875,194.1558,248.7361,17.2607,0.25,0.0,0,1.1304,0.1304,10.253,104.6902,45.943,0.9021,0.8073,7,2,False
2025-10-19,139,normal,680.3765,592.3098,88.0667,14.87,98.2235,198.51,404.2842,20.6412,0.5,0.1427,22,0.365,-0.635,10.4829,107.4566,53.536,1.3648,1.0104,10,1,False
2025-10-19,140,normal,532.1112,592.3098,-60.1987,-10.16,92.4828,198.051,259.6489,18.0716,0.1156,0.25,0,0.6627,-0.3373,10.4587,100.7861,46.4942,1.0554,1.013,8,5,False
