fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2026-01-09,1,normal,255.8678,277.7669,-21.8991,-7.88,103.0552,85.5624,101.5978,29.8151,4.5326,1.0839,0.0839,53.9933,0.0,0.0,0.0,0,9.0068,8.9866,115.0368,61.9174,0.9161,0.882,5,1,False
2026-01-09,2,normal,280.4997,277.7669,2.7328,0.98,103.6241,89.9313,123.3191,29.7782,6.5966,1.1216,0.1216,54.2368,0.0,0.0,0.0,0,9.4803,8.6084,125.964,63.8739,0.9311,1.2139,5,3,False
2026-01-09,3,normal,236.6052,277.7669,-41.1617,-14.82,102.2462,85.3592,105.2137,29.2392,26.9747,0.5048,-0.4952,54.477,0.25,0.1342,0.0,0,8.9938,8.4476,110.5553,65.37,1.0765,1.2065,8,4,False
2026-01-09,4,normal,267.4018,277.7669,-10.3651,-3.73,98.9957,83.7111,129.4762,31.3205,13.4606,0.7456,-0.2544,52.9194,0.125,0.0,0.0,0,8.8166,8.5013,118.2936,52.7566,1.089,1.1144,3,2,False
2026-01-09,5,normal,246.2759,277.7669,-31.491,-11.34,102.5598,89.4309,93.1844,27.1652,11.734,1.2121,0.2121,55.3214,0.0,0.125,0.0,0,9.4279,8.539,119.8278,53.5832,0.7879,1.0095,5,2,False
2026-01-09,6,normal,215.7543,277.7669,-62.0126,-22.33,104.6547,91.4175,57.5919,26.8289,11.0809,1.2068,0.2068,53.574,0.125,0.125,0.0,0,9.6452,8.2441,95.117,53.5196,0.8408,1.1238,4,4,False
2026-01-09,7,normal,239.3836,277.7669,-38.3834,-13.82,96.3537,89.259,113.4437,31.37,28.3029,0.4657,-0.5343,52.9711,0.25,0.0,0.1711,6,9.4115,8.4184,109.3545,55.8035,1.2353,0.7963,8,2,False
2026-01-09,8,normal,279.8757,277.7669,2.1088,0.76,104.0263,90.2332,136.2949,31.8462,18.8325,0.6521,-0.3479,54.1294,0.125,0.0,0.0459,3,9.5045,9.1085,120.7839,49.7084,1.1654,0.9807,6,3,False
2026-01-09,9,normal,248.2482,277.7669,-29.5187,-10.63,100.206,86.4596,102.8286,29.4718,11.7742,0.7775,-0.2225,52.9134,0.0,0.25,0.0,0,9.1113,8.4628,109.8438,46.4042,0.9935,0.8939,4,2,False
2026-01-09,10,normal,215.3604,277.7669,-62.4065,-22.47,100.3848,86.5075,73.5949,26.4772,18.6496,1.3482,0.3482,53.5545,0.0,0.0,0.0,0,9.1203,8.2212,112.864,50.332,0.6955,0.797,2,2,False
2026-01-09,11,normal,254.2358,277.7669,-23.5312,-8.47,99.3337,91.8482,110.7861,31.5814,16.1508,0.6963,-0.3037,53.1785,0.125,0.0,0.0,0,9.6806,8.8976,109.6119,48.5003,1.1245,1.0049,2,3,False
2026-01-09,12,normal,253.3189,277.7669,-24.448,-8.8,99.7174,88.5272,121.2418,31.042,25.1254,0.5289,-0.4711,53.3344,0.25,0.0,0.076,4,9.3283,8.7184,114.1717,52.2832,1.1344,0.9516,8,0,False
2026-01-09,13,normal,282.5175,277.7669,4.7506,1.71,104.5775,85.9846,125.8418,28.923,4.9634,1.0903,0.0903,54.9791,0.125,0.0,0.0,0,9.0625,8.336,128.6782,46.5087,0.9097,1.0077,4,1,False
2026-01-09,14,normal,254.3794,277.7669,-23.3875,-8.42,97.0256,88.7672,114.6161,32.7544,13.2751,0.7485,-0.2515,52.7893,0.0,0.0,0.0739,3,9.3508,8.9144,110.5698,46.8733,1.1859,0.8616,7,3,False
2026-01-09,15,normal,234.9715,277.7669,-42.7954,-15.41,98.0386,88.1993,100.0989,31.8306,19.5346,0.6373,-0.3627,53.8614,0.125,0.0,0.0902,4,9.292,8.7944,105.8216,60.5813,1.1416,0.7247,3,0,False
