fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2025-11-01,537.6,4.293,5.302,5.174,0.0,18.221,0.576,4.293,0.128,45.58,104.97,9.0,95.97
2025-11-02,582.69,4.148,5.123,4.801,0.0,17.608,1.449,4.148,0.322,40.02,113.5,0.0,113.5
2025-11-03,417.27,4.94,6.1,5.986,1.38,15.112,0.514,3.56,0.114,82.78,157.15,12.86,144.29
2025-11-04,536.81,4.245,5.243,4.955,0.099,17.598,1.295,4.146,0.288,49.44,87.79,1.55,86.24
2025-11-05,603.75,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,27.75,70.68,3.52,67.16
2025-11-06,591.86,4.686,5.787,5.655,0.659,17.091,0.595,4.027,0.132,40.25,127.39,0.65,126.74
2025-11-07,409.89,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,68.22,112.52,33.0,79.52
2025-11-08,555.99,4.173,5.153,4.84,0.0,17.71,1.41,4.173,0.314,41.17,95.92,-0.45,96.37
2025-11-09,496.02,4.226,5.219,4.852,0.136,17.357,1.648,4.089,0.367,57.9,122.94,0.65,122.29
2025-11-10,393.69,4.927,6.085,5.978,1.174,15.933,0.484,3.754,0.108,81.69,150.01,25.77,124.24
2025-11-11,450.82,4.306,5.319,5.124,0.107,17.825,0.876,4.2,0.195,66.88,103.9,1.2,102.7
2025-11-12,621.0,4.239,5.236,5.017,0.0,17.994,0.983,4.239,0.219,27.78,72.0,0.0,72.0
2025-11-13,562.21,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,31.9,62.3,13.0,49.3
2025-11-14,587.36,4.298,5.309,5.182,0.0,18.244,0.568,4.298,0.126,29.39,62.02,5.11,56.91
2025-11-15,543.99,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,31.46,73.46,16.46,57.0
2025-11-16,578.55,4.182,5.165,4.855,0.0,17.75,1.395,4.182,0.31,34.14,100.0,0.0,100.0
2025-11-17,381.71,4.913,6.067,5.944,1.092,16.217,0.556,3.821,0.124,79.21,154.48,35.0,119.48
2025-11-18,414.37,4.435,5.477,5.328,0.282,17.627,0.672,4.153,0.15,79.08,147.0,5.11,141.89
2025-11-19,219.51,4.306,5.318,5.308,0.0,18.275,0.045,4.306,0.01,100.16,130.01,63.32,66.69
2025-11-20,341.97,4.612,5.696,5.61,0.488,17.504,0.39,4.124,0.087,84.54,130.01,31.5,98.51
2025-11-21,520.05,4.728,5.839,5.587,0.885,16.31,1.131,3.843,0.252,60.14,159.68,0.0,159.68
2025-11-22,483.97,4.231,5.225,4.932,0.113,17.479,1.318,4.118,0.293,59.07,105.96,0.16,105.8
2025-11-23,573.98,4.166,5.146,4.83,0.0,17.685,1.42,4.166,0.316,39.88,80.85,0.0,80.85
2025-11-24,532.9,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,41.77,84.19,3.52,80.67
2025-11-25,567.04,4.485,5.539,5.407,0.321,17.672,0.593,4.164,0.132,48.17,105.07,0.65,104.42
2025-11-26,473.22,4.741,5.854,5.598,0.977,15.973,1.152,3.763,0.256,69.21,158.18,3.52,154.66
2025-11-27,344.87,4.933,6.092,5.994,1.202,15.839,0.443,3.732,0.098,86.02,170.01,41.9,128.11
2025-11-28,243.95,5.043,6.228,6.151,1.237,16.155,0.349,3.806,0.078,98.73,154.48,66.02,88.46
2025-11-29,308.86,4.215,5.206,5.05,0.0,17.89,0.7,4.215,0.156,82.23,110.34,43.18,67.16
2025-11-30,335.84,4.3,5.311,5.185,0.0,18.25,0.565,4.3,0.126,74.92,108.96,40.0,68.96
