fecha,t,hora,p [€/MWh],p_eff [€/MWh],x_sell [MWh],x_buy [MWh],x_ch [MWh],x_dis [MWh],r_up [MWh],r_down [MWh],a_up [MWh],a_down [MWh],SOC [MWh],y_bat,y_grid,pi_disp_up [€/MWh],pi_disp_down [€/MWh],pi_act_up [€/MWh],pi_act_down [€/MWh],E_max [MWh],SOC_min [MWh]
2025-12-09,1,00:00,60.0,60.0,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.9686,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,2,00:15,57.62,57.62,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.9371,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,3,00:30,54.7,54.7,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.9057,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,4,00:45,50.39,50.39,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.8742,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,5,01:00,50.3,50.3,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.8428,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,6,01:15,48.0,48.0,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.8113,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,7,01:30,45.37,45.37,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.7799,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,8,01:45,45.0,45.0,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.7484,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,9,02:00,45.0,45.0,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.717,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,10,02:15,44.98,44.98,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.6855,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,11,02:30,44.85,44.85,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.6541,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,12,02:45,40.0,40.0,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.6226,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,13,03:00,44.85,44.85,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.5912,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,14,03:15,40.0,40.0,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.5597,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,15,03:30,37.8,37.8,0.0,0.0842,0.0726,0.0,0.0,0.0524,0.0,0.0116,0.6388,1,1,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,16,03:45,37.25,37.25,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.756,1,1,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,17,04:00,36.5,36.5,0.0,0.125,0.125,0.0,0.0,-0.0,0.0,0.0,0.8733,1,1,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,18,04:15,36.2,36.2,0.0,0.125,0.125,0.0,0.0,-0.0,0.0,0.0,0.9905,1,1,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,19,04:30,36.5,36.5,0.0,0.125,0.125,0.0,0.0,-0.0,0.0,0.0,1.1078,1,1,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-12-09,20,04:45,37.25,37.25,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.2251,1,1,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
