fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],ben_extremo_medio [€],peor_escenario [€],CVaR_95 [€],soc_critico_medio,penalizacion_soc_ext [€],energia_recortada_ext [MWh],pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal,n_sim_extremo
2025-07-01,167.99,138.88,47.93,75.68,136.79,201.78,62.53,0.0,-29.11,-17.3,29.63,0.138,-0.2484,151.13,-85.64,-52.94,10.0,51.78,1.203,4.8,2.0,200,40
2025-07-02,204.07,161.04,59.14,84.8,163.53,240.42,64.0,0.5,-43.02,-21.1,39.07,0.1351,-0.2855,143.68,-35.6,-28.53,10.9,62.62,0.9209,4.9,2.0,200,40
2025-07-03,306.45,276.74,54.49,212.88,277.9,343.3,193.6,0.0,-29.71,-9.7,31.44,0.1949,-0.2447,281.3,65.97,80.92,11.6,62.45,0.9666,4.6,1.9,200,40
2025-07-04,206.84,167.49,52.95,102.81,162.49,229.32,89.34,0.0,-39.36,-19.0,35.76,0.1204,-0.2486,176.83,-41.18,-28.04,10.8,55.93,0.9653,4.8,1.7,200,40
2025-07-05,458.25,432.15,47.84,375.86,427.82,494.15,357.29,0.0,-26.1,-5.7,21.5,0.1544,-0.183,450.71,285.62,289.73,11.0,42.62,0.8986,5.0,2.0,200,40
2025-07-06,520.2,498.82,51.27,438.17,496.16,569.08,424.76,0.0,-21.38,-4.1,16.79,0.1895,-0.2006,486.46,289.12,299.34,13.6,33.0,1.2746,4.9,2.0,200,40
2025-07-07,485.98,459.59,49.2,391.04,463.51,524.33,378.15,0.0,-26.39,-5.4,17.99,0.1716,-0.2,422.79,195.09,195.59,7.3,32.08,0.5093,4.5,1.9,200,40
2025-07-08,572.35,548.89,47.21,485.11,549.59,614.99,471.2,0.0,-23.46,-4.1,14.76,0.1002,-0.2309,569.48,318.24,326.69,7.7,26.23,0.6399,4.7,2.1,200,40
2025-07-09,322.86,298.69,44.27,241.21,299.46,357.8,228.6,0.0,-24.17,-7.5,23.32,0.1834,-0.2191,337.71,81.7,97.48,9.2,38.43,0.9659,4.6,1.9,200,40
2025-07-10,200.04,168.31,48.91,105.85,170.7,229.03,87.88,0.0,-31.74,-15.9,28.18,0.147,-0.2505,158.54,-40.09,-30.68,11.4,58.23,1.1968,4.9,2.1,200,40
2025-07-11,248.59,220.17,48.26,159.06,219.55,284.35,139.69,0.0,-28.42,-11.4,26.71,0.1422,-0.1665,195.74,-29.36,23.09,11.1,54.94,0.9722,4.6,1.8,200,40
2025-07-12,432.56,401.74,48.54,348.02,396.46,474.64,327.3,0.0,-30.82,-7.1,26.27,0.1647,-0.2329,355.66,169.07,182.0,9.0,45.73,0.7072,4.8,2.1,200,40
2025-07-13,493.38,462.07,52.38,395.22,459.01,528.77,377.94,0.0,-31.31,-6.3,24.05,0.1673,-0.2859,439.61,221.66,224.53,10.1,37.7,0.8019,4.8,2.1,200,40
2025-07-14,362.41,333.69,48.96,272.15,330.69,403.3,258.04,0.0,-28.72,-7.9,24.14,0.1302,-0.1786,279.58,1.62,13.39,12.1,54.04,0.9521,4.6,1.9,200,40
2025-07-15,367.85,336.91,48.92,280.06,331.8,397.3,271.61,0.0,-30.94,-8.4,26.51,0.17,-0.205,297.81,118.53,119.71,9.8,46.7,0.6972,4.9,1.9,200,40
2025-07-16,244.47,240.06,43.07,187.44,238.9,295.12,171.98,0.0,-4.41,-1.8,5.64,0.3839,-0.03,207.34,-24.54,9.05,7.5,23.09,0.8381,4.7,1.8,200,40
