fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-08-28,1,normal,535.6459,520.464,15.1818,2.92,132.8283,190.1805,253.772,19.8865,21.2485,0.6147,-0.3853,55.1468,0.0,0.0,0.3341,6,10.5006,118.5527,49.5353,1.1761,0.801,7,1,False
2025-08-28,2,normal,492.9998,520.464,-27.4642,-5.28,145.5766,179.4773,194.0768,17.8609,8.27,1.1519,0.1519,54.4371,0.0,0.0,0.0,0,9.9097,117.6805,44.6735,0.8481,1.0842,3,1,False
2025-08-28,3,normal,481.5908,520.464,-38.8733,-7.47,130.9612,183.7446,199.2253,16.0673,16.273,1.3053,0.3053,53.3079,0.25,0.0,0.0,0,10.1453,130.3524,55.7926,0.6947,0.8992,5,1,False
2025-08-28,4,normal,646.2323,520.464,125.7682,24.16,125.8293,194.9028,357.3181,18.7838,13.0341,0.7552,-0.2448,53.2489,0.25,0.0912,0.1996,4,10.7614,142.179,47.8768,1.0968,1.0853,4,2,False
2025-08-28,5,normal,460.7585,520.464,-59.7055,-11.47,136.4252,179.4653,173.1597,16.8399,11.4518,1.2133,0.2133,53.691,0.0,0.25,0.0,0,9.909,114.3795,45.5209,0.7867,0.9799,4,2,False
2025-08-28,6,normal,482.468,520.464,-37.996,-7.3,131.5549,182.2,193.1839,16.9249,7.5459,1.1449,0.1449,52.079,0.25,0.25,0.0,0,10.06,114.0218,37.961,0.8551,1.1371,4,2,False
2025-08-28,7,normal,518.2593,520.464,-2.2047,-0.42,137.2509,180.072,265.7359,18.943,45.8566,0.14,-0.86,53.3216,0.25,0.25,1.4949,20,9.9425,113.8954,46.6301,1.5208,0.8629,5,5,False
2025-08-28,8,normal,534.9096,520.464,14.4456,2.78,137.2026,178.5762,240.5205,18.3838,3.0059,1.0559,0.0559,53.7686,0.0974,0.0,0.0,0,9.8599,122.7851,45.0297,0.9441,0.9277,3,1,False
2025-08-28,9,normal,547.3655,520.464,26.9014,5.17,145.7062,190.2346,235.7243,17.9301,6.3696,1.1179,0.1179,54.0173,0.0,-0.0,0.0,0,10.5036,128.7251,48.5186,0.8821,1.0347,1,3,False
2025-08-28,10,normal,483.5015,520.464,-36.9625,-7.1,127.4715,189.3559,220.5558,16.8639,37.0177,0.3141,-0.6859,53.9694,0.5,0.5,0.2637,4,10.4551,115.3259,47.865,1.0322,1.0914,4,3,False
