fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],ben_extremo_medio [€],peor_escenario [€],CVaR_95 [€],soc_critico_medio,penalizacion_soc_ext [€],energia_recortada_ext [MWh],pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal,n_sim_extremo
2025-08-01,450.4,421.84,48.69,363.75,420.4,479.4,353.79,0.0,-28.56,-6.3,20.34,0.1634,-0.2223,422.4,208.48,220.31,12.6,38.4,1.4212,4.8,2.0,200,40
2025-08-02,589.27,564.83,57.24,493.39,562.1,638.36,481.63,0.0,-24.45,-4.1,13.96,0.133,-0.2856,547.03,313.35,328.86,10.1,21.24,0.8674,4.9,2.0,200,40
2025-08-03,615.32,597.69,64.05,520.7,593.52,687.7,498.29,0.0,-17.63,-2.9,12.47,0.1427,-0.3004,620.71,378.24,388.45,11.6,20.25,0.9569,4.6,1.9,200,40
2025-08-04,504.3,480.33,44.57,421.79,476.78,540.96,415.27,0.0,-23.96,-4.8,15.87,0.1892,-0.2061,497.4,289.09,294.0,11.4,25.85,1.0582,4.8,1.7,200,40
2025-08-05,513.76,488.9,49.92,426.82,484.69,553.13,413.18,0.0,-24.87,-4.8,16.47,0.1455,-0.1764,493.05,313.47,314.86,10.6,33.68,0.9225,5.0,2.0,200,40
2025-08-06,415.31,395.8,47.2,339.47,394.57,452.58,326.26,0.0,-19.51,-4.7,19.12,0.1997,-0.1892,391.42,187.68,202.44,12.5,30.68,1.233,4.9,2.0,200,40
2025-08-07,361.92,338.7,49.75,275.61,340.02,404.62,258.52,0.0,-23.22,-6.4,24.82,0.1583,-0.2169,315.59,83.06,84.38,6.5,42.81,0.4718,4.5,1.9,200,40
2025-08-08,435.62,406.57,46.37,349.59,408.32,459.36,334.3,0.0,-29.06,-6.7,24.66,0.1298,-0.2037,425.33,87.59,126.99,9.6,46.24,0.6808,4.7,2.1,200,40
2025-08-09,485.39,462.98,48.78,397.98,459.0,525.65,387.01,0.0,-22.41,-4.6,18.43,0.1615,-0.1988,492.62,156.52,208.47,10.8,35.0,0.9899,4.6,1.9,200,40
2025-08-10,545.88,518.41,51.92,455.31,512.52,580.95,438.56,0.0,-27.47,-5.0,16.54,0.1535,-0.2186,522.64,287.6,288.44,12.7,35.03,1.3615,4.9,2.1,200,40
2025-08-11,399.62,375.79,45.23,315.4,374.88,427.6,306.43,0.0,-23.83,-6.0,19.08,0.1671,-0.1375,360.18,195.29,211.56,12.3,35.98,1.0757,4.6,1.8,200,40
2025-08-12,336.67,319.44,44.24,262.77,320.21,381.3,248.46,0.0,-17.23,-5.1,17.15,0.3164,-0.088,282.6,117.62,127.68,10.6,26.58,0.895,4.8,2.1,200,40
2025-08-13,238.43,223.04,46.43,160.96,219.5,286.15,143.9,0.0,-15.39,-6.5,13.69,0.3708,-0.0802,207.41,-31.39,-21.01,11.5,23.42,0.9647,4.8,2.1,200,40
2025-08-14,264.08,244.77,47.93,186.56,241.03,310.39,173.36,0.0,-19.31,-7.3,17.48,0.2499,-0.085,191.01,-44.05,-35.88,14.0,33.0,1.3088,4.6,1.9,200,40
2025-08-15,471.33,439.6,47.75,377.88,439.52,504.53,364.77,0.0,-31.74,-6.7,23.48,0.1547,-0.2308,402.92,247.35,253.3,10.5,40.25,0.7607,4.9,1.9,200,40
2025-08-16,447.61,422.24,44.58,369.13,420.38,480.23,355.98,0.0,-25.37,-5.7,25.84,0.146,-0.2758,409.78,179.47,194.68,7.4,39.6,0.527,4.7,1.8,200,40
2025-08-17,475.75,453.7,49.44,396.29,449.92,518.04,380.99,0.0,-22.05,-4.6,23.4,0.1641,-0.2374,429.68,254.63,267.83,8.8,42.93,0.6654,5.1,2.0,200,40
2025-08-18,225.61,196.21,54.41,126.86,188.49,262.49,112.08,0.0,-29.39,-13.0,29.68,0.1485,-0.1678,167.89,-80.47,-74.96,11.6,56.28,1.071,4.7,2.0,200,40
2025-08-19,355.68,322.58,48.55,254.74,320.63,385.55,244.09,0.0,-33.1,-9.3,25.07,0.1407,-0.2196,316.46,96.47,102.93,9.4,45.72,0.7473,5.0,1.8,200,40
2025-08-20,397.84,371.62,48.37,314.88,363.36,432.54,290.63,0.0,-26.21,-6.6,21.14,0.1521,-0.1963,358.03,28.44,62.75,10.2,37.78,0.929,4.7,2.1,200,40
2025-08-21,493.32,470.01,53.43,403.58,467.38,543.06,390.05,0.0,-23.32,-4.7,20.46,0.1412,-0.293,460.86,295.56,297.72,12.6,32.05,1.2144,5.0,1.8,200,40
2025-08-22,506.47,476.41,54.12,411.41,471.28,548.36,391.79,0.0,-30.06,-5.9,20.5,0.1246,-0.2805,518.18,258.27,278.5,12.1,35.15,0.9148,4.8,2.0,200,40
2025-08-23,481.93,453.87,49.6,385.57,453.79,519.96,372.29,0.0,-28.06,-5.8,22.63,0.1745,-0.2469,395.14,187.4,207.93,11.2,38.43,0.9248,4.8,1.9,200,40
2025-08-24,490.97,467.72,51.29,403.14,463.89,529.7,391.1,0.0,-23.25,-4.7,17.74,0.1401,-0.187,479.37,257.89,258.51,12.6,41.24,1.0928,4.9,2.1,200,40
2025-08-25,312.32,279.19,51.31,212.3,279.41,343.07,194.04,0.0,-33.13,-10.6,29.26,0.1478,-0.2104,243.52,33.31,40.18,11.0,54.81,0.8922,4.7,1.9,200,40
2025-08-26,319.74,289.06,53.58,217.1,293.23,361.68,198.94,0.0,-30.67,-9.6,31.46,0.1627,-0.2416,263.99,49.59,66.59,11.7,55.54,0.9224,4.9,2.0,200,40
2025-08-27,287.31,250.42,56.19,175.24,257.15,317.89,157.23,0.0,-36.89,-12.8,32.48,0.1976,-0.2499,233.47,-51.04,3.95,11.2,54.64,0.9315,4.8,1.8,200,40
2025-08-28,520.46,503.53,54.36,438.49,496.01,570.86,420.39,0.0,-16.93,-3.3,17.51,0.1909,-0.2216,495.18,309.42,313.38,12.1,32.01,1.1236,4.7,1.8,200,40
2025-08-29,554.44,522.16,51.23,461.78,518.79,587.52,450.14,0.0,-32.28,-5.8,17.35,0.1488,-0.2685,496.82,296.5,298.92,13.0,30.03,1.1025,4.7,1.8,200,40
2025-08-30,520.48,500.34,56.2,435.04,491.81,572.54,416.67,0.0,-20.14,-3.9,16.95,0.1683,-0.2302,474.66,170.94,193.63,10.8,31.18,0.8302,4.7,1.9,200,40
2025-08-31,567.78,545.68,60.74,476.09,542.64,618.58,456.57,0.0,-22.1,-3.9,12.56,0.1509,-0.2077,507.61,269.62,286.67,11.7,24.26,1.1236,4.8,2.0,200,40
