fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],P5 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal
2026-02-01,359.51,389.4,121.13,258.77,362.6,546.24,242.38,0.0,29.89,8.3,1.61,0.4265,-0.015,4.7,4.9,1.9,200
2026-02-02,319.8,244.62,150.21,44.22,243.15,427.98,-37.49,8.0,-75.19,-23.5,5.7,0.3416,-0.104,6.9,5.1,1.9,200
2026-02-03,391.76,363.9,77.53,299.87,346.09,434.24,288.72,0.0,-27.87,-7.1,4.28,0.3832,-0.0317,7.2,4.6,1.9,200
2026-02-04,314.22,255.85,132.54,138.66,251.71,395.3,64.96,3.0,-58.36,-18.6,6.96,0.3558,-0.0802,7.1,4.8,1.8,200
2026-02-05,319.86,240.46,156.05,123.05,238.17,411.28,11.93,4.5,-79.4,-24.8,2.51,0.2878,-0.0553,6.4,4.8,1.9,200
2026-02-06,319.86,246.02,147.48,121.87,245.84,433.14,-17.22,6.5,-73.84,-23.1,3.86,0.3189,-0.0788,6.0,4.9,1.9,200
2026-02-07,319.79,260.69,199.74,145.0,258.88,450.69,71.95,4.0,-59.1,-18.5,2.98,0.3486,-0.1615,6.2,4.9,1.8,200
2026-02-08,319.86,256.27,196.3,157.83,251.11,405.13,143.31,2.5,-63.59,-19.9,2.83,0.2979,-0.0994,6.0,5.0,2.0,200
2026-02-09,349.43,286.97,96.54,193.63,282.98,377.82,144.43,1.0,-62.46,-17.9,2.68,0.3461,-0.0498,6.6,4.6,2.0,200
2026-02-10,319.83,256.9,166.37,120.21,258.63,435.05,32.29,3.5,-62.93,-19.7,1.8,0.2845,-0.0937,5.6,4.8,2.0,200
2026-02-11,319.86,254.29,137.77,119.24,244.77,415.95,42.65,4.0,-65.57,-20.5,1.58,0.3148,-0.1108,6.5,4.8,1.9,200
2026-02-12,319.86,271.33,149.07,157.16,261.25,398.81,31.11,3.0,-48.53,-15.2,2.5,0.2755,-0.1133,5.5,5.0,1.8,200
2026-02-13,319.74,241.3,149.18,130.0,236.25,395.22,50.74,4.0,-78.45,-24.5,1.87,0.2692,0.0034,6.0,4.6,2.0,200
2026-02-14,319.86,236.78,171.42,111.22,248.7,407.26,-52.54,7.5,-83.08,-26.0,1.39,0.3422,-0.0537,6.2,4.7,1.9,200
2026-02-15,319.86,240.02,213.43,114.27,260.57,411.58,-19.81,5.5,-79.84,-25.0,0.93,0.3084,-0.0449,5.7,4.8,2.0,200
2026-02-16,319.86,244.13,161.2,109.76,247.02,420.05,-63.83,7.0,-75.73,-23.7,1.75,0.2982,-0.0322,6.0,4.7,2.0,200
2026-02-17,356.89,292.39,126.8,198.66,288.73,424.45,140.87,2.0,-64.51,-18.1,3.46,0.4004,-0.0398,8.0,5.0,2.1,200
2026-02-18,305.73,249.04,164.92,131.41,248.25,419.53,54.4,4.0,-56.69,-18.5,6.7,0.2985,-0.0404,5.7,4.9,2.0,200
2026-02-19,324.63,260.82,134.52,115.41,262.33,417.23,56.01,3.0,-63.81,-19.7,5.24,0.3651,-0.1933,7.0,4.8,1.8,200
2026-02-20,327.35,272.17,138.31,123.38,265.89,435.33,76.86,2.5,-55.18,-16.9,7.92,0.4068,-0.1432,7.7,4.7,1.8,200
2026-02-21,319.13,273.03,106.48,167.1,266.61,397.28,86.54,0.5,-46.1,-14.4,3.91,0.3967,-0.0351,8.1,4.7,2.0,200
2026-02-22,326.18,281.58,97.61,181.71,274.92,397.74,144.62,0.5,-44.6,-13.7,4.18,0.3292,-0.0749,6.6,4.9,1.9,200
2026-02-23,382.2,351.87,104.82,273.92,341.19,462.84,260.56,1.5,-30.33,-7.9,3.19,0.4132,-0.0335,7.4,4.8,1.8,200
2026-02-24,323.44,278.56,118.44,176.12,265.71,415.83,143.41,1.0,-44.87,-13.9,8.11,0.3378,-0.1245,6.9,4.8,1.9,200
2026-02-25,337.58,313.56,70.23,250.6,304.68,383.49,235.82,0.5,-24.02,-7.1,3.34,0.3733,-0.0427,6.8,4.8,1.7,200
2026-02-26,332.32,279.38,77.66,211.76,268.84,364.43,160.65,0.5,-52.94,-15.9,3.4,0.3348,-0.0457,7.0,4.7,2.1,200
2026-02-27,313.22,251.35,132.52,102.06,242.52,404.7,40.89,3.0,-61.87,-19.8,7.8,0.3115,-0.1197,6.6,4.8,1.8,200
2026-02-28,320.9,250.67,157.26,108.11,257.31,402.34,17.29,5.0,-70.23,-21.9,4.57,0.34,-0.1577,7.7,4.6,1.8,200
