fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],energia_no_cargada [MWh],energia_no_operada [MWh],intervalos_soc_critico,soc_final [MWh],soc_final_desv [MWh],pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2026-02-04,102,normal,799.1408,650.4593,148.6815,22.86,74.6786,191.6266,552.4654,19.6298,0.5,0.0,15,0.7095,-0.2905,10.0961,128.3641,51.2165,1.2342,0.9373,5,2,False
2026-02-04,103,normal,572.58,650.4593,-77.8794,-11.97,77.6957,187.485,324.3745,16.9752,0.5,0.0,0,0.9387,-0.0613,9.8778,106.1056,49.536,0.8959,1.0068,8,1,False
2026-02-04,104,normal,669.3464,650.4593,18.8871,2.9,76.1257,199.6501,413.01,19.4394,0.0,0.0,1,0.7091,-0.2909,10.5188,111.5886,48.9388,1.0603,0.9239,1,0,False
2026-02-04,105,normal,652.7024,650.4593,2.2431,0.34,81.9728,184.373,403.6343,17.2776,0.75,0.0,5,0.7106,-0.2894,9.7139,117.4817,52.1368,0.9797,0.9747,7,0,False
2026-02-04,106,normal,744.4721,650.4593,94.0128,14.45,79.3312,194.4612,489.2692,18.5895,0.5,0.0,10,0.7049,-0.2951,10.2454,127.2727,48.8796,1.1006,0.7828,6,1,False
2026-02-04,107,normal,498.2413,650.4593,-152.218,-23.4,81.0179,191.8086,242.0279,16.6132,0.0,0.0,0,1.4169,0.4169,10.1056,98.0159,51.7159,0.7344,0.9838,3,1,False
2026-02-04,108,normal,589.8968,650.4593,-60.5625,-9.31,80.2301,191.3023,335.7564,17.392,0.3519,0.0,0,0.9493,-0.0507,10.079,107.793,46.6747,0.9219,0.9259,4,1,False
2026-02-04,109,normal,571.3109,650.4593,-79.1485,-12.17,80.2161,200.0274,307.1565,16.0892,0.0,0.25,0,1.4301,0.4301,10.5387,120.5392,41.2676,0.7274,1.0619,2,2,False
2026-02-04,110,normal,566.8292,650.4593,-83.6301,-12.86,78.6043,182.8652,322.5707,17.211,0.25,0.0,0,1.2345,0.2345,9.6345,107.9474,53.2703,0.8934,0.9269,5,3,False
2026-02-04,111,normal,544.3423,650.4593,-106.117,-16.31,81.0538,183.8526,296.808,17.372,0.4351,0.0,0,0.9192,-0.0808,9.6865,96.1383,53.5436,0.9303,1.0272,5,1,False
