fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2026-02-24,1,normal,305.6306,323.4371,-17.8065,-5.51,132.9026,78.3512,131.8678,36.9046,0.5864,1.0198,0.0198,29.6146,0.125,0.0,0.0,0,9.7825,8.0414,105.144,54.8492,0.9426,0.9458,4,1,False
2026-02-24,2,normal,304.6849,323.4371,-18.7522,-5.8,120.0063,67.6616,165.6898,36.4815,12.1913,0.5691,-0.4309,28.2937,0.25,0.125,0.4625,12,8.4011,7.9655,109.5679,62.5657,1.2883,0.8335,4,1,False
2026-02-24,3,normal,310.6094,323.4371,-12.8276,-3.97,126.0412,77.7937,146.1562,33.2924,6.0894,0.7885,-0.2115,28.787,0.2882,0.2099,0.2291,10,9.7147,7.9462,126.6953,52.5976,0.9926,0.8368,6,3,False
2026-02-24,4,normal,323.4324,323.4371,-0.0047,-0.0,117.724,83.0027,159.7232,31.9348,5.0828,0.8185,-0.1815,27.9979,0.375,0.25,0.0,0,10.3585,8.6238,137.8506,47.2444,0.8029,0.9563,6,3,False
2026-02-24,5,normal,310.5617,323.4371,-12.8753,-3.98,116.8028,68.6395,173.7971,35.2194,13.4582,0.5173,-0.4827,27.8789,0.375,0.125,1.0394,23,8.5281,7.9581,119.1008,49.747,1.6229,0.8064,7,3,False
2026-02-24,6,normal,266.2253,323.4371,-57.2117,-17.69,119.2319,77.6981,108.0917,31.7835,7.0128,1.2518,0.2518,27.8505,0.125,0.2724,0.0,0,9.6967,8.0686,116.3363,47.9833,0.6608,1.2143,7,4,False
2026-02-24,7,normal,332.8296,323.4371,9.3926,2.9,130.0429,73.0199,169.6799,36.3591,3.5539,0.88,-0.12,29.6109,0.25,0.0,0.0,0,9.0749,8.4117,126.4932,52.8135,0.9445,1.092,6,0,False
2026-02-24,8,normal,277.7991,323.4371,-45.6379,-14.11,123.9925,77.8213,115.0522,33.2725,5.7944,1.2048,0.2048,28.2926,0.125,0.125,0.0,0,9.6898,8.5683,116.446,58.868,0.7148,1.0301,6,3,False
2026-02-24,9,normal,360.6038,323.4371,37.1668,11.49,121.458,78.172,204.5322,38.2305,5.3278,0.8147,-0.1853,28.7528,0.0,0.125,0.2712,8,9.7287,8.7097,138.34,64.3178,1.2235,0.9972,1,3,False
2026-02-24,10,normal,343.7124,323.4371,20.2754,6.27,121.7745,72.4066,194.0869,34.5365,10.0191,0.6405,-0.3595,27.8657,0.375,0.25,0.1319,6,9.0061,8.1788,133.6678,53.4233,1.0983,0.8914,6,3,False
2026-02-24,11,normal,302.9262,323.4371,-20.5109,-6.34,125.7742,74.1111,139.9959,34.6954,2.2596,1.0796,0.0796,28.3959,0.2099,0.0,0.0,0,9.2115,8.5152,124.9156,45.8694,0.858,1.1327,4,5,False
2026-02-24,12,normal,288.3549,323.4371,-35.0822,-10.85,125.6071,76.0087,124.0508,34.6829,2.6288,0.9086,-0.0914,28.7466,0.25,0.125,0.0774,3,9.4845,7.9222,105.1678,49.8607,0.9448,1.1528,7,3,False
