fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2025-10-01,275.27,2.69,3.057,3.038,0.83,7.883,0.087,1.86,0.019,87.08,230.0,6.67,223.33
2025-10-02,282.53,2.859,3.249,3.221,1.109,7.416,0.129,1.75,0.029,86.19,225.0,15.0,210.0
2025-10-03,191.64,2.434,2.766,2.7,0.468,8.331,0.3,1.966,0.067,93.25,144.93,32.55,112.38
2025-10-04,271.65,2.413,2.742,2.668,0.392,8.562,0.332,2.021,0.074,53.1,112.1,-0.05,112.15
2025-10-05,309.11,2.411,2.739,2.665,0.378,8.611,0.335,2.032,0.074,24.31,87.26,-2.64,89.9
2025-10-06,276.01,3.551,4.035,3.98,2.279,5.389,0.245,1.272,0.055,79.05,182.59,36.2,146.39
2025-10-07,209.21,2.98,3.387,3.368,1.32,7.035,0.086,1.66,0.019,98.65,180.81,35.75,145.06
2025-10-08,167.53,2.801,3.184,3.164,1.017,7.563,0.086,1.785,0.019,99.19,188.82,47.78,141.04
2025-10-09,277.58,2.385,2.71,2.627,0.369,8.543,0.373,2.016,0.083,64.63,122.29,1.1,121.19
2025-10-10,206.23,2.321,2.637,2.605,0.185,9.05,0.145,2.136,0.032,79.22,124.39,30.2,94.19
2025-10-11,249.15,2.251,2.559,2.468,0.224,8.592,0.407,2.027,0.09,73.7,111.76,3.52,108.24
2025-10-12,275.47,2.37,2.693,2.607,0.34,8.601,0.388,2.03,0.086,64.63,116.34,0.16,116.18
2025-10-13,153.87,2.961,3.365,3.358,1.254,7.235,0.031,1.708,0.007,102.36,167.29,60.1,107.19
2025-10-14,148.62,3.23,3.67,3.654,1.714,6.423,0.071,1.516,0.016,108.24,165.75,56.0,109.75
2025-10-15,150.98,3.376,3.836,3.833,1.984,5.898,0.013,1.392,0.003,109.4,172.33,63.68,108.65
2025-10-16,124.83,2.88,3.273,3.243,1.186,7.178,0.134,1.694,0.03,109.88,159.68,70.0,89.68
2025-10-17,171.09,2.99,3.398,3.37,1.375,6.845,0.128,1.616,0.028,107.49,161.35,31.53,129.82
2025-10-18,254.54,2.351,2.672,2.547,0.392,8.303,0.561,1.959,0.125,80.82,131.13,0.3,130.83
2025-10-19,302.05,2.361,2.683,2.629,0.281,8.814,0.246,2.08,0.055,32.78,96.4,0.0,96.4
2025-10-20,312.95,2.859,3.249,3.178,1.117,7.383,0.322,1.742,0.072,41.0,106.03,0.05,105.98
2025-10-21,324.05,2.881,3.274,3.245,1.107,7.518,0.13,1.774,0.029,38.36,112.0,1.72,110.28
2025-10-22,303.5,2.29,2.602,2.56,0.14,9.11,0.19,2.15,0.042,27.51,80.56,0.01,80.55
2025-10-23,338.84,2.582,2.934,2.88,0.638,8.237,0.245,1.944,0.054,23.59,120.0,-0.01,120.01
2025-10-24,260.75,3.306,3.757,3.691,1.875,6.064,0.298,1.431,0.066,91.83,164.88,12.1,152.78
2025-10-25,224.44,2.376,2.7,2.615,0.34,8.63,0.385,2.037,0.085,80.9,131.32,16.46,114.86
2025-10-27,251.57,3.19,3.625,3.553,1.704,6.295,0.324,1.486,0.072,89.72,159.86,18.02,141.84
2025-10-28,134.67,2.337,2.656,2.644,0.214,8.999,0.054,2.124,0.012,101.52,143.97,60.0,83.97
2025-10-29,122.63,2.798,3.179,3.169,1.0,7.618,0.045,1.798,0.01,104.49,160.21,74.99,85.22
2025-10-30,222.9,2.295,2.608,2.533,0.252,8.656,0.336,2.043,0.075,89.26,138.38,15.0,123.38
2025-10-31,254.77,2.229,2.533,2.507,0.031,9.315,0.118,2.198,0.026,55.79,94.32,12.6,81.72
