fecha,t,hora,p [€/MWh],p_eff [€/MWh],x_sell [MWh],x_buy [MWh],x_ch [MWh],x_dis [MWh],r_up [MWh],r_down [MWh],a_up [MWh],a_down [MWh],SOC [MWh],y_bat,y_grid,pi_disp_up [€/MWh],pi_disp_down [€/MWh],pi_act_up [€/MWh],pi_act_down [€/MWh],E_max [MWh],SOC_min [MWh]
2025-10-19,1,00:00,96.4,96.4,0.0734,0.0,0.0,0.0574,0.0676,0.0,0.0159,0.0,0.9218,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,2,00:15,92.0,92.0,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.8903,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,3,00:30,81.85,81.85,0.0295,0.0,0.0,-0.0,0.125,0.0,0.0295,0.0,0.8589,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,4,00:45,75.92,75.92,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.8274,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,5,01:00,77.07,77.07,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.796,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,6,01:15,74.76,74.76,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.7645,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,7,01:30,69.62,69.62,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.7331,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,8,01:45,63.97,63.97,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.7017,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,9,02:00,73.16,73.16,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.6702,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,10,02:15,61.0,61.0,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.6388,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,11,02:30,51.01,51.01,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.6073,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2025-10-19,12,02:45,39.89,39.89,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.5759,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
