fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal
2025-08-01,243.68,209.39,101.46,119.93,195.75,348.05,90.07,3.0,-34.29,-14.1,19.35,0.3245,-0.1615,7.3,4.9,1.9,200
2025-08-02,313.84,277.92,97.3,175.03,258.54,393.65,151.61,0.0,-35.92,-11.4,11.23,0.2984,-0.1953,6.8,5.1,1.9,200
2025-08-03,320.35,260.44,149.46,160.91,262.01,420.93,35.37,4.5,-59.91,-18.7,9.02,0.3171,-0.1902,6.8,4.6,1.9,200
2025-08-04,302.98,278.41,83.64,182.3,267.02,388.26,167.03,0.0,-24.57,-8.1,18.34,0.3233,-0.1823,7.4,4.8,1.8,200
2025-08-05,285.73,270.61,86.92,185.01,248.03,391.5,164.64,0.5,-15.12,-5.3,16.69,0.238,-0.1467,5.4,4.8,1.9,200
2025-08-06,249.52,228.97,74.23,149.82,215.66,335.57,126.18,0.0,-20.55,-8.2,17.19,0.2842,-0.1786,5.6,4.9,1.9,200
2025-08-07,222.97,215.3,100.17,117.36,197.03,326.38,101.42,0.5,-7.66,-3.4,26.77,0.3425,-0.1819,6.6,4.9,1.8,200
2025-08-08,268.98,241.53,112.09,163.72,229.95,343.76,140.34,1.0,-27.45,-10.2,22.52,0.2812,-0.1656,7.0,5.0,2.0,200
2025-08-09,273.31,255.32,95.29,163.9,239.29,361.53,148.86,0.0,-17.99,-6.6,17.8,0.2914,-0.1385,6.1,4.6,2.0,200
2025-08-10,314.41,310.27,78.77,223.2,295.77,413.53,211.23,0.0,-4.14,-1.3,14.58,0.2513,-0.1671,5.0,4.8,2.0,200
2025-08-11,248.6,226.64,88.18,137.06,205.04,354.63,124.59,0.0,-21.96,-8.8,24.55,0.264,-0.1823,6.9,4.8,1.9,200
2025-08-12,212.99,198.05,91.73,109.7,186.48,286.86,89.58,0.0,-14.93,-7.0,22.12,0.2789,-0.1415,6.4,5.0,1.8,200
2025-08-13,147.54,127.42,79.08,45.82,111.72,220.39,34.15,1.0,-20.11,-13.6,23.14,0.2412,-0.1392,5.7,4.6,2.0,200
2025-08-14,163.8,134.76,86.12,44.63,119.35,256.86,21.21,2.5,-29.04,-17.7,28.24,0.3191,-0.153,6.7,4.7,1.9,200
2025-08-15,290.15,266.27,96.08,179.8,260.76,375.03,162.23,1.0,-23.88,-8.2,18.1,0.2813,-0.1543,6.2,4.8,2.0,200
2025-08-16,278.82,266.87,83.39,184.54,252.66,369.42,169.23,0.0,-11.95,-4.3,19.24,0.2559,-0.1288,5.7,4.7,2.0,200
2025-08-17,284.51,278.84,97.78,188.59,256.06,391.68,173.55,0.0,-5.67,-2.0,20.54,0.3049,-0.1331,6.1,5.0,2.1,200
2025-08-18,129.07,105.66,111.27,9.83,90.99,249.16,-9.24,6.5,-23.41,-18.1,34.58,0.3083,-0.0357,6.1,4.9,2.0,200
2025-08-19,200.55,174.5,85.63,86.79,159.65,282.43,78.19,1.5,-26.05,-13.0,27.37,0.3809,-0.1795,7.9,4.8,1.8,200
2025-08-20,211.97,187.1,119.64,79.74,162.39,341.78,55.9,1.0,-24.86,-11.7,24.13,0.4429,-0.14,9.6,4.7,1.8,200
2025-08-21,262.88,235.22,111.47,133.57,212.76,393.66,110.14,2.0,-27.66,-10.5,17.31,0.3439,-0.128,7.3,4.7,2.0,200
2025-08-22,279.17,258.1,97.86,163.31,240.11,383.73,137.53,0.5,-21.07,-7.5,15.1,0.2791,-0.1375,6.0,4.9,1.9,200
2025-08-23,285.29,265.0,132.75,158.89,249.83,397.19,148.36,2.0,-20.29,-7.1,17.73,0.3312,-0.1349,6.7,4.8,1.8,200
2025-08-24,284.52,279.52,101.55,189.98,258.15,398.7,174.17,0.0,-5.0,-1.8,19.49,0.3423,-0.1684,7.4,4.8,1.9,200
2025-08-25,195.39,172.94,101.92,91.4,159.95,269.86,74.31,0.5,-22.45,-11.5,29.44,0.3224,-0.1363,7.4,4.8,1.7,200
2025-08-26,185.37,156.42,80.88,79.99,143.83,249.9,51.37,1.5,-28.94,-15.6,25.92,0.2679,-0.1334,6.0,4.7,2.1,200
2025-08-27,160.34,131.81,96.36,42.22,110.97,257.86,21.8,4.5,-28.53,-17.8,29.56,0.3171,-0.1422,7.2,4.8,1.8,200
2025-08-28,284.1,258.68,105.46,159.24,242.43,369.97,143.79,0.5,-25.42,-8.9,15.6,0.3434,-0.1631,6.9,4.6,1.8,200
2025-08-29,298.64,252.98,111.88,140.46,244.51,384.06,106.07,2.5,-45.65,-15.3,14.12,0.325,-0.1564,7.9,4.8,1.9,200
2025-08-30,289.71,273.16,111.71,175.33,251.47,390.51,157.33,0.5,-16.55,-5.7,15.13,0.2596,-0.1526,6.1,4.6,1.8,200
2025-08-31,288.09,253.23,123.89,166.53,236.3,390.04,149.65,1.5,-34.86,-12.1,11.73,0.3709,-0.1548,7.0,4.8,1.9,200
