fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-08-13,1,normal,126.6933,147.5354,-20.8422,-14.13,79.6701,72.5429,16.8058,33.5206,8.8049,1.0859,0.0859,102.5446,0.125,0.0,0.0,0,9.3975,7.6588,122.177,47.9367,0.6085,1.2809,4,3,False
2025-08-13,2,normal,127.1615,147.5354,-20.374,-13.81,96.4344,69.9524,18.457,39.0032,18.6791,0.8181,-0.1819,102.703,0.0,0.125,0.0,0,9.0603,8.0453,114.5685,56.7922,1.0508,1.2233,3,2,False
2025-08-13,3,normal,138.6561,147.5354,-8.8793,-6.02,99.487,71.2605,35.6845,39.6411,28.1347,0.7159,-0.2841,99.0213,0.125,0.0,0.015,2,9.2281,8.8829,119.9556,61.8454,1.1129,1.2616,4,1,False
2025-08-13,4,normal,110.4509,147.5354,-37.0846,-25.14,91.1465,70.7352,-11.1875,38.3613,1.8821,1.0184,0.0184,102.112,0.0,-0.0,0.0,0,9.1602,8.7744,98.0848,47.1861,0.943,0.9478,7,2,False
2025-08-13,5,normal,72.7251,147.5354,-74.8104,-50.71,93.6961,75.1076,-14.0429,37.4731,44.5627,0.5621,-0.4379,101.7593,0.25,0.125,0.1271,6,9.7296,8.0079,96.8745,45.0862,1.1519,1.0966,6,3,False
2025-08-13,6,normal,166.045,147.5354,18.5096,12.55,98.869,73.2147,37.6692,39.1289,4.5789,1.0449,0.0449,102.0366,0.0,0.125,0.0,0,9.4846,7.7067,123.1576,48.5478,1.0802,0.7885,2,3,False
2025-08-13,7,normal,147.0724,147.5354,-0.463,-0.31,97.4719,74.1044,21.8601,38.3603,8.0038,0.9207,-0.0793,100.9092,0.0,0.125,0.0,0,9.5976,8.7597,116.8133,65.6313,1.0136,1.1234,5,3,False
2025-08-13,8,normal,115.492,147.5354,-32.0434,-21.72,102.0018,67.8332,-5.1948,37.0431,12.1051,0.8817,-0.1183,102.3004,0.0,0.25,0.0,0,8.7848,8.2392,103.7967,49.271,0.9718,1.0887,3,4,False
2025-08-13,9,normal,120.9917,147.5354,-26.5437,-17.99,99.6254,69.5947,-4.829,36.1595,7.2399,0.9285,-0.0715,101.228,0.0,0.125,0.0,0,9.0117,8.9759,100.58,49.8917,0.8116,0.9829,2,2,False
2025-08-13,10,normal,171.9521,147.5354,24.4166,16.55,90.8768,66.5935,67.5949,37.2908,15.8223,0.8425,-0.1575,100.4426,0.25,0.0,0.0,0,8.6229,8.6878,141.7232,47.9855,1.0097,1.1671,5,3,False
2025-08-13,11,normal,97.3999,147.5354,-50.1356,-33.98,80.4316,69.4263,-5.2205,37.5033,9.7341,0.902,-0.098,99.3192,0.125,0.0,0.0,0,8.9927,7.7761,100.1258,50.2777,0.9404,0.9655,6,2,False
2025-08-13,12,normal,107.388,147.5354,-40.1475,-27.21,78.4948,71.5102,18.5323,34.772,26.3773,0.7421,-0.2579,102.2957,0.25,0.375,0.0,0,9.2601,9.0539,116.0047,44.951,0.9906,0.6404,7,5,False
2025-08-13,13,normal,162.2501,147.5354,14.7147,9.97,99.8197,74.6697,58.6825,36.798,34.1238,0.6696,-0.3304,103.2806,0.125,0.25,0.0777,4,9.6714,8.5582,139.2337,45.9403,1.0662,0.9706,5,4,False
2025-08-13,14,normal,132.314,147.5354,-15.2214,-10.32,81.5056,73.0409,16.3389,37.9093,0.662,0.9933,-0.0067,99.1849,0.125,0.0,0.0,0,9.4602,8.4692,110.4734,45.9987,0.9588,1.1399,2,1,False
2025-08-13,15,normal,102.3019,147.5354,-45.2336,-30.66,84.6426,77.3316,-0.52,33.1967,25.9556,0.7487,-0.2513,103.2794,0.5,0.125,0.0056,1,10.0174,8.3402,105.7116,47.1733,0.8442,1.1037,13,2,False
2025-08-13,16,normal,120.931,147.5354,-26.6044,-18.03,84.3313,72.89,1.2726,36.9299,0.633,0.9937,-0.0063,100.314,0.192,0.0,0.0,0,9.4417,8.0261,104.8838,55.8578,0.9291,1.0743,5,2,False
2025-08-13,17,normal,145.8709,147.5354,-1.6645,-1.13,94.0657,69.8499,25.0603,37.9316,5.1734,1.0508,0.0508,101.9137,0.0,0.192,0.0,0,9.0469,8.1032,119.4375,53.7899,1.0323,1.0854,2,5,False
2025-08-13,18,normal,112.7755,147.5354,-34.76,-23.56,92.4711,69.6116,-1.9067,33.9968,13.4037,0.8714,-0.1286,104.2196,0.5,0.0,0.0,0,9.0161,8.0441,105.773,52.961,0.8384,1.207,7,1,False
2025-08-13,19,normal,153.0982,147.5354,5.5628,3.77,86.9357,76.1199,63.2195,39.9226,33.2543,0.6696,-0.3304,100.6534,0.0,0.125,0.0138,1,9.8603,8.2936,133.5562,52.5632,1.1683,1.1383,4,4,False
2025-08-13,20,normal,128.896,147.5354,-18.6395,-12.63,89.5679,71.0905,11.2997,35.7525,7.3096,0.9278,-0.0722,101.2834,0.25,0.0,0.0,0,9.2075,8.2768,110.771,45.9063,0.8605,1.3382,5,2,False
2025-08-13,21,normal,130.7423,147.5354,-16.7932,-11.38,90.1967,75.8458,7.2852,35.8886,6.6969,1.0654,0.0654,102.4614,0.125,0.25,0.0,0,9.8235,8.805,107.8403,45.7507,0.9402,0.8512,4,4,False
2025-08-13,22,normal,163.345,147.5354,15.8095,10.72,96.0961,67.6736,65.5418,40.93,25.0366,0.7562,-0.2438,102.7102,0.0,0.0,0.1559,5,8.7634,8.5207,136.4371,54.3133,1.2519,0.9038,5,2,False
2025-08-13,23,normal,128.6891,147.5354,-18.8463,-12.77,90.7071,72.495,34.4986,36.6507,32.3609,0.6911,-0.3089,104.7503,0.375,0.0,0.1221,5,9.3917,7.4853,124.4101,62.217,1.0795,0.698,4,2,False
