fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-08-19,1,normal,173.8411,200.5519,-26.7108,-13.32,82.4431,91.171,76.0867,34.3242,41.5355,0.4737,-0.5263,78.9214,0.229,0.0,0.2966,11,10.1808,8.3053,117.8038,52.3601,1.2956,1.0004,3,1,False
2025-08-19,2,normal,184.0179,200.5519,-16.5341,-8.24,80.9853,89.1264,80.4011,33.607,32.8879,0.5735,-0.4265,77.1027,0.2386,0.0,0.215,7,9.9495,8.9522,119.3749,51.9672,1.208,0.9339,7,1,False
2025-08-19,3,normal,178.7583,200.5519,-21.7936,-10.87,80.7674,88.6215,50.124,30.9287,9.8258,1.1269,0.1269,77.4579,0.125,0.0,0.0,0,9.8964,7.9864,113.4303,51.379,0.8664,1.0002,6,2,False
2025-08-19,4,normal,168.1629,200.5519,-32.389,-16.15,80.5909,82.8762,73.9276,32.3005,36.9314,0.5145,-0.4855,76.0761,0.25,0.125,0.2471,8,9.2506,8.6378,118.1966,38.7679,1.2104,0.9106,4,3,False
2025-08-19,5,normal,163.8799,200.5519,-36.672,-18.29,84.0732,89.0511,30.8998,30.1099,10.0342,0.8709,-0.1291,77.7288,0.375,0.125,0.0998,5,9.9426,8.5179,102.386,45.5424,1.0225,1.1991,7,2,False
2025-08-19,6,normal,231.1657,200.5519,30.6138,15.26,81.9512,78.3552,106.3684,34.0898,1.4193,0.9816,-0.0184,77.1912,0.0,0.0,0.0,0,8.7479,7.6324,134.7583,46.6545,1.0229,1.134,4,1,False
2025-08-19,7,normal,220.4679,200.5519,19.9159,9.93,85.5413,85.3958,91.4847,31.586,10.368,1.1288,0.1288,80.5074,0.125,0.125,0.0,0,9.5344,8.1903,134.6965,46.67,0.9492,0.7956,6,1,False
2025-08-19,8,normal,126.8002,200.5519,-73.7517,-36.77,86.3008,80.2219,40.4458,34.5095,45.6588,0.4123,-0.5877,77.6898,0.125,0.125,0.1353,4,8.9557,7.9921,102.6796,43.5534,1.239,1.0777,4,2,False
2025-08-19,9,normal,188.8284,200.5519,-11.7235,-5.85,84.3669,80.0318,67.954,34.6557,8.8686,0.8873,-0.1127,78.7263,0.0,0.0,0.0,0,8.9355,7.6722,117.196,57.9321,1.0499,0.907,8,0,False
2025-08-19,10,normal,146.9274,200.5519,-53.6246,-26.74,87.4819,80.5587,30.9718,30.9497,21.1353,0.7324,-0.2676,78.9733,0.375,0.0,0.0,0,8.992,8.3589,102.9396,59.7945,0.9761,0.9558,6,1,False
2025-08-19,11,normal,192.583,200.5519,-7.969,-3.97,84.7378,80.1616,84.2963,32.7437,23.8691,0.6987,-0.3013,79.2147,0.25,0.0,0.0344,2,8.9455,8.9391,125.5954,62.2342,1.0927,1.2491,7,3,False
2025-08-19,12,normal,177.8505,200.5519,-22.7014,-11.32,78.1243,75.5239,67.503,33.1985,10.1021,0.872,-0.128,78.9038,0.0,0.125,0.051,2,8.4288,8.192,118.094,42.7344,1.0435,0.9657,2,2,False
2025-08-19,13,normal,216.0576,200.5519,15.5057,7.73,89.8017,83.557,82.886,29.546,10.6411,1.135,0.135,78.8181,0.125,0.125,0.0,0,9.3276,8.4226,136.9701,74.8388,0.8144,0.8317,6,2,False
2025-08-19,14,normal,177.585,200.5519,-22.9669,-11.45,76.176,85.8189,76.3137,34.491,26.2326,0.6682,-0.3318,79.0589,0.0,0.125,0.0464,2,9.582,8.1341,118.8764,66.2909,1.1505,1.2447,3,3,False
2025-08-19,15,normal,195.4975,200.5519,-5.0544,-2.52,84.5286,80.467,78.9762,33.5811,14.8932,0.808,-0.192,77.5809,0.125,0.0,0.1118,4,8.9809,8.6035,121.362,48.7918,1.1294,0.797,6,3,False
2025-08-19,16,normal,200.7842,200.5519,0.2323,0.12,85.6261,82.2904,92.1012,35.8388,23.3948,0.7007,-0.2993,78.1625,0.0,0.0,0.1581,5,9.1848,8.6994,125.0143,63.621,1.2259,1.1537,2,1,False
2025-08-19,17,normal,198.4247,200.5519,-2.1272,-1.06,85.6321,82.4847,68.7833,29.8004,8.675,1.1147,0.1147,75.6225,0.25,0.0,0.0,0,9.2084,8.1729,124.4315,45.4029,0.8442,1.0296,6,2,False
2025-08-19,18,normal,205.5749,200.5519,5.023,2.5,86.0264,84.7073,71.3424,27.042,9.4592,1.1225,0.1225,77.206,0.375,0.0,0.0,0,9.4579,8.0351,134.0113,50.4006,0.703,0.7689,7,2,False
2025-08-19,19,normal,244.4228,200.5519,43.8709,21.88,76.8542,85.1678,140.066,35.7047,21.9605,0.7186,-0.2814,78.0503,0.0,0.0407,0.1804,7,9.5051,9.2376,144.6201,57.2634,1.2778,0.903,0,3,False
2025-08-19,20,normal,183.6452,200.5519,-16.9068,-8.43,93.0613,89.0226,44.3668,30.4187,12.3869,1.1585,0.1585,78.1316,0.125,0.0,0.0,0,9.9401,8.3273,113.4168,48.7756,0.8176,0.83,4,1,False
2025-08-19,21,normal,170.6637,200.5519,-29.8882,-14.9,97.0185,87.022,40.1133,31.0537,22.4365,0.7152,-0.2848,78.7672,0.375,0.0,0.2581,9,9.7182,7.7437,105.7662,60.4319,1.1079,0.921,9,1,False
2025-08-19,22,normal,190.1606,200.5519,-10.3913,-5.18,85.2507,83.1712,54.0542,30.956,1.3594,0.9822,-0.0178,76.5665,0.25,0.0,0.0,0,9.284,8.5348,113.2091,58.4802,0.9034,0.9815,9,0,False
2025-08-19,23,normal,139.1551,200.5519,-61.3968,-30.61,75.2561,88.7236,49.3714,29.7488,44.4472,0.4246,-0.5754,77.2466,0.25,0.375,0.412,12,9.9085,7.7978,107.2667,52.1373,1.2249,0.9674,6,5,False
2025-08-19,24,normal,213.497,200.5519,12.9451,6.45,86.5902,83.8366,85.6049,30.5401,11.9947,1.1532,0.1532,78.3089,0.125,0.0,0.0,0,9.3587,8.4879,136.2805,50.5991,0.8259,0.9894,7,1,False
2025-08-19,25,normal,230.135,200.5519,29.5831,14.75,83.7959,87.0345,90.3852,30.8563,0.2243,0.9971,-0.0029,77.0245,0.25,0.0,0.0223,1,9.7149,9.0193,133.4944,55.1974,0.9072,0.8991,6,0,False
2025-08-19,26,normal,196.383,200.5519,-4.1689,-2.08,86.678,86.4165,63.5468,32.4552,7.8031,1.102,0.102,76.5311,0.0,0.0,0.0,0,9.6497,7.9079,118.5809,51.2044,0.9047,1.0179,2,1,False
