fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-08-29,1,normal,309.896,298.6371,11.2589,3.77,127.4196,82.6998,155.5232,33.4621,22.2844,0.527,-0.473,47.1106,0.3741,0.0,0.0806,3,9.5585,7.9511,129.4002,49.2549,1.1282,0.9854,7,2,False
2025-08-29,2,normal,283.7923,298.6371,-14.8447,-4.97,124.6859,83.9113,116.0395,34.4762,6.3682,0.8583,-0.1417,44.9465,0.0,0.125,0.0651,4,9.6937,8.6829,109.0823,58.5615,1.0569,0.8081,6,2,False
2025-08-29,3,normal,255.304,298.6371,-43.3331,-14.51,125.1604,76.5171,91.5018,32.9007,4.9746,1.1078,0.1078,46.1475,0.0,0.0,0.0,0,8.8384,8.0636,108.1978,52.7791,0.8419,1.0379,5,1,False
2025-08-29,4,normal,283.8549,298.6371,-14.7822,-4.95,127.2383,75.2061,117.2546,32.4997,3.3443,1.0715,0.0715,46.7906,0.0905,0.0,0.0,0,8.6806,8.7485,123.0921,49.4843,0.861,0.9985,5,1,False
2025-08-29,5,normal,288.1595,298.6371,-10.4776,-3.51,126.5138,74.5076,122.7231,32.0627,3.5223,1.0766,0.0766,46.0054,0.125,0.0,0.0,0,8.6036,8.1924,127.2702,56.2263,0.8511,1.0082,2,2,False
2025-08-29,6,normal,356.482,298.6371,57.8449,19.37,123.1775,80.4175,201.675,35.4312,13.3568,0.7062,-0.2938,45.4549,0.125,0.0,0.0179,2,9.2861,8.8369,144.8555,44.342,1.0895,0.8548,8,0,False
2025-08-29,7,normal,266.5582,298.6371,-32.0789,-10.74,123.8645,80.3985,114.7321,37.1762,15.2607,0.6699,-0.3301,46.2267,0.0,0.0,0.2291,12,9.2842,8.8046,103.9829,61.4416,1.2819,0.6451,1,1,False
2025-08-29,8,normal,331.8203,298.6371,33.1833,11.11,127.1753,76.4024,179.5014,35.7512,15.5076,0.6652,-0.3348,46.3207,0.125,0.0,0.0906,4,8.8199,8.7302,134.878,52.2745,1.1635,1.2087,3,1,False
2025-08-29,9,normal,314.5483,298.6371,15.9113,5.33,130.9811,80.1812,145.7188,34.6585,7.6742,0.8375,-0.1625,47.2161,0.125,-0.0,0.0,0,9.2644,8.0956,126.7237,57.0205,1.0521,1.0934,3,2,False
2025-08-29,10,normal,261.1067,298.6371,-37.5304,-12.57,118.2015,80.8653,98.0808,28.458,7.5829,0.8341,-0.1659,45.7044,0.3741,0.25,0.0,0,9.3393,8.7019,113.7589,48.0656,0.8274,1.1066,11,4,False
2025-08-29,11,normal,299.395,298.6371,0.758,0.25,120.6434,78.79,159.18,36.6983,22.52,0.5082,-0.4918,45.7932,0.125,0.0,0.2394,12,9.0927,9.3637,119.861,57.8794,1.2915,1.0504,5,0,False
2025-08-29,12,normal,261.6243,298.6371,-37.0128,-12.39,124.5011,80.5577,90.1775,31.7353,1.8768,1.0405,0.0405,46.3666,0.25,0.0,0.0,0,9.3084,8.0622,105.4446,52.9211,0.9213,0.8338,4,4,False
2025-08-29,13,normal,328.6068,298.6371,29.9697,10.04,121.0011,82.9428,159.0859,33.5436,0.8794,1.0194,0.0194,45.4145,0.0,0.125,0.0,0,9.5809,8.705,136.8661,50.298,0.9623,1.2488,2,3,False
2025-08-29,14,normal,300.025,298.6371,1.388,0.46,130.2136,78.2181,129.3772,33.0412,4.7426,0.899,-0.101,46.9401,0.0905,0.125,0.0,0,9.0338,8.3765,122.6085,56.5937,0.9635,1.0711,7,2,False
