fecha,sim_id,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_ree [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos
2025-08-08,1,299.3859,268.9829,30.403,11.3,163.4034,75.0133,103.2756,29.3208,0.0,12.9856,1.1697,0.1697,76.508,0.125,0.0,0.0,0,8.7156,6.7405,167.7028,56.4422,0.67,0.8451,5,0
2025-08-08,2,420.8698,268.9829,151.8869,56.47,160.617,65.2568,277.2252,29.768,25.0243,27.4368,0.6317,-0.3683,74.503,0.5517,0.0,0.0727,3,7.5361,7.3443,238.5577,67.4039,0.9885,0.8948,7,2
2025-08-08,3,181.113,268.9829,-87.87,-32.67,155.1595,72.7698,-8.4186,31.278,0.0,7.1197,1.0967,0.0967,73.6452,0.125,0.0,0.0,0,8.4473,6.7841,74.0284,195.2046,0.812,1.4915,2,1
2025-08-08,4,208.72,268.9829,-60.263,-22.4,157.2137,82.3269,62.678,37.9369,14.9549,40.6068,0.451,-0.549,73.9647,0.0,0.0,0.5822,16,9.5831,6.8247,110.2505,44.9113,1.5756,0.9629,2,1
2025-08-08,5,234.3144,268.9829,-34.6685,-12.89,152.3366,68.0394,55.9416,27.8261,0.0,14.1771,1.1888,0.1888,75.1093,0.125,0.0936,0.0,0,7.8447,8.0678,133.5162,31.5957,0.633,0.7599,3,4
2025-08-08,6,210.4359,268.9829,-58.5471,-21.77,170.5085,75.8991,12.3963,28.6934,0.0,19.6746,0.7392,-0.2608,75.4432,0.4746,0.125,0.0,0,8.6755,11.433,92.6675,118.5513,0.8835,0.9941,8,3
2025-08-08,7,336.9079,268.9829,67.9249,25.25,163.7249,114.9505,101.4995,28.6607,0.0,14.6063,1.1974,0.1974,74.0074,0.0146,0.125,0.0,0,13.4669,6.7455,166.2861,56.8831,0.6564,0.8881,4,3
2025-08-08,8,205.8217,268.9829,-63.1613,-23.48,159.8675,92.6367,248.1604,35.2328,214.6998,44.9103,0.4,-0.6,74.8506,0.125,0.0936,1.254,27,10.8285,6.2203,186.5218,14.0679,1.8628,0.6272,5,3
2025-08-08,9,354.4923,268.9829,85.5094,31.79,164.7076,104.9266,120.5623,33.0499,0.0,2.6543,1.0353,0.0353,75.1519,0.125,0.0,0.0,0,12.3164,5.3901,153.8167,15.3366,0.9313,1.6066,3,0
2025-08-08,10,263.6594,268.9829,-5.3235,-1.98,162.9632,88.4444,84.9045,30.821,18.2388,23.5929,0.6837,-0.3163,74.5809,0.2186,0.2246,0.0716,4,10.3458,5.6995,136.2036,2.4009,0.9978,0.8662,7,3
2025-08-08,11,264.5776,268.9829,-4.4054,-1.64,161.5647,93.8882,352.172,33.7024,264.6891,44.6558,0.4,-0.6,74.4263,0.2186,0.125,0.9063,23,10.8721,9.6157,243.9178,9.8073,1.6775,0.6708,6,5
2025-08-08,12,278.8277,268.9829,9.8447,3.66,165.2396,92.7811,108.8034,37.3712,19.4327,31.1925,0.581,-0.419,74.4375,0.0,0.0,0.3118,11,10.8432,6.2984,130.3287,36.2402,1.3836,1.2992,3,1
2025-08-08,13,164.274,268.9829,-104.709,-38.93,163.2613,66.9644,-45.8543,37.0636,-63.2458,46.2796,0.4,-0.6,77.1326,0.0,0.125,0.8241,21,7.503,14.9637,64.3272,158.7969,1.6559,1.4724,2,1
2025-08-08,14,374.3159,268.9829,105.3329,39.16,163.226,93.066,166.7229,31.3671,0.0,17.3319,0.7625,-0.2375,72.9681,0.125,0.25,0.0,0,10.8182,8.1973,173.0783,32.0211,0.9755,1.0207,3,4
2025-08-08,15,306.2144,268.9829,37.2315,13.84,158.9517,73.5931,248.2183,35.4932,95.5811,43.4744,0.4076,-0.5924,73.381,0.125,0.125,0.5257,16,8.422,10.7591,189.5787,22.2111,1.5152,1.5205,2,4
2025-08-08,16,249.7283,268.9829,-19.2547,-7.16,158.739,55.8924,202.5718,37.9376,85.0167,44.5206,0.4,-0.6,74.201,0.0,0.0,0.6411,18,6.4549,6.2814,163.0801,298.163,1.6188,0.5241,3,1
2025-08-08,17,153.7092,268.9829,-115.2738,-42.86,158.909,90.5402,-54.3344,33.079,-3.2013,11.528,0.8393,-0.1607,71.7351,0.125,0.0996,0.0391,2,10.449,10.4144,54.249,44.5427,1.0078,1.4569,4,1
2025-08-08,18,295.5498,268.9829,26.5669,9.88,164.8163,88.3207,82.2239,27.4287,0.0,12.3823,1.1666,0.1666,74.3342,0.2186,0.125,0.0,0,10.2112,9.5671,152.408,39.8782,0.6331,1.4543,8,2
2025-08-08,19,224.5735,268.9829,-44.4094,-16.51,163.6075,94.4433,6.7065,30.9586,0.0,9.2252,1.1235,0.1235,74.6758,0.125,0.0,0.0,0,10.7056,17.1118,84.6182,153.2669,0.8093,1.5769,5,3
2025-08-08,20,317.695,268.9829,48.7121,18.11,165.4468,79.0821,145.5482,34.9855,13.8469,23.5497,0.6827,-0.3173,74.23,0.125,0.0,0.1161,5,9.0729,10.8285,154.4307,51.1315,1.2078,1.0294,9,3
