fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],ben_extremo_medio [€],peor_escenario [€],CVaR_95 [€],soc_critico_medio,penalizacion_soc_ext [€],energia_recortada_ext [MWh],pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal,n_sim_extremo
2025-03-01,391.78,363.01,50.66,305.92,361.02,427.93,289.54,0.0,-28.77,-7.3,20.91,0.1728,-0.1822,362.13,100.26,138.79,14.0,34.56,1.5573,4.8,2.0,200,40
2025-03-02,405.87,380.85,50.76,320.66,378.95,446.8,298.76,0.0,-25.02,-6.2,15.43,0.2818,-0.1291,363.0,187.94,199.92,11.0,25.73,1.0893,4.9,2.0,200,40
2025-03-03,251.66,230.75,52.99,169.96,223.95,303.59,148.78,0.0,-20.91,-8.3,22.91,0.3018,-0.1176,258.87,-57.62,-8.89,13.5,33.79,1.2735,4.6,1.9,200,40
2025-03-04,248.41,224.26,44.06,168.62,223.72,279.43,154.97,0.0,-24.15,-9.7,20.26,0.2301,-0.1331,223.68,13.31,26.2,11.9,36.13,1.1004,4.8,1.7,200,40
2025-03-05,347.29,319.06,44.92,262.36,317.0,375.58,245.08,0.0,-28.23,-8.1,19.26,0.2069,-0.0804,317.21,137.08,143.06,11.9,34.25,1.0354,5.0,2.0,200,40
2025-03-06,340.84,316.76,48.08,251.76,316.89,374.08,243.49,0.0,-24.08,-7.1,15.99,0.2645,-0.0986,301.47,109.41,122.23,14.7,26.95,1.4391,4.9,2.0,200,40
2025-03-07,481.37,455.9,53.07,385.13,457.54,520.67,363.61,0.0,-25.47,-5.3,15.26,0.1761,-0.1761,410.74,177.43,188.03,7.5,26.24,0.5513,4.5,1.9,200,40
2025-03-08,633.31,609.74,56.84,536.99,613.76,681.87,511.19,0.0,-23.58,-3.7,4.79,0.1256,-0.1894,608.3,329.12,355.08,8.6,8.87,0.6836,4.7,2.1,200,40
2025-03-09,533.36,505.62,52.4,441.87,502.4,575.32,429.76,0.0,-27.74,-5.2,15.07,0.1582,-0.1866,526.9,227.65,247.44,11.4,26.68,1.0836,4.6,1.9,200,40
2025-03-10,282.59,258.74,44.27,207.16,255.55,310.47,191.43,0.0,-23.84,-8.4,18.67,0.266,-0.1241,264.39,-13.83,10.48,11.8,34.99,1.402,4.9,2.1,200,40
2025-03-11,252.31,231.39,44.82,178.0,231.18,291.16,165.61,0.0,-20.92,-8.3,20.4,0.2282,-0.1337,224.21,-21.13,-1.46,11.6,39.5,1.0906,4.6,1.8,200,40
2025-03-12,290.53,279.4,44.79,225.51,276.54,340.1,211.92,0.0,-11.12,-3.8,12.92,0.3486,-0.0466,236.26,51.03,69.25,10.0,25.7,0.857,4.8,2.1,200,40
2025-03-13,209.66,198.76,46.31,141.44,196.27,259.39,122.11,0.0,-10.9,-5.2,13.31,0.3825,-0.0818,175.23,-45.93,-19.33,10.2,27.98,0.9177,4.8,2.1,200,40
2025-03-14,519.17,491.88,47.98,432.78,488.64,555.55,418.83,0.0,-27.29,-5.3,15.87,0.1604,-0.1768,456.65,242.39,254.98,12.8,29.11,1.1287,4.6,1.9,200,40
2025-03-15,549.3,524.4,52.23,461.27,523.29,588.8,448.54,0.0,-24.9,-4.5,15.95,0.1597,-0.2052,501.75,315.37,329.51,11.1,25.47,0.8291,4.9,1.9,200,40
2025-03-16,484.46,464.05,45.55,403.36,461.07,526.95,394.37,0.0,-20.41,-4.2,13.45,0.2627,-0.1414,433.66,272.09,273.12,10.4,22.41,0.7497,4.7,1.8,200,40
2025-03-17,378.18,369.62,40.75,320.81,365.36,421.22,308.76,0.0,-8.56,-2.3,10.73,0.3494,-0.082,325.33,114.25,141.35,10.9,23.07,0.9135,5.1,2.0,200,40
2025-03-18,542.45,525.49,50.99,470.55,517.28,597.71,454.42,0.0,-16.96,-3.1,11.64,0.2349,-0.1314,530.21,284.28,289.92,11.2,22.3,1.0907,4.7,2.0,200,40
2025-03-19,625.67,594.9,50.87,530.0,596.65,658.78,511.39,0.0,-30.76,-4.9,9.17,0.1801,-0.1797,587.27,302.72,329.4,9.2,15.31,0.781,5.0,1.8,200,40
2025-03-20,627.17,603.66,53.33,545.02,600.13,671.81,531.57,0.0,-23.51,-3.7,5.4,0.276,-0.1237,584.85,289.28,311.34,11.2,9.21,1.069,4.7,2.1,200,40
2025-03-21,651.13,636.98,66.24,547.67,639.8,713.11,528.08,0.0,-14.15,-2.2,4.08,0.1441,-0.2849,609.48,361.91,364.59,12.3,6.11,1.2195,5.0,1.8,200,40
2025-03-22,653.95,628.93,62.38,552.51,626.54,709.23,527.64,0.0,-25.02,-3.8,4.04,0.1466,-0.2464,664.25,394.1,398.25,12.5,7.03,0.9158,4.8,2.0,200,40
2025-03-23,637.04,614.98,55.25,544.22,618.37,684.15,523.54,0.0,-22.06,-3.5,6.46,0.2869,-0.1351,558.88,353.39,370.62,13.8,10.88,1.1195,4.8,1.9,200,40
2025-03-24,643.77,630.23,50.24,570.11,632.62,694.53,549.7,0.0,-13.54,-2.1,3.24,0.301,-0.0447,662.93,362.66,396.47,9.6,8.49,1.1751,4.9,2.1,200,40
2025-03-25,642.14,633.31,49.36,571.73,632.34,688.87,557.7,0.0,-8.83,-1.4,3.78,0.3255,-0.0465,652.08,438.86,460.95,8.3,10.21,1.1067,4.7,1.9,200,40
2025-03-26,655.21,650.87,56.04,586.4,641.7,728.69,574.12,0.0,-4.34,-0.7,2.92,0.3846,-0.017,650.2,393.14,409.3,12.0,8.28,1.2471,4.9,2.0,200,40
2025-03-27,585.72,574.22,53.25,507.23,576.46,641.59,483.97,0.0,-11.51,-2.0,11.74,0.3085,-0.121,588.22,379.3,379.85,10.0,21.4,1.0606,4.8,1.8,200,40
