fecha,sim_id,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_ree [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos
2025-05-11,1,-86.3207,318.1952,-404.5159,-127.13,8.3198,81.1915,263.2562,30.3694,404.924,3.7947,0.4,-0.6,6.3245,0.375,0.0,2.2503,41,8.5541,6.995,103.36,54.4539,2.1215,0.9352,9,0
2025-05-11,2,371.2709,318.1952,53.0757,16.68,8.8692,138.8924,253.1521,25.6059,0.0,4.0368,1.6353,0.6353,6.3542,0.125,0.0,0.0,0,14.4811,21.9757,172.9191,173.2982,0.6822,0.4875,3,1
2025-05-11,3,91.6149,318.1952,-226.5803,-71.21,8.4342,97.8139,244.1456,31.6275,223.4079,3.7433,0.4,-0.6,6.2389,0.25,0.0061,1.4609,31,10.348,5.6229,93.5114,67.9813,1.8049,2.22,6,1
2025-05-11,4,206.0337,318.1952,-112.1615,-35.25,9.3537,88.0746,134.9327,25.4348,0.0,0.8925,1.1397,0.1397,6.3871,0.375,0.0061,0.0,0,9.2165,11.7132,82.8667,120.2247,0.8015,1.7043,3,3
2025-05-11,5,148.418,318.1952,-169.7772,-53.36,8.7754,85.8969,81.46,22.9063,0.0,4.8081,1.7549,0.7549,6.3692,0.0,0.1013,0.0,0,9.0335,8.4729,81.8934,32.1501,0.4871,0.9392,1,3
2025-05-11,6,108.0402,318.1952,-210.155,-66.05,8.5035,71.6879,59.1067,28.008,0.0,3.2499,1.5122,0.5122,6.3447,0.0,0.0,0.0,0,7.4866,10.5317,38.6893,40.8771,0.7996,0.6359,3,2
2025-05-11,7,144.9245,318.1952,-173.2707,-54.45,8.9119,73.0034,366.9109,32.1359,267.8793,3.8866,0.4,-0.6,6.4776,0.25,0.0,1.0817,25,7.4598,21.5252,140.9186,65.715,1.6949,1.4636,3,2
2025-05-11,8,220.1993,318.1952,-97.9959,-30.8,9.4721,101.3032,188.6826,33.4554,41.9173,3.886,0.4,-0.6,6.4766,0.0,0.125,0.3486,11,10.6466,10.4611,74.2044,51.2128,1.3605,0.8586,1,1
2025-05-11,9,181.7063,318.1952,-136.4889,-42.89,8.1363,94.8362,103.6633,24.8622,0.0,0.0673,1.0108,0.0108,6.2488,0.3575,0.125,0.0,0,10.0377,5.1394,63.7239,311.9642,0.8239,1.0017,5,4
2025-05-11,10,203.2484,318.1952,-114.9467,-36.12,7.9757,75.7983,148.3126,26.809,0.0,2.0292,1.3334,0.3334,6.0866,0.125,0.125,0.0,0,7.807,18.2952,88.3756,40.9519,0.7908,2.6766,7,2
