fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-05-18,1,normal,528.5874,648.9092,-120.3219,-18.54,25.8606,186.4934,331.9351,15.3856,0.3161,1.028,0.028,11.3064,1.0,0.0,0.0,0,9.9188,105.7527,50.0158,0.798,0.6842,10,0,False
2025-05-18,2,normal,603.5971,648.9092,-45.3121,-6.98,22.4814,186.6133,412.4614,16.4366,1.5224,1.1377,0.1377,11.0559,0.6683,0.0,0.0,0,9.9252,122.2165,55.7851,0.8761,0.9189,7,3,False
2025-05-18,3,normal,541.399,648.9092,-107.5103,-16.57,25.4413,178.6013,356.303,17.5427,1.4039,1.1287,0.1287,10.9054,0.25,0.0,0.0,0,9.4991,104.0063,52.2586,0.8781,0.9699,6,1,False
2025-05-18,4,normal,582.1989,648.9092,-66.7104,-10.28,22.3212,180.2865,397.7345,17.2485,0.8949,1.0805,0.0805,11.1117,0.0,0.5,0.0,0,9.5887,111.8749,55.7147,0.9271,1.0038,2,5,False
2025-05-18,5,normal,658.6648,648.9092,9.7555,1.5,24.8208,194.6915,461.6557,17.2872,5.2161,0.5117,-0.4883,10.6811,0.25,0.5,0.3182,6,10.3549,122.3357,42.5291,1.0452,0.8299,8,3,False
2025-05-18,6,normal,606.0196,648.9092,-42.8896,-6.61,24.2358,182.7106,418.1762,18.5489,0.5542,1.0495,0.0495,11.195,0.0,0.0,0.0,0,9.7177,113.3456,45.8361,0.9521,0.9355,1,2,False
2025-05-18,7,normal,490.3747,648.9092,-158.5345,-24.43,21.1987,186.4108,300.3195,16.9503,0.604,0.9446,-0.0554,10.9045,0.362,0.25,0.0,0,9.9145,87.1678,55.6704,0.9387,1.0164,3,5,False
2025-05-18,8,normal,697.2507,648.9092,48.3415,7.45,23.8112,191.5972,508.8865,18.8784,8.1658,0.2428,-0.7572,10.7847,0.2092,0.25,0.8207,14,10.1903,119.2636,56.1397,1.2618,1.0206,7,1,False
2025-05-18,9,normal,610.6906,648.9092,-38.2186,-5.89,23.5566,201.8307,402.9771,17.5401,0.1336,1.0121,0.0121,11.0263,0.4183,0.0,0.0,0,10.7346,111.1246,50.3481,0.9378,0.8493,4,2,False
2025-05-18,10,normal,566.539,648.9092,-82.3703,-12.69,24.9188,186.3765,373.214,16.702,1.2683,0.8838,-0.1162,10.9137,0.75,0.0,0.0978,2,9.9126,106.0788,48.799,0.906,1.0134,4,0,False
2025-05-18,11,normal,648.832,648.9092,-0.0773,-0.01,24.8932,163.5373,480.3102,18.487,1.4218,0.8728,-0.1272,11.1745,0.25,0.0,0.0526,1,8.6979,122.6548,53.1203,1.0176,0.9161,7,2,False
2025-05-18,12,normal,695.1821,648.9092,46.2728,7.13,25.4167,197.5207,491.4526,19.191,0.0169,0.9985,-0.0015,10.9485,0.0,0.0,0.0,0,10.5053,122.6218,54.9614,0.9996,0.9733,1,0,False
2025-05-18,13,normal,529.874,648.9092,-119.0352,-18.34,21.9004,203.1271,323.892,16.352,2.6935,1.2476,0.2476,10.8795,0.5,0.0,0.0,0,10.8035,103.0797,53.5596,0.8179,1.0157,10,3,False
2025-05-18,14,normal,633.7581,648.9092,-15.1512,-2.33,25.2547,194.551,433.2591,18.0416,1.2651,1.1141,0.1141,11.0832,0.25,0.0,0.0,0,10.3474,117.1417,41.4985,0.9393,0.8925,6,1,False
2025-05-18,15,normal,627.7946,648.9092,-21.1146,-3.25,21.8293,188.8972,445.132,18.9922,9.0717,0.14,-0.86,10.5485,0.5,0.0,0.3657,8,10.0467,101.7743,57.3665,1.1737,1.1137,9,0,False
